ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007017	microtubule-based process	24/575	54/4717	0.444444444444444	3.64599033816425	7.28564824580154	2.9343337489761e-09	2.03055895429146e-06	2.03055895429146e-06	ostta10g02500/ostta11g00410/ostta09g03140/ostta01g04320/ostta01g03940/ostta08g00790/ostta04g03110/ostta07g04210/ostta08g03710/ostta04g01350/ostta18g01040/ostta14g00070/ostta04g01990/ostta15g00480/ostta06g04460/ostta14g01490/ostta07g03080/ostta04g04480/ostta19g00020/ostta06g02100/ostta08g00900/ostta12g01270/ostta10g01050/ostta04g04680	24
GO:0007010	cytoskeleton organization	19/575	48/4717	0.395833333333333	3.24721014492754	5.82999445641899	1.21006424645168e-06	0.00031416646133547	0.00031416646133547	ostta10g02500/ostta07g01050/ostta09g03140/ostta01g04320/ostta01g03940/ostta08g00790/ostta07g04210/ostta08g03710/ostta14g00070/ostta04g01990/ostta15g00480/ostta06g04460/ostta10g02060/ostta14g01490/ostta14g01800/ostta10g01020/ostta12g01270/ostta10g01050/ostta04g04680	19
GO:0071103	DNA conformation change	17/575	40/4717	0.425	3.48647826086957	5.88364892381604	1.36199332948903e-06	0.00031416646133547	0.00031416646133547	ostta12g01020/ostta14g01050/ostta04g00700/ostta01g05630/ostta04g00690/ostta04g04760/ostta16g01200/ostta06g03630/ostta11g01760/ostta08g00240/ostta13g00410/ostta05g02940/ostta12g02040/ostta12g02840/ostta06g03320/ostta13g00120/ostta03g00320	17
GO:0000226	microtubule cytoskeleton organization	13/575	26/4717	0.5	4.10173913043478	5.90846952403983	2.63675796573769e-06	0.00045615912807262	0.00045615912807262	ostta10g02500/ostta09g03140/ostta01g03940/ostta08g00790/ostta07g04210/ostta14g00070/ostta04g01990/ostta15g00480/ostta06g04460/ostta14g01490/ostta12g01270/ostta10g01050/ostta04g04680	13
GO:0007018	microtubule-based movement	13/575	29/4717	0.448275862068966	3.67742128935532	5.38812525579474	1.21230319246431e-05	0.00167782761837061	0.00167782761837061	ostta11g00410/ostta01g04320/ostta04g03110/ostta08g03710/ostta04g01350/ostta18g01040/ostta14g00070/ostta06g04460/ostta14g01490/ostta07g03080/ostta04g04480/ostta19g00020/ostta08g00900	13
GO:0032392	DNA geometric change	14/575	35/4717	0.4	3.28139130434783	5.04700659982984	2.73470656864756e-05	0.00315402824250685	0.00315402824250685	ostta12g01020/ostta14g01050/ostta04g00700/ostta01g05630/ostta04g00690/ostta04g04760/ostta16g01200/ostta06g03630/ostta11g01760/ostta08g00240/ostta05g02940/ostta12g02040/ostta12g02840/ostta03g00320	14
GO:0006259	DNA metabolic process	63/575	319/4717	0.197492163009404	1.62012266593976	4.27327761386452	4.18931512129567e-05	0.00414143723419515	0.00414143723419515	ostta12g01020/ostta08g02610/ostta08g01850/ostta14g01050/ostta06g00060/ostta02g01247/ostta04g00700/ostta19g00045/ostta06g03990/ostta13g00030/ostta06g00330/ostta14g00920/ostta01g05630/ostta07g03510/ostta04g05600/ostta07g02570/ostta05g02360/ostta08g01860/ostta11g00310/ostta04g02100/ostta03g06010/ostta08g00390/ostta18g00180/ostta08g03990/ostta05g04200/ostta05g01320/ostta16g01200/ostta06g03630/ostta11g01760/ostta11g01840/ostta07g01380/ostta08g00240/ostta05g04470/ostta04g05590/ostta04g03490/ostta13g00410/ostta05g01380/ostta05g02940/ostta09g03530/ostta09g02430/ostta08g01210/ostta11g02575/ostta19g00395/ostta07g00020/ostta06g01310/ostta12g02040/ostta19g00515/ostta09g03880/ostta18g01440/ostta04g04640/ostta11g01720/ostta02g01245/ostta12g01965/ostta01g04750/ostta03g06000/ostta11g01600/ostta12g02840/ostta06g03320/ostta14g02810/ostta13g00120/ostta03g03980/ostta04g01050/ostta01g01270	63
GO:0006310	DNA recombination	22/575	76/4717	0.289473684210526	2.37469107551487	4.50113354658105	6.33788207734833e-05	0.00548226799690631	0.00548226799690631	ostta08g02610/ostta02g01247/ostta04g00700/ostta07g02570/ostta08g01860/ostta04g02100/ostta08g03990/ostta05g04200/ostta08g00240/ostta04g05590/ostta13g00410/ostta09g03530/ostta08g01210/ostta07g00020/ostta18g01440/ostta11g01720/ostta02g01245/ostta12g01965/ostta03g06000/ostta11g01600/ostta13g00120/ostta01g01270	22
GO:0040011	locomotion	6/575	10/4717	0.6	4.92208695652174	4.62552350601494	0.000435588047739798	0.0334918810039934	0.0334918810039934	ostta01g03980/ostta09g00590/ostta14g00070/ostta06g04460/ostta07g01910/ostta15g01070	6
GO:0030154	cell differentiation	13/575	41/4717	0.317073170731707	2.60110286320255	3.83609792121432	0.000781627741764955	0.049171490663759	0.049171490663759	ostta11g00410/ostta14g01650/ostta15g01430/ostta05g02940/ostta03g05560/ostta15g00480/ostta14g01800/ostta02g05010/ostta06g01830/ostta06g02780/ostta06g03320/ostta02g02830/ostta11g02490	13
