ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007018	microtubule-based movement	6/73	29/4717	0.206896551724138	13.3689182805857	8.37604767104437	3.99998262421731e-06	0.000971995777684805	0.000959995829812153	ostta14g00070/ostta18g01040/ostta19g00020/ostta06g04460/ostta07g03080/ostta08g03710	6
GO:0007017	microtubule-based process	6/73	54/4717	0.111111111111111	7.17960426179604	5.72567982424261	0.000160198374623909	0.0194641025168049	0.019223804954869	ostta14g00070/ostta18g01040/ostta19g00020/ostta06g04460/ostta07g03080/ostta08g03710	6
GO:0040011	locomotion	3/73	10/4717	0.3	19.3849315068493	7.29612288226391	0.000394808528241529	0.0319794907875638	0.0315846822593223	ostta14g00070/ostta06g04460/ostta09g00590	3
GO:0060271	cilium assembly	2/73	10/4717	0.2	12.9232876712329	4.73179744931265	0.00981094701937965	0.401039594985348	0.396088488874418	ostta14g00070/ostta06g04460	2
GO:0120031	plasma membrane bounded cell projection assembly	2/73	10/4717	0.2	12.9232876712329	4.73179744931265	0.00981094701937965	0.401039594985348	0.396088488874418	ostta14g00070/ostta06g04460	2
GO:0030031	cell projection assembly	2/73	11/4717	0.181818181818182	11.7484433374844	4.47422865835706	0.0118718595158939	0.401039594985348	0.396088488874418	ostta14g00070/ostta06g04460	2
GO:0044782	cilium organization	2/73	12/4717	0.166666666666667	10.7694063926941	4.24796771948114	0.0141046606981034	0.401039594985348	0.396088488874418	ostta14g00070/ostta06g04460	2
GO:0120036	plasma membrane bounded cell projection organization	2/73	12/4717	0.166666666666667	10.7694063926941	4.24796771948114	0.0141046606981034	0.401039594985348	0.396088488874418	ostta14g00070/ostta06g04460	2
GO:0030030	cell projection organization	2/73	13/4717	0.153846153846154	9.94099051633298	4.04693171595035	0.0165036870364341	0.401039594985348	0.396088488874418	ostta14g00070/ostta06g04460	2
GO:0046434	organophosphate catabolic process	2/73	13/4717	0.153846153846154	9.94099051633298	4.04693171595035	0.0165036870364341	0.401039594985348	0.396088488874418	ostta19g00190/ostta02g05440	2
GO:0006355	regulation of DNA-templated transcription	8/73	231/4717	0.0346320346320346	2.23779873094942	2.41840265614799	0.0252205120139903	0.557144038127241	0.55026571666888	ostta11g02490/ostta14g02090/ostta15g01270/ostta16g01210/ostta02g03030/ostta03g03430/ostta03g06030/ostta07g04340	8
GO:2001141	regulation of RNA biosynthetic process	8/73	235/4717	0.0340425531914894	2.19970853978432	2.36524415562365	0.027604352626717	0.558988140691019	0.55208705253434	ostta11g02490/ostta14g02090/ostta15g01270/ostta16g01210/ostta02g03030/ostta03g03430/ostta03g06030/ostta07g04340	8
GO:0007010	cytoskeleton organization	3/73	48/4717	0.0625	4.03852739726027	2.65261402205898	0.0374327423294059	0.672049292238989	0.663752387396532	ostta14g00070/ostta06g04460/ostta08g03710	3
GO:0051252	regulation of RNA metabolic process	8/73	251/4717	0.0318725099601594	2.05948807509687	2.1625980001921	0.0387188892647977	0.672049292238989	0.663752387396532	ostta11g02490/ostta14g02090/ostta15g01270/ostta16g01210/ostta02g03030/ostta03g03430/ostta03g06030/ostta07g04340	8
GO:0006508	proteolysis	9/73	311/4717	0.0289389067524116	1.86992908426199	1.98995851026114	0.0489548853464756	0.748278481576786	0.739040475631393	ostta12g02560/ostta13g01770/ostta16g01100/ostta19g00190/ostta19g00580/ostta02g00020/ostta03g06010/ostta06g00060/ostta08g03960	9
