ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006355	GO:0006355	regulation of DNA-templated transcription	12/71	231/4717	0.051948051948052	3.45125297237973	4.72216283090464	0.000139577450082282	0.0206369438327884	0.0192245953982929	ostta15g01430/ostta07g04340/ostta08g02190/ostta11g02490/ostta01g05160/ostta03g02220/ostta06g01110/ostta14g02090/ostta07g03900/ostta17g00450/ostta10g02450/ostta02g02580	12
GO:2001141	GO:2001141	regulation of RNA biosynthetic process	12/71	235/4717	0.051063829787234	3.39250824093497	4.6508027141584	0.000164338605345867	0.0206369438327884	0.0192245953982929	ostta15g01430/ostta07g04340/ostta08g02190/ostta11g02490/ostta01g05160/ostta03g02220/ostta06g01110/ostta14g02090/ostta07g03900/ostta17g00450/ostta10g02450/ostta02g02580	12
GO:0051252	GO:0051252	regulation of RNA metabolic process	12/71	251/4717	0.047808764940239	3.17625273553673	4.37989098647095	0.000304819944908333	0.0206369438327884	0.0192245953982929	ostta15g01430/ostta07g04340/ostta08g02190/ostta11g02490/ostta01g05160/ostta03g02220/ostta06g01110/ostta14g02090/ostta07g03900/ostta17g00450/ostta10g02450/ostta02g02580	12
GO:0030154	GO:0030154	cell differentiation	5/71	41/4717	0.121951219512195	8.10202679491584	5.64564353575276	0.000329663639501413	0.0206369438327884	0.0192245953982929	ostta15g01430/ostta11g02490/ostta06g03320/ostta14g01800/ostta02g02830	5
GO:0048869	GO:0048869	cellular developmental process	5/71	41/4717	0.121951219512195	8.10202679491584	5.64564353575276	0.000329663639501413	0.0206369438327884	0.0192245953982929	ostta15g01430/ostta11g02490/ostta06g03320/ostta14g01800/ostta02g02830	5
GO:0019219	GO:0019219	regulation of nucleobase-containing compound metabolic process	12/71	266/4717	0.0451127819548872	2.99714073917187	4.1447387539776	0.000519113371417389	0.0230037791207869	0.02142944952567	ostta15g01430/ostta07g04340/ostta08g02190/ostta11g02490/ostta01g05160/ostta03g02220/ostta06g01110/ostta14g02090/ostta07g03900/ostta17g00450/ostta10g02450/ostta02g02580	12
GO:0006351	GO:0006351	DNA-templated transcription	13/71	310/4717	0.0419354838709677	2.7860517946388	4.02142376929802	0.000598080044443858	0.0230037791207869	0.02142944952567	ostta15g01430/ostta07g04340/ostta08g02190/ostta11g02490/ostta01g05160/ostta03g02220/ostta06g01110/ostta14g02090/ostta07g03900/ostta17g00450/ostta10g02450/ostta02g02580/ostta15g00340	13
GO:0010556	GO:0010556	regulation of macromolecule biosynthetic process	12/71	273/4717	0.043956043956044	2.920290976629	4.04052510406883	0.000656274463550596	0.0230037791207869	0.02142944952567	ostta15g01430/ostta07g04340/ostta08g02190/ostta11g02490/ostta01g05160/ostta03g02220/ostta06g01110/ostta14g02090/ostta07g03900/ostta17g00450/ostta10g02450/ostta02g02580	12
GO:0031326	GO:0031326	regulation of cellular biosynthetic process	12/71	276/4717	0.0434782608695652	2.88854868340478	3.9968588279743	0.000723791562185752	0.0230037791207869	0.02142944952567	ostta15g01430/ostta07g04340/ostta08g02190/ostta11g02490/ostta01g05160/ostta03g02220/ostta06g01110/ostta14g02090/ostta07g03900/ostta17g00450/ostta10g02450/ostta02g02580	12
GO:0009889	GO:0009889	regulation of biosynthetic process	12/71	277/4717	0.0433212996389892	2.87812070981848	3.98243201815725	0.000747558967296466	0.0230037791207869	0.02142944952567	ostta15g01430/ostta07g04340/ostta08g02190/ostta11g02490/ostta01g05160/ostta03g02220/ostta06g01110/ostta14g02090/ostta07g03900/ostta17g00450/ostta10g02450/ostta02g02580	12
GO:0032774	GO:0032774	RNA biosynthetic process	13/71	320/4717	0.040625	2.69898767605634	3.8910199258861	0.000808439521816794	0.0230037791207869	0.02142944952567	ostta15g01430/ostta07g04340/ostta08g02190/ostta11g02490/ostta01g05160/ostta03g02220/ostta06g01110/ostta14g02090/ostta07g03900/ostta17g00450/ostta10g02450/ostta02g02580/ostta15g00340	13
GO:0030029	GO:0030029	actin filament-based process	3/71	17/4717	0.176470588235294	11.7241093620547	5.47536701995439	0.00191029674216117	0.049324393856315	0.0459487375086573	ostta06g03320/ostta14g01800/ostta07g01050	3
GO:0010468	GO:0010468	regulation of gene expression	13/71	354/4717	0.0367231638418079	2.43976287101138	3.48158068263565	0.00204861699722714	0.049324393856315	0.0459487375086573	ostta15g01430/ostta07g04340/ostta08g02190/ostta11g02490/ostta01g05160/ostta03g02220/ostta06g01110/ostta14g02090/ostta07g03900/ostta17g00450/ostta10g02450/ostta02g02580/ostta11g02730	13
