ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007017	GO:0007017	microtubule-based process	22/490	54/4717	0.407407407407407	3.92191987906274	7.35192875195402	4.75700685826528e-09	3.38223187622662e-06	3.30987529822458e-06	ostta01g03940/ostta01g04320/ostta10g01050/ostta10g02500/ostta11g00410/ostta12g01270/ostta14g00070/ostta14g01490/ostta18g01040/ostta19g00020/ostta04g01350/ostta04g01990/ostta04g04480/ostta04g04680/ostta06g02100/ostta06g04460/ostta07g03080/ostta07g04210/ostta08g00790/ostta08g00900/ostta08g03710/ostta09g03140	22
GO:0000226	GO:0000226	microtubule cytoskeleton organization	12/490	26/4717	0.461538461538462	4.44301412872842	5.99323872048199	3.41583053689231e-06	0.00121432775586522	0.00118834946572938	ostta01g03940/ostta10g01050/ostta10g02500/ostta12g01270/ostta14g00070/ostta14g01490/ostta04g01990/ostta04g04680/ostta06g04460/ostta07g04210/ostta08g00790/ostta09g03140	12
GO:0007018	GO:0007018	microtubule-based movement	12/490	29/4717	0.413793103448276	3.98339197748065	5.48636035222049	1.36910077205329e-05	0.00245489410242462	0.00240237619616948	ostta01g04320/ostta11g00410/ostta14g00070/ostta14g01490/ostta18g01040/ostta19g00020/ostta04g01350/ostta04g04480/ostta06g04460/ostta07g03080/ostta08g00900/ostta08g03710	12
GO:0007010	GO:0007010	cytoskeleton organization	16/490	48/4717	0.333333333333333	3.20884353741497	5.23651618167428	1.38109372850893e-05	0.00245489410242462	0.00240237619616948	ostta01g03940/ostta01g04320/ostta10g01020/ostta10g01050/ostta10g02060/ostta10g02500/ostta12g01270/ostta14g00070/ostta14g01490/ostta04g01990/ostta04g04680/ostta06g04460/ostta07g04210/ostta08g00790/ostta08g03710/ostta09g03140	16
GO:0071103	GO:0071103	DNA conformation change	14/490	40/4717	0.35	3.36928571428571	5.12309678810488	2.56003639827802e-05	0.00364037175835135	0.00356249275634058	ostta11g01760/ostta12g01020/ostta12g02040/ostta13g00120/ostta13g00410/ostta14g01050/ostta16g01200/ostta03g00320/ostta04g00690/ostta04g00700/ostta04g04760/ostta05g02940/ostta06g03630/ostta08g00240	14
GO:0006310	GO:0006310	DNA recombination	20/490	76/4717	0.263157894736842	2.53329752953813	4.58771322045205	6.09902724757581e-05	0.00722734728837734	0.00707273159762739	ostta01g01270/ostta11g01600/ostta11g01720/ostta12g01965/ostta13g00120/ostta13g00410/ostta18g01440/ostta02g01245/ostta02g01247/ostta03g06000/ostta04g00700/ostta04g02100/ostta04g05590/ostta05g04200/ostta07g00020/ostta07g02570/ostta08g00240/ostta08g01210/ostta08g01860/ostta08g02610	20
GO:0032392	GO:0032392	DNA geometric change	12/490	35/4717	0.342857142857143	3.30052478134111	4.65065418907526	0.000122678660616039	0.0109030659622504	0.0106698150877897	ostta11g01760/ostta12g01020/ostta12g02040/ostta14g01050/ostta16g01200/ostta03g00320/ostta04g00690/ostta04g00700/ostta04g04760/ostta05g02940/ostta06g03630/ostta08g00240	12
GO:0032508	GO:0032508	DNA duplex unwinding	12/490	35/4717	0.342857142857143	3.30052478134111	4.65065418907526	0.000122678660616039	0.0109030659622504	0.0106698150877897	ostta11g01760/ostta12g01020/ostta12g02040/ostta14g01050/ostta16g01200/ostta03g00320/ostta04g00690/ostta04g00700/ostta04g04760/ostta05g02940/ostta06g03630/ostta08g00240	12
GO:0006259	GO:0006259	DNA metabolic process	54/490	319/4717	0.169278996865204	1.62956944533299	3.9644248134211	0.000141395947345715	0.0111702798403115	0.0109313124205284	ostta01g01270/ostta11g00310/ostta11g01600/ostta11g01720/ostta11g01760/ostta11g02575/ostta12g01020/ostta12g01965/ostta12g02040/ostta13g00030/ostta13g00120/ostta13g00410/ostta14g00920/ostta14g01050/ostta14g02810/ostta16g01200/ostta18g00180/ostta18g01440/ostta19g00395/ostta19g00515/ostta19g00045/ostta02g01245/ostta02g01247/ostta03g03980/ostta03g06000/ostta03g06010/ostta04g00700/ostta04g01050/ostta04g02100/ostta04g03490/ostta04g04640/ostta04g05590/ostta04g05600/ostta05g01320/ostta05g02360/ostta05g02940/ostta05g04200/ostta06g00060/ostta06g00330/ostta06g01310/ostta06g03630/ostta06g03990/ostta07g00020/ostta07g01380/ostta07g02570/ostta07g03510/ostta08g00240/ostta08g00390/ostta08g01210/ostta08g01850/ostta08g01860/ostta08g02610/ostta09g02430/ostta09g03880	54
GO:0040011	GO:0040011	locomotion	6/490	10/4717	0.6	5.77591836734694	5.14699338561303	0.000177732229672365	0.0126367615297052	0.0123664214540456	ostta01g03980/ostta14g00070/ostta15g01070/ostta06g04460/ostta07g01910/ostta09g00590	6
GO:0051321	GO:0051321	meiotic cell cycle	10/490	28/4717	0.357142857142857	3.43804664723032	4.40503866077874	0.000310296068390163	0.0200564095114005	0.0196273398283156	ostta11g01720/ostta13g00120/ostta13g00410/ostta03g05560/ostta04g04640/ostta05g02370/ostta06g01310/ostta07g00020/ostta07g03600/ostta08g01860	10
GO:0015074	GO:0015074	DNA integration	6/490	12/4717	0.5	4.81326530612245	4.5027376695407	0.000651426571410525	0.0330831637337774	0.0323754108046885	ostta11g02575/ostta19g00515/ostta02g01245/ostta02g01247/ostta08g00390/ostta08g02610	6
GO:0044782	GO:0044782	cilium organization	6/490	12/4717	0.5	4.81326530612245	4.5027376695407	0.000651426571410525	0.0330831637337774	0.0323754108046885	ostta10g02500/ostta14g00070/ostta14g01490/ostta02g03910/ostta04g01350/ostta06g04460	6
GO:0120036	GO:0120036	plasma membrane bounded cell projection organization	6/490	12/4717	0.5	4.81326530612245	4.5027376695407	0.000651426571410525	0.0330831637337774	0.0323754108046885	ostta10g02500/ostta14g00070/ostta14g01490/ostta02g03910/ostta04g01350/ostta06g04460	6
GO:0051258	GO:0051258	protein polymerization	8/490	21/4717	0.380952380952381	3.66724975704568	4.1704037439159	0.000765104187313594	0.0362659384786644	0.0354900959869674	ostta01g04320/ostta12g01270/ostta04g01990/ostta05g03810/ostta07g04210/ostta08g00790/ostta08g03710/ostta09g03140	8
GO:0022402	GO:0022402	cell cycle process	19/490	85/4717	0.223529411764706	2.15181272509004	3.64817677372911	0.000889732894512186	0.0395375054998853	0.0386916738995102	ostta01g03930/ostta10g01050/ostta11g01720/ostta12g00820/ostta12g01270/ostta13g00120/ostta13g00410/ostta15g02570/ostta02g01860/ostta02g03610/ostta03g05560/ostta04g04640/ostta04g04680/ostta05g02370/ostta05g02940/ostta07g01910/ostta07g03600/ostta08g01860/ostta09g03140	19
GO:1903046	GO:1903046	meiotic cell cycle process	8/490	22/4717	0.363636363636364	3.50055658627087	4.00220235582905	0.00109461709454861	0.0436272048483438	0.0426938817155308	ostta11g01720/ostta13g00120/ostta13g00410/ostta03g05560/ostta04g04640/ostta05g02370/ostta07g03600/ostta08g01860	8
GO:0030030	GO:0030030	cell projection organization	6/490	13/4717	0.461538461538462	4.44301412872842	4.23199980296164	0.00110448619869225	0.0436272048483438	0.0426938817155308	ostta10g02500/ostta14g00070/ostta14g01490/ostta02g03910/ostta04g01350/ostta06g04460	6
