gene_id,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12
ostta06g00070,193,243,241,746,523,699,694,812,715,883,728,992
ostta15g01110,960,1325,1078,5808,5363,5851,1382,1530,3259,5928,5323,4691
ostta10g01190,743,1020,825,2990,2818,3214,984,722,898,1072,999,938
ostta15g01440,254,395,646,925,870,1028,936,868,816,699,573,830
ostta02g04020,594,879,925,2087,1974,2099,1917,1926,2088,1791,1747,1654
ostta06g00075,26,30,41,41,47,45,52,59,52,34,47,49
ostta01g00240,159,210,173,511,496,413,437,493,440,597,589,593
ostta02g01610,1201,1474,1460,4155,3517,3833,3647,3370,3460,3527,3321,3462
ostta01g00530,58,66,76,157,125,120,229,232,283,327,388,305
ostta14g02700,674,895,1012,2438,2163,2722,1699,1693,1794,1977,1874,2118
ostta04g02010,447,588,738,1314,937,982,1303,1336,1352,2024,1901,2452
ostta02g03290,187,213,238,562,570,688,614,813,868,989,928,996
ostta03g05830,120,146,194,567,531,661,581,613,680,590,504,581
ostta14g00960,240,346,425,1145,1022,1221,1311,1496,1630,1490,1436,1552
ostta03g00710,477,581,624,1494,1263,1393,1014,1194,1295,876,845,796
ostta13g02060,683,880,966,1677,1447,1527,1683,2200,2255,2743,2731,2778
ostta03g00240,3036,4352,3876,11903,9500,13197,12737,7712,9604,16190,16033,14781
ostta14g00630,314,556,651,2923,2965,3471,3122,3270,4103,3011,2675,2930
ostta02g03465,319,418,391,1206,983,1073,1065,1067,1109,1053,1008,1097
ostta20g00290,518,611,651,2110,1814,2304,2263,2265,2213,1916,1912,1826
ostta14g01610,119,164,165,353,331,340,546,1081,1115,728,650,775
ostta03g04400,369,632,707,2121,2058,2238,1791,2318,2472,2255,2140,1960
ostta06g04170,470,618,620,4260,3566,4379,2358,2014,2270,3121,2792,3126
ostta02g03920,207,246,247,689,705,732,894,933,862,776,682,826
ostta11g01220,163,256,261,723,682,816,585,709,717,614,606,708
ostta08g03580,138,188,225,285,234,238,310,354,309,742,791,988
ostta15g02790,308,462,511,1296,1178,1257,800,903,1016,1098,1043,986
ostta04g01660,1351,1623,1842,3062,2283,2618,2345,2372,2697,2968,2768,2675
ostta15g02795,58,81,141,399,432,480,410,373,425,480,447,485
ostta05g02235,76,104,112,222,251,224,274,369,368,451,402,358
ostta05g02230,137,141,191,357,345,326,323,402,445,669,579,604
ostta05g03010,41,56,50,169,136,179,257,210,174,248,201,207
ostta05g03540,461,497,488,1551,1274,1403,1798,1710,1443,2067,1900,1967
ostta18g01730,139,186,184,597,540,640,427,487,563,575,486,608
ostta18g01735,209,289,423,1011,925,1292,689,812,926,1203,966,1200
ostta18g01880,26043,31548,31361,160783,123834,130273,96496,92202,81656,104894,92216,104024
