ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0015074	DNA integration	4/31	12/4717	0.333333333333333	50.7204301075269	14.0253041804689	7.28742843632854e-07	0.000144291083039305	0.000141913080075872	ostta11g02575/ostta19g00515/ostta02g01245/ostta02g01247	4
GO:0071897	DNA biosynthetic process	3/31	27/4717	0.111111111111111	16.9068100358423	6.74132334399371	0.000675802678799877	0.052706329762071	0.0518376980647695	ostta11g02575/ostta04g03490/ostta19g00515	3
GO:0006259	DNA metabolic process	8/31	319/4717	0.0250783699059561	3.81595712407726	4.23604309723362	0.000798580753970773	0.052706329762071	0.0518376980647695	ostta11g02575/ostta04g03490/ostta19g00515/ostta02g01245/ostta18g00180/ostta08g03990/ostta13g00120/ostta02g01247	8
GO:0006310	DNA recombination	4/31	76/4717	0.0526315789473684	8.00848896434635	5.00947263744704	0.00140806406499632	0.0696991712173179	0.0685504873748209	ostta02g01245/ostta08g03990/ostta13g00120/ostta02g01247	4
GO:0010629	negative regulation of gene expression	3/31	90/4717	0.0333333333333333	5.07204301075269	3.17212625518888	0.0205337600655554	0.418804975279814	0.411902819919009	ostta07g03820/ostta07g01920/ostta10g00080	3
GO:0035825	homologous recombination	2/31	39/4717	0.0512820512820513	7.80314309346567	3.46959196618469	0.0266361650415116	0.418804975279814	0.411902819919009	ostta08g03990/ostta13g00120	2
GO:0010038	response to metal ion	2/31	43/4717	0.0465116279069767	7.07726931732933	3.25585428210803	0.0319378312456743	0.418804975279814	0.411902819919009	ostta07g03820/ostta08g03990	2
GO:0071028	nuclear mRNA surveillance	2/31	43/4717	0.0465116279069767	7.07726931732933	3.25585428210803	0.0319378312456743	0.418804975279814	0.411902819919009	ostta07g03820/ostta07g01920	2
GO:0006401	RNA catabolic process	3/31	107/4717	0.0280373831775701	4.26620440156768	2.77940214840306	0.0321920267406164	0.418804975279814	0.411902819919009	ostta07g03820/ostta07g01920/ostta07g02310	3
GO:0071025	RNA surveillance	2/31	45/4717	0.0444444444444444	6.76272401433692	3.15899736672506	0.0347327440711532	0.418804975279814	0.411902819919009	ostta07g03820/ostta07g01920	2
GO:0071027	nuclear RNA surveillance	2/31	45/4717	0.0444444444444444	6.76272401433692	3.15899736672506	0.0347327440711532	0.418804975279814	0.411902819919009	ostta07g03820/ostta07g01920	2
GO:0007010	cytoskeleton organization	2/31	48/4717	0.0416666666666667	6.34005376344086	3.02427245704338	0.0390973705767038	0.418804975279814	0.411902819919009	ostta04g01990/ostta10g02060	2
GO:0034655	nucleobase-containing compound catabolic process	3/31	122/4717	0.0245901639344262	3.74167107350608	2.49527899313789	0.0448351277849887	0.418804975279814	0.411902819919009	ostta07g03820/ostta07g01920/ostta07g02310	3
GO:0010608	post-transcriptional regulation of gene expression	2/31	56/4717	0.0357142857142857	5.43433179723502	2.7148713282198	0.0516831243259044	0.418804975279814	0.411902819919009	ostta07g03820/ostta10g00080	2
GO:0006418	tRNA aminoacylation for protein translation	2/31	59/4717	0.0338983050847458	5.15800984144341	2.61383626774542	0.0567330057909628	0.418804975279814	0.411902819919009	ostta02g00900/ostta08g01740	2
GO:0048519	negative regulation of biological process	4/31	227/4717	0.0176211453744493	2.68125621713799	2.11149600674582	0.0593410698695453	0.418804975279814	0.411902819919009	ostta07g03820/ostta07g01920/ostta10g00080/ostta13g00120	4
GO:0000956	nuclear-transcribed mRNA catabolic process	2/31	61/4717	0.0327868852459016	4.98889476467478	2.55021980147767	0.0601929456774171	0.418804975279814	0.411902819919009	ostta07g03820/ostta07g01920	2
GO:0043038	amino acid activation	2/31	62/4717	0.032258064516129	4.90842872008325	2.5194445298465	0.0619500226676955	0.418804975279814	0.411902819919009	ostta02g00900/ostta08g01740	2
GO:0043039	tRNA aminoacylation	2/31	62/4717	0.032258064516129	4.90842872008325	2.5194445298465	0.0619500226676955	0.418804975279814	0.411902819919009	ostta02g00900/ostta08g01740	2
GO:0000075	cell cycle checkpoint signaling	1/31	10/4717	0.1	15.2161290322581	3.65995596784177	0.0638689844804329	0.418804975279814	0.411902819919009	ostta13g00120	1
