ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006633	fatty acid biosynthetic process	4/50	58/4717	0.0689655172413793	6.50620689655172	4.36689920209492	0.00311178729601552	0.434965263285837	0.433527544388629	ostta02g00800/ostta02g00710/ostta17g00300/ostta06g02290	4
GO:0072330	monocarboxylic acid biosynthetic process	4/50	63/4717	0.0634920634920635	5.98984126984127	4.12664220736907	0.00420256293029794	0.434965263285837	0.433527544388629	ostta02g00800/ostta02g00710/ostta17g00300/ostta06g02290	4
GO:0046434	organophosphate catabolic process	2/50	13/4717	0.153846153846154	14.5138461538462	5.04975130413648	0.00797264588052869	0.466810307079262	0.46526732869329	ostta19g00190/ostta02g05440	2
GO:0032787	monocarboxylic acid metabolic process	6/50	186/4717	0.032258064516129	3.04322580645161	2.94258357278851	0.0130084837573743	0.466810307079262	0.46526732869329	ostta16g00550/ostta02g00800/ostta02g00710/ostta17g02090/ostta17g00300/ostta06g02290	6
GO:0006493	protein O-linked glycosylation	2/50	17/4717	0.117647058823529	11.0988235294118	4.31717163437935	0.0135307335385293	0.466810307079262	0.46526732869329	ostta19g00320/ostta19g00120	2
GO:0016266	O-glycan processing	2/50	17/4717	0.117647058823529	11.0988235294118	4.31717163437935	0.0135307335385293	0.466810307079262	0.46526732869329	ostta19g00320/ostta19g00120	2
GO:0006631	fatty acid metabolic process	4/50	98/4717	0.0408163265306122	3.85061224489796	2.9514144755346	0.0194448543321992	0.575012120966461	0.573111496106923	ostta02g00800/ostta02g00710/ostta17g00300/ostta06g02290	4
GO:0046394	carboxylic acid biosynthetic process	6/50	232/4717	0.0258620689655172	2.4398275862069	2.32769599214013	0.034465286718145	0.746808123540203	0.744339650210423	ostta16g00550/ostta02g00800/ostta02g00710/ostta17g02090/ostta17g00300/ostta06g02290	6
GO:0016053	organic acid biosynthetic process	6/50	234/4717	0.0256410256410256	2.41897435897436	2.30436413349595	0.0357322165398975	0.746808123540203	0.744339650210423	ostta16g00550/ostta02g00800/ostta02g00710/ostta17g02090/ostta17g00300/ostta06g02290	6
GO:0007018	microtubule-based movement	2/50	29/4717	0.0689655172413793	6.50620689655172	3.07829844839914	0.0372682143965199	0.746808123540203	0.744339650210423	ostta19g00020/ostta18g01040	2
GO:0044283	small molecule biosynthetic process	7/50	306/4717	0.0228758169934641	2.1581045751634	2.16816815593249	0.0406783927595946	0.746808123540203	0.744339650210423	ostta02g05090/ostta16g00550/ostta02g00800/ostta02g00710/ostta17g02090/ostta17g00300/ostta06g02290	7
GO:0006486	protein glycosylation	2/50	48/4717	0.0416666666666667	3.93083333333333	2.11228640532975	0.0912858322017839	0.746808123540203	0.744339650210423	ostta19g00320/ostta19g00120	2
GO:0009101	glycoprotein biosynthetic process	2/50	48/4717	0.0416666666666667	3.93083333333333	2.11228640532975	0.0912858322017839	0.746808123540203	0.744339650210423	ostta19g00320/ostta19g00120	2
GO:0043413	macromolecule glycosylation	2/50	48/4717	0.0416666666666667	3.93083333333333	2.11228640532975	0.0912858322017839	0.746808123540203	0.744339650210423	ostta19g00320/ostta19g00120	2
GO:0009100	glycoprotein metabolic process	2/50	51/4717	0.0392156862745098	3.69960784313725	2.00616385733051	0.101167151298981	0.746808123540203	0.744339650210423	ostta19g00320/ostta19g00120	2
GO:0009119	ribonucleoside metabolic process	1/50	10/4717	0.1	9.434	2.76321385272543	0.101175713577342	0.746808123540203	0.744339650210423	ostta02g05090	1
GO:0019752	carboxylic acid metabolic process	8/50	455/4717	0.0175824175824176	1.65872527472527	1.52987625073266	0.103556246643147	0.746808123540203	0.744339650210423	ostta16g00550/ostta07g04600/ostta02g00800/ostta02g00710/ostta02g00900/ostta17g02090/ostta17g00300/ostta06g02290	8
GO:0070085	glycosylation	2/50	53/4717	0.0377358490566038	3.56	1.93977621207363	0.107914578710596	0.746808123540203	0.744339650210423	ostta19g00320/ostta19g00120	2
GO:0006613	cotranslational protein targeting to membrane	1/50	11/4717	0.0909090909090909	8.57636363636364	2.6036595262748	0.110723454032225	0.746808123540203	0.744339650210423	ostta10g00540	1
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	1/50	11/4717	0.0909090909090909	8.57636363636364	2.6036595262748	0.110723454032225	0.746808123540203	0.744339650210423	ostta10g00540	1
GO:0009163	nucleoside biosynthetic process	1/50	11/4717	0.0909090909090909	8.57636363636364	2.6036595262748	0.110723454032225	0.746808123540203	0.744339650210423	ostta02g05090	1
GO:0034404	nucleobase-containing small molecule biosynthetic process	1/50	11/4717	0.0909090909090909	8.57636363636364	2.6036595262748	0.110723454032225	0.746808123540203	0.744339650210423	ostta02g05090	1
GO:0007017	microtubule-based process	2/50	54/4717	0.037037037037037	3.49407407407407	1.90777221776063	0.111333225526211	0.746808123540203	0.744339650210423	ostta19g00020/ostta18g01040	2
GO:0006082	organic acid metabolic process	8/50	466/4717	0.0171673819742489	1.61957081545064	1.45811359148005	0.114868244665038	0.746808123540203	0.744339650210423	ostta16g00550/ostta07g04600/ostta02g00800/ostta02g00710/ostta02g00900/ostta17g02090/ostta17g00300/ostta06g02290	8
GO:0043436	oxoacid metabolic process	8/50	466/4717	0.0171673819742489	1.61957081545064	1.45811359148005	0.114868244665038	0.746808123540203	0.744339650210423	ostta16g00550/ostta07g04600/ostta02g00800/ostta02g00710/ostta02g00900/ostta17g02090/ostta17g00300/ostta06g02290	8
GO:0055086	nucleobase-containing small molecule metabolic process	5/50	245/4717	0.0204081632653061	1.92530612244898	1.53946769702431	0.115700918428668	0.746808123540203	0.744339650210423	ostta02g05090/ostta16g00550/ostta19g00190/ostta02g05440/ostta19g00110	5
GO:0000245	spliceosomal complex assembly	1/50	12/4717	0.0833333333333333	7.86166666666667	2.46316455081094	0.120171781124955	0.746808123540203	0.744339650210423	ostta07g03560	1
GO:0001887	selenium compound metabolic process	1/50	12/4717	0.0833333333333333	7.86166666666667	2.46316455081094	0.120171781124955	0.746808123540203	0.744339650210423	ostta07g04600	1
GO:0007131	reciprocal meiotic recombination	1/50	12/4717	0.0833333333333333	7.86166666666667	2.46316455081094	0.120171781124955	0.746808123540203	0.744339650210423	ostta11g01720	1
GO:0140527	reciprocal homologous recombination	1/50	12/4717	0.0833333333333333	7.86166666666667	2.46316455081094	0.120171781124955	0.746808123540203	0.744339650210423	ostta11g01720	1
GO:0006418	tRNA aminoacylation for protein translation	2/50	59/4717	0.0338983050847458	3.19796610169492	1.75832946522614	0.128837226876443	0.746808123540203	0.744339650210423	ostta07g04600/ostta02g00900	2
GO:0000027	ribosomal large subunit assembly	1/50	14/4717	0.0714285714285714	6.73857142857143	2.22552931947539	0.138774241916349	0.746808123540203	0.744339650210423	ostta01g04120	1
GO:0007127	meiosis I	1/50	14/4717	0.0714285714285714	6.73857142857143	2.22552931947539	0.138774241916349	0.746808123540203	0.744339650210423	ostta11g01720	1
GO:0071805	potassium ion transmembrane transport	1/50	14/4717	0.0714285714285714	6.73857142857143	2.22552931947539	0.138774241916349	0.746808123540203	0.744339650210423	ostta05g01440	1
GO:0043038	amino acid activation	2/50	62/4717	0.032258064516129	3.04322580645161	1.67612099950075	0.139635138168257	0.746808123540203	0.744339650210423	ostta07g04600/ostta02g00900	2
GO:0043039	tRNA aminoacylation	2/50	62/4717	0.032258064516129	3.04322580645161	1.67612099950075	0.139635138168257	0.746808123540203	0.744339650210423	ostta07g04600/ostta02g00900	2
GO:0022618	protein-RNA complex assembly	2/50	64/4717	0.03125	2.948125	1.62402713097409	0.146942265486753	0.746808123540203	0.744339650210423	ostta01g04120/ostta07g03560	2
GO:0032543	mitochondrial translation	1/50	15/4717	0.0666666666666667	6.28933333333333	2.1235292828033	0.147930373726722	0.746808123540203	0.744339650210423	ostta02g00900	1
GO:0045944	positive regulation of transcription by RNA polymerase II	1/50	15/4717	0.0666666666666667	6.28933333333333	2.1235292828033	0.147930373726722	0.746808123540203	0.744339650210423	ostta01g05160	1
GO:0061982	meiosis I cell cycle process	1/50	15/4717	0.0666666666666667	6.28933333333333	2.1235292828033	0.147930373726722	0.746808123540203	0.744339650210423	ostta11g01720	1
GO:0071826	protein-RNA complex organization	2/50	65/4717	0.0307692307692308	2.90276923076923	1.59873302093173	0.150625879954926	0.746808123540203	0.744339650210423	ostta01g04120/ostta07g03560	2
GO:0140053	mitochondrial gene expression	1/50	16/4717	0.0625	5.89625	2.03039927757475	0.156991088595642	0.746808123540203	0.744339650210423	ostta02g00900	1
GO:1901659	glycosyl compound biosynthetic process	1/50	16/4717	0.0625	5.89625	2.03039927757475	0.156991088595642	0.746808123540203	0.744339650210423	ostta02g05090	1
GO:0008610	lipid biosynthetic process	4/50	200/4717	0.02	1.8868	1.32638205310126	0.160500615598461	0.746808123540203	0.744339650210423	ostta02g00800/ostta02g00710/ostta17g00300/ostta06g02290	4
GO:0045047	protein targeting to ER	1/50	17/4717	0.0588235294117647	5.54941176470588	1.94483955150803	0.165957360786712	0.746808123540203	0.744339650210423	ostta10g00540	1
GO:0072599	establishment of protein localization to endoplasmic reticulum	1/50	17/4717	0.0588235294117647	5.54941176470588	1.94483955150803	0.165957360786712	0.746808123540203	0.744339650210423	ostta10g00540	1
GO:0006612	protein targeting to membrane	1/50	18/4717	0.0555555555555556	5.24111111111111	1.86580469032981	0.174830154820895	0.760147161867654	0.757634598149301	ostta10g00540	1
GO:0006813	potassium ion transport	1/50	19/4717	0.0526315789473684	4.96526315789474	1.79244281504891	0.183610425571897	0.760147161867654	0.757634598149301	ostta05g01440	1
GO:0070972	protein localization to endoplasmic reticulum	1/50	19/4717	0.0526315789473684	4.96526315789474	1.79244281504891	0.183610425571897	0.760147161867654	0.757634598149301	ostta10g00540	1
GO:0140013	meiotic nuclear division	1/50	19/4717	0.0526315789473684	4.96526315789474	1.79244281504891	0.183610425571897	0.760147161867654	0.757634598149301	ostta11g01720	1
GO:1901137	carbohydrate derivative biosynthetic process	4/50	216/4717	0.0185185185185185	1.74703703703704	1.1632351128015	0.194252698412449	0.767147022850173	0.764611322037294	ostta02g05090/ostta19g00320/ostta19g00110/ostta19g00120	4
GO:0006103	2-oxoglutarate metabolic process	1/50	22/4717	0.0454545454545455	4.28818181818182	1.59993509786945	0.209405504131239	0.767147022850173	0.764611322037294	ostta17g02090	1
GO:1903046	meiotic cell cycle process	1/50	22/4717	0.0454545454545455	4.28818181818182	1.59993509786945	0.209405504131239	0.767147022850173	0.764611322037294	ostta11g01720	1
GO:0006400	tRNA modification	2/50	81/4717	0.0246913580246914	2.32938271604938	1.24903274390686	0.211635382517575	0.767147022850173	0.764611322037294	ostta02g05090/ostta07g04600	2
GO:0016311	dephosphorylation	2/50	84/4717	0.0238095238095238	2.24619047619048	1.19274037536418	0.223378396391598	0.767147022850173	0.764611322037294	ostta19g00190/ostta08g03000	2
GO:0045893	positive regulation of DNA-templated transcription	1/50	24/4717	0.0416666666666667	3.93083333333333	1.48978798001793	0.226156687176684	0.767147022850173	0.764611322037294	ostta01g05160	1
GO:1901135	carbohydrate derivative metabolic process	5/50	309/4717	0.0161812297734628	1.52653721682848	0.990924395113624	0.2275489109378	0.767147022850173	0.764611322037294	ostta02g05090/ostta19g00320/ostta16g00550/ostta19g00110/ostta19g00120	5
GO:0009116	nucleoside metabolic process	1/50	25/4717	0.04	3.7736	1.43908958859514	0.234401342118335	0.767147022850173	0.764611322037294	ostta02g05090	1
GO:0042255	ribosome assembly	1/50	26/4717	0.0384615384615385	3.62846153846154	1.39094060019719	0.242559895591072	0.767147022850173	0.764611322037294	ostta01g04120	1
GO:0046487	glyoxylate metabolic process	1/50	26/4717	0.0384615384615385	3.62846153846154	1.39094060019719	0.242559895591072	0.767147022850173	0.764611322037294	ostta17g02090	1
GO:0006099	tricarboxylic acid cycle	1/50	27/4717	0.037037037037037	3.49407407407407	1.34511002217029	0.250633228616109	0.767147022850173	0.764611322037294	ostta17g02090	1
GO:1902680	positive regulation of RNA biosynthetic process	1/50	27/4717	0.037037037037037	3.49407407407407	1.34511002217029	0.250633228616109	0.767147022850173	0.764611322037294	ostta01g05160	1
GO:0006611	protein export from nucleus	1/50	28/4717	0.0357142857142857	3.36928571428571	1.30139560306558	0.25862221338566	0.767147022850173	0.764611322037294	ostta10g00540	1
GO:0051321	meiotic cell cycle	1/50	28/4717	0.0357142857142857	3.36928571428571	1.30139560306558	0.25862221338566	0.767147022850173	0.764611322037294	ostta11g01720	1
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	1/50	29/4717	0.0344827586206897	3.25310344827586	1.2596193676002	0.266527713349557	0.767147022850173	0.764611322037294	ostta12g00850	1
GO:0072657	protein localization to membrane	1/50	29/4717	0.0344827586206897	3.25310344827586	1.2596193676002	0.266527713349557	0.767147022850173	0.764611322037294	ostta10g00540	1
GO:0090150	establishment of protein localization to membrane	1/50	29/4717	0.0344827586206897	3.25310344827586	1.2596193676002	0.266527713349557	0.767147022850173	0.764611322037294	ostta10g00540	1
GO:1901657	glycosyl compound metabolic process	1/50	30/4717	0.0333333333333333	3.14466666666667	1.21962397324726	0.274350583301034	0.767147022850173	0.764611322037294	ostta02g05090	1
GO:0022613	ribonucleoprotein complex biogenesis	4/50	251/4717	0.0159362549800797	1.50342629482072	0.848333069842195	0.27464006858648	0.767147022850173	0.764611322037294	ostta01g04120/ostta14g02190/ostta11g01150/ostta07g03560	4
GO:0006399	tRNA metabolic process	3/50	177/4717	0.0169491525423729	1.59898305084746	0.840671336959782	0.288938051763646	0.767147022850173	0.764611322037294	ostta02g05090/ostta07g04600/ostta02g00900	3
GO:0009226	nucleotide-sugar biosynthetic process	1/50	33/4717	0.0303030303030303	2.85878787878788	1.10899952068324	0.29733183294269	0.767147022850173	0.764611322037294	ostta19g00110	1
