ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0040011	locomotion	6/166	10/4717	0.6	17.0493975903614	9.70228798420752	3.24550692323696e-07	0.000134039435929686	0.000132211703083442	ostta01g03980/ostta14g00070/ostta15g01070/ostta06g04460/ostta09g00590/ostta07g01910	6
GO:0007017	microtubule-based process	10/166	54/4717	0.185185185185185	5.26215975011156	6.01563420602613	1.39305661796837e-05	0.00287666191610467	0.00283743637449346	ostta01g03940/ostta10g01050/ostta14g00070/ostta18g01040/ostta19g00020/ostta06g04460/ostta07g03080/ostta07g04210/ostta08g03710/ostta01g04320	10
GO:0007018	microtubule-based movement	7/166	29/4717	0.241379310344828	6.85895305359369	6.04383695794939	4.77735857073456e-05	0.00657683029904458	0.00648715005920799	ostta14g00070/ostta18g01040/ostta19g00020/ostta06g04460/ostta07g03080/ostta08g03710/ostta01g04320	7
GO:0007010	cytoskeleton organization	8/166	48/4717	0.166666666666667	4.7359437751004	4.96817102683018	0.000225326881493592	0.0232650005142134	0.0229477639836895	ostta01g03940/ostta10g01050/ostta14g00070/ostta14g01800/ostta06g04460/ostta07g04210/ostta08g03710/ostta01g04320	8
GO:0061982	meiosis I cell cycle process	4/166	15/4717	0.266666666666667	7.57751004016064	4.87251698055313	0.00148981487856178	0.123058708969203	0.121380706948086	ostta11g01720/ostta05g02370/ostta07g03600/ostta08g01860	4
GO:0000226	microtubule cytoskeleton organization	5/166	26/4717	0.192307692307692	5.46455050973123	4.35932474511508	0.00183326212738693	0.1261895431018	0.124468849701534	ostta01g03940/ostta10g01050/ostta14g00070/ostta06g04460/ostta07g04210	5
GO:0006508	proteolysis	20/166	311/4717	0.0643086816720257	1.82737380389726	2.88301723620235	0.00587675503154062	0.340077875914636	0.33544064732755	ostta11g02000/ostta11g02250/ostta12g02560/ostta13g00020/ostta13g01770/ostta16g01100/ostta19g00190/ostta19g00580/ostta02g00020/ostta02g04180/ostta03g06010/ostta04g05600/ostta05g02422/ostta06g00060/ostta08g00030/ostta08g03960/ostta15g02930/ostta02g01720/ostta05g04760/ostta08g03000	20
GO:1903046	meiotic cell cycle process	4/166	22/4717	0.181818181818182	5.16648411829135	3.74068206427812	0.00658746490875808	0.340077875914636	0.33544064732755	ostta11g01720/ostta05g02370/ostta07g03600/ostta08g01860	4
GO:0022402	cell cycle process	8/166	85/4717	0.0941176470588235	2.67441530829199	2.97492415417881	0.00954039074549602	0.437797930876651	0.431828212690873	ostta01g03930/ostta10g01050/ostta11g01720/ostta05g02370/ostta07g03600/ostta08g01860/ostta02g01860/ostta07g01910	8
GO:0007127	meiosis I	3/166	14/4717	0.214285714285714	6.08907056798623	3.64168624723067	0.0117040262325049	0.45220595648978	0.446039773573455	ostta11g01720/ostta07g03600/ostta08g01860	3
