ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0015074	DNA integration	4/85	12/4717	0.333333333333333	18.4980392156863	8.22076588566013	4.35564705675191e-05	0.015941668227712	0.015941668227712	ostta11g02575/ostta19g00515/ostta02g01245/ostta02g01247	4
GO:0071897	DNA biosynthetic process	5/85	27/4717	0.185185185185185	10.276688453159	6.54787707956608	9.97472054109656e-05	0.0182537385902067	0.0182537385902067	ostta11g02575/ostta04g03490/ostta19g00515/ostta11g01840/ostta19g00395	5
GO:0006259	DNA metabolic process	13/85	319/4717	0.0407523510971787	2.26151576618108	3.16062155307106	0.00423069326751359	0.50116933064679	0.50116933064679	ostta11g02575/ostta04g03490/ostta19g00515/ostta02g01245/ostta18g00180/ostta08g03990/ostta13g00120/ostta02g01247/ostta07g00020/ostta06g00330/ostta12g01020/ostta11g01840/ostta19g00395	13
GO:1903047	mitotic cell cycle process	4/85	40/4717	0.1	5.54941176470588	3.91393530520849	0.00547726044422721	0.50116933064679	0.50116933064679	ostta13g00120/ostta02g03610/ostta07g01910/ostta15g02570	4
GO:0000278	mitotic cell cycle	4/85	49/4717	0.0816326530612245	4.53013205282113	3.36461714427299	0.0112359953058024	0.611617577998042	0.611617577998042	ostta13g00120/ostta02g03610/ostta07g01910/ostta15g02570	4
GO:0006310	DNA recombination	5/85	76/4717	0.0657894736842105	3.65092879256966	3.15581226568526	0.0114545257840155	0.611617577998042	0.611617577998042	ostta02g01245/ostta08g03990/ostta13g00120/ostta02g01247/ostta07g00020	5
GO:0040011	locomotion	2/85	10/4717	0.2	11.0988235294118	4.33022805868639	0.0131476789386776	0.611617577998042	0.611617577998042	ostta01g03980/ostta07g01910	2
GO:0000819	sister chromatid segregation	3/85	28/4717	0.107142857142857	5.94579831932773	3.55539115499601	0.0133686902294654	0.611617577998042	0.611617577998042	ostta13g00120/ostta02g03610/ostta15g02570	3
GO:0006633	fatty acid biosynthetic process	4/85	58/4717	0.0689655172413793	3.82718052738337	2.93449428582292	0.0199198312396616	0.810073137079573	0.810073137079573	ostta17g00300/ostta02g00710/ostta16g00040/ostta02g00800	4
GO:0098813	nuclear chromosome segregation	3/85	34/4717	0.0882352941176471	4.89653979238754	3.08864917074114	0.0226065079744102	0.819569264232385	0.819569264232385	ostta13g00120/ostta02g03610/ostta15g02570	3
GO:0072330	monocarboxylic acid biosynthetic process	4/85	63/4717	0.0634920634920635	3.5234360410831	2.73125011473024	0.0261442030133564	0.819569264232385	0.819569264232385	ostta17g00300/ostta02g00710/ostta16g00040/ostta02g00800	4
GO:0007059	chromosome segregation	3/85	38/4717	0.0789473684210526	4.38111455108359	2.83457039022867	0.0302786148555368	0.819569264232385	0.819569264232385	ostta13g00120/ostta02g03610/ostta15g02570	3
GO:0035825	homologous recombination	3/85	39/4717	0.0769230769230769	4.26877828054299	2.77651321013429	0.0323854014169333	0.819569264232385	0.819569264232385	ostta08g03990/ostta13g00120/ostta07g00020	3
GO:0007049	cell cycle	7/85	172/4717	0.0406976744186047	2.25848153214774	2.27748860202163	0.034410547894283	0.819569264232385	0.819569264232385	ostta13g00120/ostta07g00020/ostta02g03610/ostta07g01910/ostta12g01020/ostta11g01840/ostta15g02570	7
GO:0071103	DNA conformation change	3/85	40/4717	0.075	4.16205882352941	2.72037228253792	0.0345671425768824	0.819569264232385	0.819569264232385	ostta13g00120/ostta04g00690/ostta12g01020	3
GO:0000280	nuclear division	3/85	41/4717	0.0731707317073171	4.06054519368723	2.66603323912994	0.0368234473673951	0.819569264232385	0.819569264232385	ostta13g00120/ostta02g03610/ostta15g02570	3
GO:0006401	RNA catabolic process	5/85	107/4717	0.0467289719626168	2.59318306761957	2.25797533671877	0.0428645191460971	0.819569264232385	0.819569264232385	ostta07g03820/ostta07g01920/ostta07g02310/ostta03g02750/ostta02g04090	5
GO:0000097	sulfur amino acid biosynthetic process	2/85	20/4717	0.1	5.54941176470588	2.76167170153035	0.0494304117409136	0.819569264232385	0.819569264232385	ostta06g04570/ostta09g03600	2
GO:0009070	serine family amino acid biosynthetic process	2/85	23/4717	0.0869565217391304	4.82557544757033	2.49115776674811	0.0635890419550104	0.819569264232385	0.819569264232385	ostta06g04570/ostta09g03600	2
