Time	temp10	temp14	temp20	temp26
0	6	6	6	6
0	6	6	6	6
0	6	6	6	6
0	6	6	6	6
0	6	6	6	6
0	6	6	6	6
24	5.41328	5.62204	6.436	6.7626
24	5.53912	5.87372	5.96464	6.82152
24	5.97556	5.38928	5.76388	5.93264
24	5.53112	4.68224	5.70496	5.98356
24	5.33036	5.56312	5.68896	5.99156
24	6.66952	5.41328	5.63004	6.25416
48	5.13468	6.1414	6.65276	7.3998
48	5.92248	6.25924	6.85352	7.58456
48	5.80388	5.4962	6.72768	6.81352
48	5.66496	5.63004	6.66076	6.62876
48	4.96084	5.76388	6.75968	6.56984
48	5.01176	5.89772	6.452	6.82952
72	5.21252	6.52692	7.32196	7.85224
72	5.40528	6.59384	7.82532	8.16284
72	5.21252	5.88172	7.26304	7.34888
72	5.27944	5.88972	7.26304	7.61148
72	4.88592	6.27524	7.0064	7.3918
72	4.75208	6.34216	7.25504	7.53364
96	5.37036	7.19612	7.90024	8.23776
96	5.44528	7.4398	8.15992	8.48652
96	5.24452	6.74368	8.15992	7.80132
96	5.1776	6.54292	8.15192	7.80932
96	4.71716	6.93644	8.32868	8.14392
96	4.58332	6.92844	8.085	8.12792
168	5.32744	8.62836	10.18136	9.75584
168	5.61404	8.36068	10.40612	9.622
168	5.11868	8.4356	10.28828	9.04372
168	4.94192	8.36868	10.3472	9.05172
168	4.42256	9.48232	10.48104	9.3114
168	4.33964	8.56144	10.74872	9.24448
