t10C_1	t10C_2	t10C_3	t14C_1	t14C_2	t14C_3	t20C_1	t20C_2	t20C_3	t26C_1	t26C_2	t26C_3
43.99131	39.580387	38.634583	38.723351	35.989841	38.272041	34.791672	30.202894	29.067356	45.343327	46.015034	44.321796
26.476793	23.349979	22.084057	19.807867	18.337345	16.679943	25.442566	19.781862	17.439911	27.530249	29.908211	27.591972
15.079064	15.93047	14.522239	10.63125	7.941051	8.693375	7.299343	6.777994	6.423476	8.77062	9.945183	8.240674
117.227661	115.206177	112.281105	81.082855	79.16114	81.916862	93.010406	102.530823	99.10762	88.697823	88.70092	80.88871
29.818937	30.760118	32.924404	27.330326	26.426275	28.375336	36.986897	41.585278	34.467091	29.389275	27.855453	28.767195
277.693481	250.389023	235.785233	170.021484	177.248367	193.834045	177.767761	163.94014	183.768082	195.94548	191.679077	189.283966
68.069855	77.424973	65.458061	75.12809	83.662552	80.257286	98.792427	103.617386	104.395248	72.024178	73.779549	80.215309
17.165136	22.583284	26.639303	20.96104	24.803495	21.794498	35.555199	31.762827	27.796738	32.263676	32.335121	20.611166
306.613953	303.469177	276.366852	213.027863	175.328827	188.531128	175.292679	123.900101	121.197563	302.407776	311.974396	244.953979
36.514397	30.75552	30.057693	34.145782	30.390366	31.205112	32.254856	28.314932	24.04884	29.102734	28.640894	27.333929
14.566216	12.749603	15.682345	12.108832	14.485856	12.640523	31.983625	22.520008	18.657763	21.278904	23.412403	17.983965
55.035965	50.862476	54.282845	49.635155	50.300148	48.107883	43.638638	31.009632	26.564503	39.148693	37.019024	43.690449
35.189339	37.741467	40.696049	42.805359	47.032024	45.612564	69.031059	57.079277	48.02634	50.661213	51.79504	48.778111
68.629417	75.945068	79.756615	188.533951	187.118378	186.310516	125.622772	79.509102	68.326019	87.269829	85.702225	89.202751
20.368668	24.246853	17.426714	10.571342	12.313319	12.946592	29.27195	35.639595	29.320671	36.875057	36.291794	34.569553
41.6478	37.856907	39.510437	31.200977	33.37986	35.055843	44.893829	32.710003	40.319508	32.388988	33.451977	31.584881
32.615059	38.693012	39.271614	33.245377	38.718651	36.063309	47.356804	33.066059	37.492035	42.915009	41.870716	43.560291
109.618111	123.524567	128.384171	122.915527	112.563652	131.056244	128.463074	125.098221	136.101379	245.554443	218.224472	231.288696
96.338142	90.903496	86.664528	46.583176	42.417358	39.479313	105.462257	156.938293	158.637085	150.622131	161.501526	158.823334
29.954781	42.208233	46.417561	37.070198	42.115566	45.239372	68.31974	68.648064	60.615685	55.683041	57.516045	60.242134
88.250443	100.834557	115.960396	137.600189	146.087555	160.457153	149.009369	151.975632	192.161163	205.00975	177.251968	198.519394
108.142937	108.962944	104.850121	78.411919	85.873024	93.05159	102.558701	117.556099	109.534462	112.772392	110.332878	105.171181
38.786057	39.369755	40.188755	29.439199	31.182352	32.448292	36.650177	28.924755	33.651253	45.841026	45.156326	42.087284
24.263987	22.97814	17.854551	17.240593	19.402578	14.332072	18.518602	19.561159	16.2488	21.252007	23.071621	21.614347
15.756845	20.896208	25.964159	19.569082	20.627321	20.596935	26.511431	23.43771	19.962341	26.095793	26.891478	26.932947
0.884451	0.641898	0.759556	0.30819	0.465238	0.503604	0.754349	0.972635	1.158816	0.519194	1.310537	0.792324
209.391876	224.014343	215.121841	243.375443	234.504578	247.147308	382.068085	280.327637	258.151276	252.925735	242.91185	235.475754
79.706635	74.883453	79.778603	50.53495	51.703773	45.850887	59.902435	67.138054	63.333469	66.418526	67.516922	68.218475
14.894274	12.843632	28.555687	37.064964	32.371769	44.792625	30.08342	16.44557	17.513765	58.980206	44.299927	42.102123
31.393522	31.872133	31.184843	21.722601	27.514032	26.790184	23.936283	17.504873	18.713327	33.493515	36.726288	34.712624
31.668859	27.018311	24.206745	35.094101	36.328396	37.583187	34.666084	30.188993	31.829391	31.505299	33.222126	31.217339
30.728378	28.888819	26.26449	21.437048	22.110458	21.715406	30.096703	26.611004	27.331659	28.211288	27.959524	29.370941
248.783783	216.815521	198.08049	212.253723	227.207825	225.949814	142.338791	86.522026	84.385521	117.264404	113.030167	110.864067
17.419342	18.392998	22.777479	13.539563	18.802666	16.301056	19.378836	19.281782	17.460785	14.993092	17.362326	19.298082
46.070087	55.396603	61.598778	69.793022	68.512039	66.75872	57.862999	57.542809	48.999146	46.990765	44.747646	45.818611
17.356638	14.797533	14.377048	9.035305	8.532377	7.752514	16.857176	19.057018	19.876051	28.002392	28.19936	26.945518
70.018867	69.875816	119.276253	104.099899	117.857338	130.253784	158.777786	181.032852	203.813354	240.817245	230.99765	218.990463
