ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0045893	GO:0045893	positive regulation of DNA-templated transcription	53/310	477/21384	0.111111111111111	7.66451612903226	17.8535107872623	2.20190196843218e-31	9.79846375952319e-29	7.55600043904095e-29	AT1G63910/AT2G31180/AT2G32460/AT2G47190/AT2G47460/AT3G08500/AT3G27785/AT3G30210/AT3G47600/AT4G12350/AT4G13480/AT4G17785/AT4G22680/AT4G33450/AT5G12870/AT5G16600/AT5G17800/AT5G40360/AT5G57620/AT5G62470/AT1G29860/AT2G47260/AT4G39410/AT5G49520/AT1G22130/AT1G24260/AT1G26310/AT1G69120/AT2G03710/AT2G14210/AT2G22540/AT2G22630/AT2G42830/AT2G45650/AT2G45660/AT3G02310/AT3G30260/AT3G58780/AT3G61120/AT4G09960/AT4G11880/AT4G18960/AT4G22950/AT4G24540/AT4G37940/AT5G10140/AT5G15800/AT5G20240/AT5G23260/AT5G51860/AT5G51870/AT5G60910/AT5G62165	53
GO:1902680	GO:1902680	positive regulation of RNA biosynthetic process	53/310	477/21384	0.111111111111111	7.66451612903226	17.8535107872623	2.20190196843218e-31	9.79846375952319e-29	7.55600043904095e-29	AT1G63910/AT2G31180/AT2G32460/AT2G47190/AT2G47460/AT3G08500/AT3G27785/AT3G30210/AT3G47600/AT4G12350/AT4G13480/AT4G17785/AT4G22680/AT4G33450/AT5G12870/AT5G16600/AT5G17800/AT5G40360/AT5G57620/AT5G62470/AT1G29860/AT2G47260/AT4G39410/AT5G49520/AT1G22130/AT1G24260/AT1G26310/AT1G69120/AT2G03710/AT2G14210/AT2G22540/AT2G22630/AT2G42830/AT2G45650/AT2G45660/AT3G02310/AT3G30260/AT3G58780/AT3G61120/AT4G09960/AT4G11880/AT4G18960/AT4G22950/AT4G24540/AT4G37940/AT5G10140/AT5G15800/AT5G20240/AT5G23260/AT5G51860/AT5G51870/AT5G60910/AT5G62165	53
GO:0045944	GO:0045944	positive regulation of transcription by RNA polymerase II	29/310	179/21384	0.162011173184358	11.1756352495945	16.5809948810132	4.0412757876275e-22	1.19891181699616e-19	9.24530460888817e-20	AT1G22130/AT1G24260/AT1G26310/AT1G69120/AT2G03710/AT2G14210/AT2G22540/AT2G22630/AT2G42830/AT2G45650/AT2G45660/AT3G02310/AT3G30260/AT3G58780/AT3G61120/AT4G09960/AT4G11880/AT4G18960/AT4G22950/AT4G24540/AT4G37940/AT5G10140/AT5G15800/AT5G20240/AT5G23260/AT5G51860/AT5G51870/AT5G60910/AT5G62165	29
GO:0048438	GO:0048438	floral whorl development	21/310	225/21384	0.0933333333333333	6.4381935483871	9.94580699313819	1.60700476256063e-11	3.5755855966974e-09	2.75728185576192e-09	AT3G10910/AT3G01530/AT3G06490/AT3G13890/AT3G27810/AT5G17800/AT5G40350/AT1G24260/AT2G03710/AT2G22540/AT2G42830/AT3G02310/AT3G58780/AT3G61120/AT4G09960/AT4G18960/AT4G24540/AT5G15800/AT5G23260/AT5G02030/AT5G41410	21
GO:0009699	GO:0009699	phenylpropanoid biosynthetic process	14/310	104/21384	0.134615384615385	9.28585607940447	10.2732988155046	3.33076002550378e-10	4.83742853014164e-08	3.73034110189515e-08	AT1G63910/AT4G12350/AT4G17785/AT4G22680/AT5G10280/AT5G16600/AT5G35550/AT4G39410/AT5G23260/AT2G21730/AT2G21890/AT4G37970/AT4G37980/AT4G37990	14
GO:0019827	GO:0019827	stem cell population maintenance	13/310	87/21384	0.149425287356322	10.3074527252503	10.5504972083992	3.80471906865073e-10	4.83742853014164e-08	3.73034110189515e-08	AT1G69120/AT2G03710/AT2G22540/AT2G45660/AT4G11880/AT4G24540/AT5G60910/AT1G51190/AT3G20840/AT4G37750/AT5G10510/AT2G27990/AT5G02030	13
GO:0098727	GO:0098727	maintenance of cell number	13/310	87/21384	0.149425287356322	10.3074527252503	10.5504972083992	3.80471906865073e-10	4.83742853014164e-08	3.73034110189515e-08	AT1G69120/AT2G03710/AT2G22540/AT2G45660/AT4G11880/AT4G24540/AT5G60910/AT1G51190/AT3G20840/AT4G37750/AT5G10510/AT2G27990/AT5G02030	13
GO:2000241	GO:2000241	regulation of reproductive process	23/310	336/21384	0.068452380952381	4.72188940092166	8.34006358544378	8.76608779210368e-10	7.77507882589584e-08	5.99568467709531e-08	AT1G20823/AT2G32460/AT3G06490/AT3G27785/AT5G40360/AT5G62470/AT1G22130/AT1G26310/AT2G22540/AT2G45650/AT2G45660/AT4G09960/AT5G10140/AT5G23260/AT5G51860/AT5G51870/AT5G60910/AT5G62165/AT5G10510/AT2G13680/AT4G32540/AT5G11320/AT1G02580	23
GO:0048437	GO:0048437	floral organ development	21/310	279/21384	0.0752688172043011	5.19209157127992	8.5483414521849	8.81349796944586e-10	7.77507882589584e-08	5.99568467709531e-08	AT3G10910/AT3G01530/AT3G06490/AT3G13890/AT3G27810/AT5G17800/AT5G40350/AT1G24260/AT2G03710/AT2G42830/AT2G45650/AT3G02310/AT3G58780/AT3G61120/AT4G09960/AT4G18960/AT5G15800/AT5G20240/AT5G23260/AT5G62165/AT5G41410	21
GO:0048440	GO:0048440	carpel development	13/310	93/21384	0.139784946236559	9.64245577523413	10.130299542939	8.92894419356403e-10	7.77507882589584e-08	5.99568467709531e-08	AT3G10910/AT5G17800/AT1G24260/AT2G03710/AT2G42830/AT3G02310/AT3G58780/AT3G61120/AT4G09960/AT4G18960/AT5G15800/AT5G23260/AT5G41410	13
GO:2000652	GO:2000652	regulation of secondary cell wall biogenesis	9/310	34/21384	0.264705882352941	18.2595825426945	12.2155347390262	9.60964798706227e-10	7.77507882589584e-08	5.99568467709531e-08	AT1G17950/AT1G63910/AT1G73410/AT3G08500/AT4G12350/AT4G22680/AT4G33450/AT5G12870/AT5G16600	9
GO:0048481	GO:0048481	plant ovule development	11/310	67/21384	0.164179104477612	11.3251805488686	10.2662938393293	3.10919819466588e-09	2.30598866104386e-07	1.77824317800189e-07	AT3G10910/AT5G17800/AT1G24260/AT2G42830/AT3G02310/AT3G58780/AT3G61120/AT4G09960/AT5G15800/AT5G23260/AT5G41410	11
GO:0035670	GO:0035670	plant-type ovary development	11/310	69/21384	0.159420289855072	10.9969144460028	10.0876389374954	4.30057448565026e-09	2.6861883301081e-07	2.07143085893611e-07	AT3G10910/AT5G17800/AT1G24260/AT2G42830/AT3G02310/AT3G58780/AT3G61120/AT4G09960/AT5G15800/AT5G23260/AT5G41410	11
GO:0044550	GO:0044550	secondary metabolite biosynthetic process	14/310	126/21384	0.111111111111111	7.66451612903226	9.09985289205635	4.3380567531287e-09	2.6861883301081e-07	2.07143085893611e-07	AT1G63910/AT4G12350/AT4G17785/AT4G22680/AT5G10280/AT5G16600/AT5G35550/AT4G39410/AT5G23260/AT2G21730/AT2G21890/AT4G37970/AT4G37980/AT4G37990	14
GO:0010073	GO:0010073	meristem maintenance	17/310	197/21384	0.0862944162436548	5.95264450630424	8.4698791328497	4.76069625816336e-09	2.6861883301081e-07	2.07143085893611e-07	AT1G26310/AT1G69120/AT2G03710/AT2G22540/AT2G45660/AT3G30260/AT4G11880/AT4G24540/AT5G60910/AT1G51190/AT4G37750/AT5G10510/AT3G19960/AT5G11320/AT2G27990/AT5G02030/AT3G55510	17
GO:0009809	GO:0009809	lignin biosynthetic process	10/310	54/21384	0.185185185185185	12.7741935483871	10.5068927660508	4.82910261592467e-09	2.6861883301081e-07	2.07143085893611e-07	AT1G63910/AT4G12350/AT4G22680/AT5G16600/AT4G39410/AT2G21730/AT2G21890/AT4G37970/AT4G37980/AT4G37990	10
GO:0048467	GO:0048467	gynoecium development	13/310	107/21384	0.121495327102804	8.3808260476334	9.28289288179026	5.197598835665e-09	2.72109586102462e-07	2.09834949898054e-07	AT3G10910/AT5G17800/AT1G24260/AT2G03710/AT2G42830/AT3G02310/AT3G58780/AT3G61120/AT4G09960/AT4G18960/AT5G15800/AT5G23260/AT5G41410	13
GO:0009851	GO:0009851	auxin biosynthetic process	9/310	41/21384	0.219512195121951	15.1420928402832	10.9930842705851	5.87178468577555e-09	2.75046756333697e-07	2.1209992327566e-07	AT4G37750/AT1G04180/AT1G48910/AT4G13260/AT4G28720/AT4G32540/AT5G11320/AT5G25620/AT5G43890	9
GO:1903338	GO:1903338	regulation of cell wall organization or biogenesis	9/310	41/21384	0.219512195121951	15.1420928402832	10.9930842705851	5.87178468577555e-09	2.75046756333697e-07	2.1209992327566e-07	AT1G17950/AT1G63910/AT1G73410/AT3G08500/AT4G12350/AT4G22680/AT4G33450/AT5G12870/AT5G16600	9
GO:0010074	GO:0010074	maintenance of meristem identity	11/310	73/21384	0.150684931506849	10.3943437914273	9.75141505496276	7.97008956784379e-09	3.35503945347194e-07	2.58720960811793e-07	AT1G69120/AT2G03710/AT2G22540/AT2G45660/AT4G11880/AT4G24540/AT5G60910/AT4G37750/AT5G10510/AT2G27990/AT5G02030	11
GO:0015766	GO:0015766	disaccharide transport	7/310	20/21384	0.35	24.1432258064516	12.5585437526836	8.29335595240256e-09	3.35503945347194e-07	2.58720960811793e-07	AT1G09960/AT1G22710/AT1G66570/AT1G71880/AT1G71890/AT2G14670/AT5G43610	7
GO:0015770	GO:0015770	sucrose transport	7/310	20/21384	0.35	24.1432258064516	12.5585437526836	8.29335595240256e-09	3.35503945347194e-07	2.58720960811793e-07	AT1G09960/AT1G22710/AT1G66570/AT1G71880/AT1G71890/AT2G14670/AT5G43610	7
GO:0010582	GO:0010582	floral meristem determinacy	7/310	21/21384	0.333333333333333	22.9935483870968	12.2296916502529	1.2286070552898e-08	4.55608449669966e-07	3.51338508793398e-07	AT1G26310/AT1G69120/AT2G22540/AT3G30260/AT4G24540/AT5G11320/AT3G55510	7
GO:0015772	GO:0015772	oligosaccharide transport	7/310	21/21384	0.333333333333333	22.9935483870968	12.2296916502529	1.2286070552898e-08	4.55608449669966e-07	3.51338508793398e-07	AT1G09960/AT1G22710/AT1G66570/AT1G71880/AT1G71890/AT2G14670/AT5G43610	7
GO:0009698	GO:0009698	phenylpropanoid metabolic process	14/310	137/21384	0.102189781021898	7.04911702378149	8.61479878127939	1.29193377978801e-08	4.59928425604531e-07	3.54669820809171e-07	AT1G63910/AT4G12350/AT4G17785/AT4G22680/AT5G10280/AT5G16600/AT5G35550/AT4G39410/AT5G23260/AT2G21730/AT2G21890/AT4G37970/AT4G37980/AT4G37990	14
GO:0009808	GO:0009808	lignin metabolic process	10/310	67/21384	0.149253731343284	10.2956186807896	9.24260378243965	4.23747232181981e-08	1.45051937169986e-06	1.11855544689333e-06	AT1G63910/AT4G12350/AT4G22680/AT5G16600/AT4G39410/AT2G21730/AT2G21890/AT4G37970/AT4G37980/AT4G37990	10
GO:0010022	GO:0010022	meristem determinacy	7/310	25/21384	0.28	19.3145806451613	11.1126644892303	4.83233280009805e-08	1.59288007114343e-06	1.22833566692551e-06	AT1G26310/AT1G69120/AT2G22540/AT3G30260/AT4G24540/AT5G11320/AT3G55510	7
GO:0009311	GO:0009311	oligosaccharide metabolic process	11/310	87/21384	0.126436781609195	8.72169076751947	8.75295091919424	5.23905131305957e-08	1.66526988165108e-06	1.28415844214844e-06	AT4G28110/AT1G09960/AT1G22710/AT1G66570/AT1G71880/AT1G71890/AT2G14670/AT5G43610/AT1G16980/AT1G17000/AT4G27550	11
GO:2000762	GO:2000762	regulation of phenylpropanoid metabolic process	7/310	27/21384	0.259259259259259	17.8838709677419	10.6469560114704	8.70769358500127e-08	2.67236113470729e-06	2.06076813699486e-06	AT1G63910/AT4G12350/AT4G17785/AT4G22680/AT5G16600/AT4G39410/AT5G23260	7
GO:0048507	GO:0048507	meristem development	20/310	332/21384	0.0602409638554217	4.15546055188496	7.0279197444367	9.42725212704002e-08	2.79675146435521e-06	2.15669066204565e-06	AT5G23000/AT1G26310/AT1G69120/AT2G03710/AT2G22540/AT2G45660/AT3G30260/AT4G11880/AT4G22950/AT4G24540/AT5G60910/AT1G51190/AT3G20840/AT4G37750/AT5G10510/AT3G19960/AT5G11320/AT2G27990/AT5G02030/AT3G55510	20
GO:0043455	GO:0043455	regulation of secondary metabolic process	9/310	58/21384	0.155172413793103	10.703893214683	8.97525879774807	1.43801509287789e-07	4.12849494406878e-06	3.1836531088502e-06	AT1G63910/AT1G68320/AT4G12350/AT4G17785/AT4G22680/AT5G16600/AT5G62470/AT4G39410/AT5G23260	9
GO:0005984	GO:0005984	disaccharide metabolic process	10/310	77/21384	0.12987012987013	8.95852534562212	8.48512980281622	1.64947014123974e-07	4.58758883032301e-06	3.53767938186943e-06	AT1G09960/AT1G22710/AT1G66570/AT1G71880/AT1G71890/AT2G14670/AT5G43610/AT1G16980/AT1G17000/AT4G27550	10
GO:2000026	GO:2000026	regulation of multicellular organismal development	22/310	415/21384	0.0530120481927711	3.65680528565876	6.62882558454728	1.99217245860528e-07	5.37282875199605e-06	4.14321034453155e-06	AT1G20823/AT1G34670/AT3G27785/AT3G28910/AT5G17800/AT5G62470/AT1G30650/AT1G26310/AT2G22540/AT2G22630/AT2G45650/AT2G45660/AT5G10140/AT5G51860/AT5G51870/AT5G60910/AT5G62165/AT5G57390/AT5G02500/AT4G32540/AT5G11320/AT1G37140	22
GO:0019748	GO:0019748	secondary metabolic process	17/310	255/21384	0.0666666666666667	4.59870967741935	7.01163188767252	2.12108701264081e-07	5.552257180148e-06	4.28157502242046e-06	AT1G56160/AT1G63910/AT1G68320/AT4G12350/AT4G17785/AT4G22680/AT5G10280/AT5G16600/AT5G35550/AT5G62470/AT4G39410/AT5G23260/AT2G21730/AT2G21890/AT4G37970/AT4G37980/AT4G37990	17
GO:1900376	GO:1900376	regulation of secondary metabolite biosynthetic process	6/310	20/21384	0.3	20.6941935483871	10.6869454336089	2.88886628074061e-07	7.34597425674041e-06	5.66478440614399e-06	AT1G63910/AT4G12350/AT4G22680/AT5G16600/AT4G39410/AT5G23260	6
GO:0051094	GO:0051094	positive regulation of developmental process	13/310	152/21384	0.0855263157894737	5.89966044142615	7.35248253631172	3.50996704717523e-07	8.67741853329431e-06	6.69151612502412e-06	AT5G57620/AT1G29860/AT4G04450/AT4G18170/AT4G39410/AT1G26310/AT2G22630/AT2G45650/AT2G45660/AT5G60910/AT5G57390/AT4G32540/AT5G11320	13
GO:0010439	GO:0010439	regulation of glucosinolate biosynthetic process	5/310	12/21384	0.416666666666667	28.741935483871	11.6586019477949	4.51740549099482e-07	1.0856606254415e-05	8.3719778567458e-06	AT3G27785/AT5G07690/AT5G07700/AT5G40360/AT5G61420	5
GO:0048580	GO:0048580	regulation of post-embryonic development	21/310	401/21384	0.0523690773067332	3.61245273911994	6.40513836019201	4.63540491761539e-07	1.0856606254415e-05	8.3719778567458e-06	AT1G20823/AT1G34670/AT3G27785/AT3G28910/AT5G17800/AT5G62470/AT1G30650/AT1G26310/AT2G22540/AT2G22630/AT2G45650/AT2G45660/AT5G10140/AT5G51860/AT5G51870/AT5G60910/AT5G62165/AT5G02500/AT4G32540/AT5G11320/AT1G37140	21
GO:0009850	GO:0009850	auxin metabolic process	9/310	69/21384	0.130434782608696	8.99747545582048	8.07005453988419	6.65595696685492e-07	1.51892351294894e-05	1.17130470779741e-05	AT4G37750/AT1G04180/AT1G48910/AT4G13260/AT4G28720/AT4G32540/AT5G11320/AT5G25620/AT5G43890	9
GO:0009834	GO:0009834	plant-type secondary cell wall biogenesis	10/310	91/21384	0.10989010989011	7.58029067706487	7.62937610233187	8.08135288370893e-07	1.79810101662524e-05	1.38659002109953e-05	AT1G17950/AT1G63910/AT1G73410/AT3G08500/AT3G13890/AT4G12350/AT4G22680/AT4G33450/AT5G12870/AT5G16600	10
GO:0042446	GO:0042446	hormone biosynthetic process	9/310	71/21384	0.126760563380282	8.74402544298046	7.92711812996495	8.52768896471026e-07	1.85113248258345e-05	1.42748477663443e-05	AT4G37750/AT1G04180/AT1G48910/AT4G13260/AT4G28720/AT4G32540/AT5G11320/AT5G25620/AT5G43890	9
GO:1901141	GO:1901141	regulation of lignin biosynthetic process	5/310	14/21384	0.357142857142857	24.6359447004608	10.7294237813373	1.11497161975377e-06	2.36267795614489e-05	1.82195863679062e-05	AT1G63910/AT4G12350/AT4G22680/AT5G16600/AT4G39410	5
GO:0044087	GO:0044087	regulation of cellular component biogenesis	10/310	100/21384	0.1	6.89806451612903	7.17008940011434	1.94049723950113e-06	4.01637800733954e-05	3.09719510441795e-05	AT1G17950/AT1G63910/AT1G73410/AT3G08500/AT4G12350/AT4G22680/AT4G33450/AT5G12870/AT5G16600/AT5G07780	10
GO:0005985	GO:0005985	sucrose metabolic process	7/310	48/21384	0.145833333333333	10.0596774193548	7.62111524096172	5.56253967618175e-06	0.000112515007086404	8.67649729394857e-05	AT1G09960/AT1G22710/AT1G66570/AT1G71880/AT1G71890/AT2G14670/AT5G43610	7
GO:0009909	GO:0009909	regulation of flower development	12/310	169/21384	0.0710059171597633	4.89803397594961	6.17034051367895	6.97148987832631e-06	0.000137880577593565	0.00010632541288114	AT1G20823/AT1G26310/AT2G22540/AT2G45650/AT2G45660/AT5G10140/AT5G51860/AT5G51870/AT5G60910/AT5G62165/AT4G32540/AT5G11320	12
GO:0046889	GO:0046889	positive regulation of lipid biosynthetic process	6/310	34/21384	0.176470588235294	12.173055028463	7.90777190025444	8.44915106290195e-06	0.000163472705347451	0.000126060560480825	AT3G27785/AT3G47600/AT5G10280/AT5G40360/AT5G62470/AT4G31390	6
GO:0048646	GO:0048646	anatomical structure formation involved in morphogenesis	14/310	240/21384	0.0583333333333333	4.02387096774194	5.71369400511988	1.17791705420593e-05	0.000221426626158072	0.000170751224429407	AT1G26780/AT1G69560/AT5G23000/AT5G57620/AT1G24260/AT3G30260/AT5G20240/AT5G10510/AT5G57390/AT5G67180/AT2G13680/AT2G27990/AT5G02030/AT3G24300	14
GO:0045834	GO:0045834	positive regulation of lipid metabolic process	6/310	36/21384	0.166666666666667	11.4967741935484	7.64487141580953	1.19421101748174e-05	0.000221426626158072	0.000170751224429407	AT3G27785/AT3G47600/AT5G10280/AT5G40360/AT5G62470/AT4G31390	6
GO:0010262	GO:0010262	somatic embryogenesis	5/310	22/21384	0.227272727272727	15.6774193548387	8.35375559310211	1.33329217754471e-05	0.000242169395513223	0.000186746831312385	AT3G27785/AT5G40360/AT1G04180/AT4G28720/AT5G25620	5
GO:0048831	GO:0048831	regulation of shoot system development	12/310	181/21384	0.0662983425414365	4.57330244163251	5.85533953818152	1.39828781069949e-05	0.000248895230304509	0.00019193340054233	AT1G20823/AT1G26310/AT2G22540/AT2G45650/AT2G45660/AT5G10140/AT5G51860/AT5G51870/AT5G60910/AT5G62165/AT4G32540/AT5G11320	12
GO:2000243	GO:2000243	positive regulation of reproductive process	7/310	59/21384	0.11864406779661	8.18414434117004	6.7019041509884	2.24913190547162e-05	0.000392495567817596	0.000302669556732197	AT3G06490/AT1G26310/AT2G45650/AT2G45660/AT5G60910/AT4G32540/AT5G11320	7
GO:0009723	GO:0009723	response to ethylene	12/310	197/21384	0.0609137055837563	4.20186671033241	5.47574613956042	3.24497196469944e-05	0.000555389432419712	0.000428283749187051	AT1G56160/AT2G47460/AT5G07690/AT1G29860/AT1G04180/AT1G48910/AT4G13260/AT4G28720/AT5G11320/AT5G25620/AT5G43890/AT5G40440	12
GO:0008643	GO:0008643	carbohydrate transport	7/310	64/21384	0.109375	7.54475806451613	6.35962723853197	3.85003613386975e-05	0.000646515501725298	0.000498554828060195	AT1G09960/AT1G22710/AT1G66570/AT1G71880/AT1G71890/AT2G14670/AT5G43610	7
GO:0009911	GO:0009911	positive regulation of flower development	6/310	44/21384	0.136363636363636	9.40645161290323	6.76991982246674	3.92647146250323e-05	0.000647140666968125	0.000499036918821073	AT1G26310/AT2G45650/AT2G45660/AT5G60910/AT4G32540/AT5G11320	6
GO:0031099	GO:0031099	regeneration	5/310	28/21384	0.178571428571429	12.3179723502304	7.26824177058807	4.63340150866897e-05	0.000749768607766434	0.000578177566249219	AT3G27785/AT5G40360/AT1G04180/AT4G28720/AT5G25620	5
GO:0016311	GO:0016311	dephosphorylation	9/310	117/21384	0.0769230769230769	5.30620347394541	5.6646885815566	5.28570809884538e-05	0.000840050037137926	0.000647797308354735	AT1G47510/AT2G01900/AT2G37440/AT1G56360/AT2G18130/AT3G52780/AT3G52810/AT3G52820/AT4G13700	9
GO:0051093	GO:0051093	negative regulation of developmental process	11/310	179/21384	0.0614525139664804	4.23903406019102	5.27794146056827	6.37064433416254e-05	0.000994714641649941	0.000767065578185407	AT1G34670/AT3G27785/AT3G28910/AT3G62610/AT5G17800/AT1G30650/AT2G22540/AT4G18960/AT5G10140/AT5G02500/AT1G37140	11
GO:0009682	GO:0009682	induced systemic resistance	5/310	32/21384	0.15625	10.7782258064516	6.71363069692647	9.05372162762422e-05	0.00138927797389406	0.00107132967354102	AT1G18570/AT1G56160/AT5G07690/AT5G61420/AT5G40440	5
GO:0046890	GO:0046890	regulation of lipid biosynthetic process	7/310	75/21384	0.0933333333333333	6.4381935483871	5.72196812724255	0.000107391276855106	0.00161997010849227	0.00124922591453218	AT1G68320/AT3G27785/AT3G47600/AT5G10280/AT5G40360/AT5G62470/AT4G31390	7
GO:0045892	GO:0045892	negative regulation of DNA-templated transcription	12/310	224/21384	0.0535714285714286	3.69539170506912	4.91846677531972	0.00011179270958238	0.00162062236537711	0.00124972889677809	AT1G68320/AT4G28110/AT5G26660/AT5G57620/AT1G62300/AT1G80840/AT4G04450/AT5G13080/AT5G52830/AT2G22540/AT5G02030/AT1G02580	12
GO:1902679	GO:1902679	negative regulation of RNA biosynthetic process	12/310	224/21384	0.0535714285714286	3.69539170506912	4.91846677531972	0.00011179270958238	0.00162062236537711	0.00124972889677809	AT1G68320/AT4G28110/AT5G26660/AT5G57620/AT1G62300/AT1G80840/AT4G04450/AT5G13080/AT5G52830/AT2G22540/AT5G02030/AT1G02580	12
GO:0002252	GO:0002252	immune effector process	4/310	18/21384	0.222222222222222	15.3290322580645	7.37620839316791	0.000112897288374585	0.00162062236537711	0.00124972889677809	AT1G56160/AT2G35930/AT3G52450/AT5G40440	4
