ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0042545	GO:0042545	cell wall modification	107/4479	230/21384	0.465217391304348	2.22107807449256	9.58359302628181	2.87901587507025e-18	4.90861763273593e-15	4.48604793852652e-15	AT2G31425/AT2G47030/AT2G47040/AT3G17060/AT3G17150/AT3G24130/AT3G62170/AT4G00190/AT4G00872/AT4G02300/AT4G15980/AT5G07430/AT5G39290/AT5G39300/AT5G39310/AT5G49180/AT3G14300/AT2G26450/AT2G16730/AT5G40260/AT2G47280/AT1G56100/AT3G17152/AT1G11370/AT3G36659/AT1G61110/AT3G57510/AT3G50990/AT4G35010/AT1G70720/AT4G15750/AT4G02320/AT5G20710/AT2G41850/AT3G12880/AT3G60730/AT2G21610/AT3G15370/AT5G05290/AT5G50800/AT5G51520/AT2G19150/AT5G51500/AT4G39010/AT2G47670/AT1G23200/AT1G62760/AT3G07970/AT5G51490/AT5G04970/AT3G47400/AT3G59010/AT2G47550/AT3G47380/AT1G05310/AT2G43050/AT3G43270/AT4G17030/AT1G19900/AT5G56320/AT2G27370/AT4G25250/AT5G19730/AT1G53830/AT1G02810/AT2G01610/AT4G00080/AT5G20740/AT1G12560/AT3G29030/AT5G04960/AT1G62980/AT2G45220/AT5G02260/AT2G34070/AT1G62770/AT3G62820/AT5G62340/AT1G67330/AT4G02330/AT1G14890/AT4G39950/AT4G00730/AT5G57220/AT2G22330/AT5G47500/AT2G36100/AT4G33220/AT1G11580/AT1G65681/AT2G45110/AT5G07420/AT5G18990/AT5G27870/AT5G39270/AT5G39280/AT5G46980/AT5G46990/AT5G61680/AT4G33230/AT1G65680/AT2G31220/AT5G14650/AT2G18800/AT1G07000/AT4G23100/AT5G39260	107
GO:0045490	GO:0045490	pectin catabolic process	60/4479	98/21384	0.612244897959184	2.92302855502549	9.82130060076201	5.07350659714308e-18	4.90861763273593e-15	4.48604793852652e-15	AT1G30350/AT2G47030/AT2G47040/AT3G17060/AT3G24130/AT3G62170/AT4G00190/AT4G02300/AT4G15980/AT5G07430/AT5G49180/AT3G14300/AT2G26450/AT4G22090/AT2G47280/AT5G26810/AT1G11370/AT3G01270/AT3G57510/AT1G11920/AT4G02320/AT2G41850/AT3G60730/AT2G21610/AT3G24230/AT2G19150/AT5G51500/AT5G55720/AT4G13210/AT1G23200/AT3G07970/AT5G51490/AT5G04970/AT3G47400/AT3G59010/AT3G26610/AT2G47550/AT4G22080/AT1G05310/AT5G04310/AT2G43050/AT3G43270/AT3G27400/AT5G19730/AT1G53830/AT1G02810/AT1G67750/AT5G04960/AT2G45220/AT3G24670/AT4G02330/AT5G63180/AT5G47500/AT4G33220/AT1G11580/AT5G07420/AT5G18990/AT5G27870/AT5G61680/AT4G33230	60
GO:0016101	GO:0016101	diterpenoid metabolic process	48/4479	76/21384	0.631578947368421	3.01533471992103	9.05940970320069	1.8199820722232e-15	1.13349220053081e-12	1.03591290460588e-12	AT1G44090/AT2G23230/AT2G24210/AT3G47190/AT4G15870/AT4G16730/AT5G23960/AT3G25810/AT1G80330/AT4G21690/AT3G26790/AT3G29190/AT1G61120/AT1G48800/AT1G60980/AT1G70080/AT3G14490/AT4G16740/AT5G07200/AT1G63030/AT4G02780/AT1G48820/AT1G47990/AT1G80340/AT5G51310/AT3G32030/AT4G21200/AT3G29410/AT4G20230/AT1G30040/AT5G51810/AT1G33750/AT5G58660/AT1G15550/AT1G02400/AT5G48110/AT2G46590/AT1G36060/AT5G65410/AT2G36690/AT4G20200/AT5G44630/AT1G50960/AT3G29110/AT4G13300/AT1G66020/AT4G20210/AT4G13280	48
GO:0016102	GO:0016102	diterpenoid biosynthetic process	45/4479	69/21384	0.652173913043478	3.11366085209237	9.0517894254041	2.34313633184663e-15	1.13349220053081e-12	1.03591290460588e-12	AT1G44090/AT2G23230/AT2G24210/AT4G15870/AT4G16730/AT5G23960/AT3G25810/AT1G80330/AT4G21690/AT3G26790/AT3G29190/AT1G61120/AT1G48800/AT1G60980/AT1G70080/AT3G14490/AT4G16740/AT5G07200/AT1G63030/AT4G02780/AT1G48820/AT1G47990/AT1G80340/AT5G51310/AT3G32030/AT4G21200/AT3G29410/AT4G20230/AT1G30040/AT5G51810/AT1G33750/AT1G15550/AT1G02400/AT5G48110/AT2G46590/AT5G65410/AT2G36690/AT4G20200/AT5G44630/AT1G50960/AT3G29110/AT4G13300/AT1G66020/AT4G20210/AT4G13280	45
GO:1901658	GO:1901658	glycosyl compound catabolic process	37/4479	54/21384	0.685185185185185	3.27126590756865	8.60174761845752	6.81158221372634e-14	2.63608231671209e-11	2.4091490776969e-11	AT1G51490/AT1G75940/AT3G05300/AT4G29580/AT4G29620/AT4G29630/AT5G24540/AT5G24550/AT4G29640/AT4G29600/AT3G60120/AT4G29650/AT4G29570/AT2G33070/AT2G44470/AT3G60140/AT3G21370/AT2G44480/AT1G54040/AT5G10300/AT3G16390/AT2G44460/AT4G29610/AT5G18860/AT1G47600/AT1G51470/AT3G16410/AT1G52400/AT1G66280/AT3G14210/AT5G25980/AT3G16400/AT5G26000/AT3G09260/AT5G28510/AT2G32860/AT1G66270	37
GO:0016145	GO:0016145	S-glycoside catabolic process	26/4479	34/21384	0.764705882352941	3.65091997951223	7.96259081952129	6.37929406479401e-12	1.76341914505377e-09	1.61161113215849e-09	AT1G51490/AT1G75940/AT5G24540/AT5G24550/AT3G60120/AT2G33070/AT2G44470/AT3G60140/AT3G21370/AT2G44480/AT1G54040/AT3G16390/AT2G44460/AT1G47600/AT1G51470/AT3G16410/AT1G52400/AT1G66280/AT3G14210/AT5G25980/AT3G16400/AT5G26000/AT3G09260/AT5G28510/AT2G32860/AT1G66270	26
GO:0019762	GO:0019762	glucosinolate catabolic process	26/4479	34/21384	0.764705882352941	3.65091997951223	7.96259081952129	6.37929406479401e-12	1.76341914505377e-09	1.61161113215849e-09	AT1G51490/AT1G75940/AT5G24540/AT5G24550/AT3G60120/AT2G33070/AT2G44470/AT3G60140/AT3G21370/AT2G44480/AT1G54040/AT3G16390/AT2G44460/AT1G47600/AT1G51470/AT3G16410/AT1G52400/AT1G66280/AT3G14210/AT5G25980/AT3G16400/AT5G26000/AT3G09260/AT5G28510/AT2G32860/AT1G66270	26
GO:0016114	GO:0016114	terpenoid biosynthetic process	74/4479	169/21384	0.437869822485207	2.0905131243634	7.32605192673241	1.75400099644656e-11	3.79061992727648e-09	3.46429564957132e-09	AT1G44090/AT2G23230/AT2G23800/AT2G24210/AT3G24220/AT3G29255/AT4G15870/AT4G16730/AT5G23960/AT3G25810/AT1G80330/AT4G21690/AT3G26790/AT3G29190/AT1G61120/AT3G25180/AT1G78500/AT2G44990/AT1G61680/AT4G18350/AT1G30100/AT1G48800/AT4G15370/AT1G60980/AT1G70080/AT3G14490/AT4G16740/AT5G07200/AT1G63030/AT4G02780/AT3G45130/AT1G48820/AT1G66960/AT1G78955/AT1G47990/AT4G32810/AT1G80340/AT2G18620/AT5G51310/AT3G20160/AT3G32030/AT1G78950/AT4G15340/AT4G21200/AT3G32040/AT5G42600/AT3G29410/AT4G20230/AT3G21420/AT1G78960/AT1G30040/AT5G51810/AT1G33750/AT1G65690/AT1G78970/AT1G15550/AT1G02400/AT5G48110/AT2G46590/AT1G36060/AT5G48010/AT5G65410/AT2G36690/AT1G49770/AT4G20200/AT5G44630/AT1G50960/AT3G29110/AT5G36150/AT4G13300/AT1G66020/AT4G20210/AT3G29430/AT4G13280	74
GO:0071555	GO:0071555	cell wall organization	130/4479	360/21384	0.361111111111111	1.72404554588078	7.13143165295192	1.76307903594255e-11	3.79061992727648e-09	3.46429564957132e-09	AT1G09550/AT2G31425/AT2G47030/AT2G47040/AT3G17060/AT3G17150/AT3G24130/AT3G62170/AT4G00190/AT4G00872/AT4G02300/AT4G15980/AT5G07430/AT5G39290/AT5G39300/AT5G39310/AT5G49180/AT3G14300/AT2G26450/AT2G16730/AT5G40260/AT2G47280/AT1G56100/AT3G20580/AT1G09790/AT3G17152/AT1G11370/AT3G36659/AT1G61110/AT3G57510/AT3G50990/AT4G35010/AT1G70720/AT4G15750/AT4G02320/AT5G20710/AT2G41850/AT3G12880/AT3G60730/AT2G21610/AT3G15370/AT5G05290/AT2G41810/AT5G50800/AT5G51520/AT2G19150/AT5G51500/AT4G39010/AT2G47670/AT1G23200/AT1G62760/AT3G07970/AT5G51490/AT5G04970/AT3G47400/AT3G59010/AT4G01770/AT3G26610/AT2G47550/AT2G41480/AT5G65590/AT3G47380/AT1G05310/AT5G04310/AT2G43050/AT5G49270/AT1G56550/AT3G43270/AT1G05230/AT4G17030/AT1G19900/AT5G56320/AT2G27370/AT4G25250/AT5G19730/AT2G41800/AT1G53830/AT1G02810/AT2G01610/AT4G00080/AT5G20740/AT1G12560/AT3G29030/AT5G04960/AT1G62980/AT2G45220/AT5G02260/AT2G34070/AT1G62770/AT3G62820/AT5G62340/AT1G67330/AT4G02330/AT5G44585/AT1G14890/AT4G39950/AT4G00730/AT5G57220/AT2G23130/AT2G22330/AT5G47500/AT2G36100/AT2G21140/AT4G33220/AT1G11580/AT1G76930/AT1G28290/AT1G21310/AT5G06610/AT1G65681/AT2G45110/AT5G07420/AT5G18990/AT5G27870/AT5G39270/AT5G39280/AT5G46980/AT5G46990/AT5G61680/AT4G33230/AT1G65680/AT2G31220/AT5G14650/AT2G18800/AT5G06630/AT5G06640/AT1G23720/AT1G07000/AT4G23100/AT5G39260	130
GO:0000272	GO:0000272	polysaccharide catabolic process	69/4479	154/21384	0.448051948051948	2.13912544254138	7.30254390884016	2.34059608166679e-11	4.12974735056594e-09	3.77422850480119e-09	AT1G30350/AT2G40220/AT2G47030/AT2G47040/AT3G17060/AT3G24130/AT3G26140/AT3G62170/AT3G62710/AT4G00190/AT4G02300/AT4G15980/AT5G07430/AT5G49180/AT3G14300/AT2G26450/AT4G22090/AT5G05150/AT2G47280/AT5G26810/AT1G11370/AT3G01270/AT3G57510/AT3G50990/AT1G11920/AT4G02320/AT2G41850/AT3G60730/AT2G21610/AT3G24230/AT5G09730/AT2G19150/AT5G51500/AT5G55720/AT4G13210/AT1G23200/AT3G07970/AT5G51490/AT5G04970/AT4G33810/AT3G47400/AT3G59010/AT3G26610/AT2G47550/AT4G22080/AT1G05310/AT5G04310/AT2G43050/AT3G43270/AT3G27400/AT5G19730/AT1G53830/AT1G02810/AT1G67750/AT5G04960/AT2G45220/AT3G24670/AT4G02330/AT5G63180/AT5G47500/AT4G33220/AT1G11580/AT5G07420/AT5G18990/AT5G27870/AT5G61680/AT4G33230/AT3G47050/AT3G47040	69
