type	description	begin	end	length	accession	biological description
DOMAIN	PF13832.9	683	806	123	AT1G05830	PHD-zinc-finger like domain
DOMAIN	PF13771.9	705	807	102	AT1G05830	PHD-like zinc-binding domain
DOMAIN	PF00856.31	930	1037	107	AT1G05830	SET domain
DOMAIN	PF05964.17	463	513	50	AT1G05830	F/Y-rich N-terminus
DOMAIN	PF00855.20	316	405	89	AT1G05830	PWWP domain
DOMAIN	PF05965.17	522	599	77	AT1G05830	F/Y rich C-terminus
DOMAIN	PF13831.9	640	675	35	AT1G05830	PHD-finger
DOMAIN	PF13832.9	666	784	118	AT2G31650	PHD-zinc-finger like domain
DOMAIN	PF13771.9	688	785	97	AT2G31650	PHD-like zinc-binding domain
DOMAIN	PF00856.31	909	1016	107	AT2G31650	SET domain
DOMAIN	PF00855.20	302	391	89	AT2G31650	PWWP domain
DOMAIN	PF05964.17	447	497	50	AT2G31650	F/Y-rich N-terminus
DOMAIN	PF05965.17	506	582	76	AT2G31650	F/Y rich C-terminus
DOMAIN	PF13831.9	623	658	35	AT2G31650	PHD-finger
