Orthogroup	ostreococcus_tauri	arabidopsis_thaliana
OG0000000	ostta02g05030, ostta13g02710	AT1G03510, AT1G03540, AT1G05750, AT1G06140, AT1G06143, AT1G08070, AT1G09190, AT1G09410, AT1G10330, AT1G11290, AT1G14470, AT1G15510, AT1G16480, AT1G18485, AT1G20230, AT1G26900, AT1G28690, AT1G31920, AT1G43980, AT1G50270, AT1G53600, AT1G56570, AT1G56690, AT1G68930, AT1G69350, AT1G74600, AT1G77150, AT1G77170, AT2G01510, AT2G02750, AT2G02980, AT2G03380, AT2G03880, AT2G04860, AT2G20540, AT2G22070, AT2G22410, AT2G27610, AT2G29760, AT2G33680, AT2G33760, AT2G34400, AT2G35030, AT2G39620, AT2G40720, AT2G42920, AT3G01580, AT3G02010, AT3G02330, AT3G03580, AT3G05240, AT3G05340, AT3G08820, AT3G09040, AT3G11460, AT3G12770, AT3G13770, AT3G14730, AT3G15130, AT3G15930, AT3G16610, AT3G20730, AT3G22690, AT3G23330, AT3G24000, AT3G25060, AT3G25970, AT3G26782, AT3G47840, AT3G49142, AT3G49170, AT3G50420, AT3G53360, AT3G56550, AT3G57430, AT3G61170, AT3G62890, AT3G63370, AT4G02750, AT4G13650, AT4G14170, AT4G14820, AT4G14850, AT4G15720, AT4G18520, AT4G18750, AT4G19191, AT4G20770, AT4G21065, AT4G21300, AT4G25270, AT4G30700, AT4G32430, AT4G33170, AT4G33990, AT4G37170, AT4G37380, AT4G38010, AT4G39530, AT4G39952, AT5G03800, AT5G04780, AT5G06540, AT5G08510, AT5G09950, AT5G13230, AT5G13270, AT5G16860, AT5G27110, AT5G39350, AT5G39680, AT5G40410, AT5G43790, AT5G48910, AT5G50390, AT5G52630, AT5G52850, AT5G56310, AT5G59200, AT5G59600, AT5G61800, AT5G65570, AT5G66520
OG0000001	ostta04g04160, ostta04g05140, ostta06g04040, ostta08g02800, ostta10g01450, ostta10g02440, ostta10g02890, ostta10g03150, ostta17g00480	AT1G04360, AT1G15100, AT1G20823, AT1G22500, AT1G22670, AT1G23980, AT1G24580, AT1G28040, AT1G32361, AT1G33480, AT1G35330, AT1G35625, AT1G35630, AT1G49200, AT1G49210, AT1G49220, AT1G49230, AT1G51930, AT1G53010, AT1G53820, AT1G57730, AT1G63840, AT1G67856, AT1G70910, AT1G71980, AT1G72200, AT1G72220, AT1G72310, AT1G74410, AT1G76410, AT2G01150, AT2G04240, AT2G17450, AT2G17730, AT2G18650, AT2G18670, AT2G20030, AT2G25410, AT2G27940, AT2G28920, AT2G34000, AT2G34990, AT2G35000, AT2G35420, AT2G35910, AT2G37580, AT2G42350, AT2G42360, AT2G44578, AT2G44581, AT2G46160, AT2G46493, AT2G46494, AT2G46495, AT2G47560, AT3G03550, AT3G05200, AT3G10910, AT3G11110, AT3G14320, AT3G16720, AT3G18773, AT3G18930, AT3G19140, AT3G20395, AT3G43430, AT3G48030, AT3G51325, AT3G55530, AT3G60220, AT3G60966, AT3G61460, AT3G61550, AT3G62690, AT4G00305, AT4G09100, AT4G09110, AT4G09120, AT4G09130, AT4G09560, AT4G10150, AT4G10160, AT4G11360, AT4G11370, AT4G15975, AT4G17245, AT4G17905, AT4G17920, AT4G18110, AT4G24015, AT4G28890, AT4G30370, AT4G30400, AT4G33565, AT4G35480, AT4G35840, AT4G38140, AT4G40070, AT5G01880, AT5G05280, AT5G05810, AT5G06490, AT5G07040, AT5G10380, AT5G17600, AT5G20885, AT5G27420, AT5G36001, AT5G40250, AT5G41400, AT5G41430, AT5G41440, AT5G41450, AT5G42200, AT5G43420, AT5G45290, AT5G46650, AT5G47610, AT5G53110, AT5G57750, AT5G58580, AT5G66070, AT5G66160
OG0000002	ostta01g04630, ostta04g05010	AT1G01250, AT1G03800, AT1G04370, AT1G06160, AT1G12610, AT1G12630, AT1G12890, AT1G12980, AT1G15360, AT1G19210, AT1G21910, AT1G22190, AT1G22810, AT1G22985, AT1G24590, AT1G28160, AT1G28360, AT1G28370, AT1G33760, AT1G36060, AT1G43160, AT1G44830, AT1G46768, AT1G49120, AT1G50640, AT1G53170, AT1G53910, AT1G63030, AT1G64380, AT1G71130, AT1G71450, AT1G71520, AT1G72360, AT1G74930, AT1G75490, AT1G77200, AT1G77640, AT1G78080, AT1G80580, AT2G20880, AT2G22200, AT2G23340, AT2G25820, AT2G31230, AT2G33710, AT2G35700, AT2G36450, AT2G38340, AT2G40220, AT2G40340, AT2G40350, AT2G44840, AT2G44940, AT2G46310, AT2G47520, AT3G11020, AT3G14230, AT3G15210, AT3G16280, AT3G16770, AT3G20310, AT3G23220, AT3G23230, AT3G23240, AT3G50260, AT3G57600, AT3G60490, AT3G61630, AT4G06746, AT4G11140, AT4G13620, AT4G16750, AT4G17490, AT4G17500, AT4G18450, AT4G23750, AT4G25470, AT4G25480, AT4G25490, AT4G27950, AT4G28140, AT4G31060, AT4G32800, AT4G34410, AT4G36900, AT4G39780, AT5G05410, AT5G07310, AT5G07580, AT5G11190, AT5G11590, AT5G13330, AT5G13910, AT5G18450, AT5G18560, AT5G19790, AT5G21960, AT5G25190, AT5G25390, AT5G25810, AT5G43410, AT5G44210, AT5G47220, AT5G47230, AT5G50080, AT5G51190, AT5G51990, AT5G52020, AT5G53290, AT5G61590, AT5G61600, AT5G61890, AT5G64750, AT5G65130, AT5G67190
OG0000003	ostta05g01280, ostta05g01770, ostta09g00450, ostta10g02070, ostta13g00110, ostta15g01430, ostta16g01090, ostta18g01950	AT1G06180, AT1G08810, AT1G09540, AT1G14350, AT1G16490, AT1G17950, AT1G18570, AT1G18710, AT1G22640, AT1G25340, AT1G26780, AT1G34670, AT1G35515, AT1G43330, AT1G48000, AT1G56160, AT1G57560, AT1G63910, AT1G66230, AT1G68320, AT1G69560, AT1G73410, AT1G74080, AT1G74430, AT1G74650, AT1G79180, AT2G02820, AT2G13960, AT2G16720, AT2G23290, AT2G25230, AT2G26950, AT2G26960, AT2G31180, AT2G32460, AT2G36890, AT2G39880, AT2G47190, AT2G47460, AT3G01140, AT3G01530, AT3G02940, AT3G06490, AT3G08500, AT3G09230, AT3G09370, AT3G11440, AT3G12720, AT3G12820, AT3G13540, AT3G13890, AT3G18100, AT3G23250, AT3G24310, AT3G27785, AT3G27810, AT3G27920, AT3G28470, AT3G28910, AT3G29020, AT3G30210, AT3G46130, AT3G47600, AT3G48920, AT3G49690, AT3G50060, AT3G53200, AT3G55730, AT3G60460, AT3G61250, AT3G62610, AT4G00540, AT4G01680, AT4G05100, AT4G09460, AT4G12350, AT4G13480, AT4G17785, AT4G18770, AT4G21440, AT4G22680, AT4G25560, AT4G26930, AT4G28110, AT4G32730, AT4G33450, AT4G34990, AT4G37260, AT4G37780, AT4G38620, AT5G02320, AT5G06100, AT5G07690, AT5G07700, AT5G10280, AT5G11050, AT5G11510, AT5G12870, AT5G14340, AT5G14750, AT5G15310, AT5G16600, AT5G16770, AT5G17800, AT5G23000, AT5G26660, AT5G35550, AT5G39700, AT5G40330, AT5G40350, AT5G40360, AT5G40430, AT5G49330, AT5G49620, AT5G52260, AT5G52600, AT5G54230, AT5G55020, AT5G56110, AT5G57620, AT5G58850, AT5G59780, AT5G60890, AT5G61420, AT5G62320, AT5G62470, AT5G65230, AT5G65790, AT5G67300
OG0000004		AT2G06105, ATMG00850, ATMG00860
OG0000005		AT1G05240, AT1G05250, AT1G05260, AT1G14540, AT1G14550, AT1G24110, AT1G34510, AT1G44970, AT1G49570, AT1G71695, AT1G77100, AT2G18140, AT2G18150, AT2G18980, AT2G22420, AT2G24800, AT2G34060, AT2G35380, AT2G38380, AT2G38390, AT2G39040, AT2G41480, AT3G01190, AT3G03670, AT3G17070, AT3G21770, AT3G28200, AT3G32980, AT3G42570, AT3G49110, AT3G49120, AT3G49960, AT3G50990, AT4G08770, AT4G08780, AT4G11290, AT4G16270, AT4G17690, AT4G25980, AT4G26010, AT4G30170, AT4G31760, AT4G33420, AT4G33870, AT4G36430, AT4G37520, AT4G37530, AT5G05340, AT5G06720, AT5G06730, AT5G14130, AT5G15180, AT5G17820, AT5G19880, AT5G19890, AT5G22410, AT5G39580, AT5G40150, AT5G42180, AT5G47000, AT5G51890, AT5G58390, AT5G58400, AT5G64100, AT5G64110, AT5G64120, AT5G66390, AT5G67400
OG0000006		AT1G01280, AT1G11610, AT1G33720, AT1G33730, AT1G74540, AT1G74550, AT2G02580, AT2G24180, AT2G25160, AT2G30750, AT2G30770, AT2G40890, AT2G42250, AT2G45550, AT2G45560, AT2G45570, AT2G45580, AT3G25180, AT3G26290, AT3G26300, AT3G26310, AT3G26320, AT3G26330, AT3G48270, AT3G48280, AT3G48290, AT3G48300, AT3G48310, AT3G48320, AT3G52970, AT3G61035, AT3G61040, AT4G12310, AT4G12330, AT4G12334, AT4G13290, AT4G13310, AT4G13770, AT4G20235, AT4G20240, AT4G22690, AT4G22710, AT4G31500, AT4G31940, AT4G31950, AT4G31970, AT4G36220, AT4G37430, AT5G04330, AT5G06900, AT5G06905, AT5G07990, AT5G24950, AT5G24960, AT5G25120, AT5G25130, AT5G25140, AT5G25180, AT5G42590, AT5G44620, AT5G57260
OG0000007		AT1G02335, AT1G09560, AT1G10460, AT1G18970, AT1G18980, AT1G72610, AT1G74820, AT3G04150, AT3G04170, AT3G04180, AT3G04190, AT3G04200, AT3G05930, AT3G05950, AT3G10080, AT3G62020, AT4G14630, AT5G20630, AT5G26700, AT5G38910, AT5G38930, AT5G38940, AT5G38950, AT5G38960, AT5G39100, AT5G39110, AT5G39120, AT5G39130, AT5G39150, AT5G39160, AT5G39180, AT5G39190
OG0000008		AT1G05530, AT1G05560, AT1G05675, AT1G05680, AT1G22340, AT1G22360, AT1G22370, AT1G22380, AT1G22400, AT1G24100, AT1G30530, AT1G78270, AT2G23210, AT2G23250, AT2G23260, AT2G26480, AT2G28080, AT2G30140, AT2G30150, AT2G31750, AT2G31790, AT2G36970, AT2G43820, AT2G43840, AT3G02100, AT3G11340, AT3G21560, AT3G46650, AT3G46660, AT3G46670, AT3G46680, AT3G46690, AT3G46700, AT3G46720, AT3G55700, AT3G55710, AT4G14090, AT4G15480, AT4G15490, AT4G15500, AT5G05860, AT5G05870, AT5G05880, AT5G05890, AT5G05900, AT5G17030, AT5G17040, AT5G17050, AT5G37950, AT5G38010, AT5G38040, AT5G59580, AT5G59590
OG0000009		AT1G01900, AT1G04110, AT1G20150, AT1G20160, AT1G30600, AT1G32940, AT1G32950, AT1G32960, AT1G32970, AT1G32980, AT1G62340, AT1G66210, AT1G66220, AT2G04160, AT2G05920, AT2G19170, AT3G14067, AT3G14240, AT3G46840, AT3G46850, AT4G00230, AT4G10510, AT4G10520, AT4G10530, AT4G10540, AT4G10550, AT4G15040, AT4G20430, AT4G21323, AT4G21326, AT4G21630, AT4G21640, AT4G21650, AT4G26330, AT4G30020, AT4G34980, AT5G03620, AT5G11940, AT5G44530, AT5G45640, AT5G45650, AT5G51750, AT5G58820, AT5G58830, AT5G58840, AT5G59090, AT5G59100, AT5G59110, AT5G59120, AT5G59130, AT5G59190, AT5G59810, AT5G67090, AT5G67360
OG0000010	ostta08g00390, ostta19g00395	ATMG00300, ATMG00710, ATMG00820
OG0000011	ostta13g02080	AT1G12560, AT1G20190, AT1G26770, AT1G62980, AT1G65680, AT1G65681, AT1G69530, AT2G03090, AT2G20750, AT2G28950, AT2G37640, AT2G39700, AT2G40610, AT2G45110, AT3G03220, AT3G15370, AT3G29030, AT3G55500, AT3G60570, AT4G01630, AT4G28250, AT4G38210, AT5G02260, AT5G05290, AT5G39260, AT5G39270, AT5G39280, AT5G39290, AT5G39300, AT5G39310, AT5G56320
OG0000012		AT1G07570, AT1G07870, AT1G14370, AT1G20650, AT1G24030, AT1G26970, AT1G54820, AT1G61590, AT1G61860, AT1G69790, AT1G72540, AT1G74490, AT1G76360, AT1G76370, AT1G80640, AT2G02800, AT2G05940, AT2G07180, AT2G17220, AT2G20300, AT2G25220, AT2G26290, AT2G28590, AT2G28930, AT2G28940, AT2G39110, AT2G39660, AT3G01300, AT3G02810, AT3G07070, AT3G09830, AT3G20530, AT3G24790, AT3G26940, AT3G28690, AT3G55450, AT3G58690, AT4G02010, AT4G13190, AT4G17660, AT4G32000, AT4G35600, AT5G01020, AT5G02290, AT5G02800, AT5G03320, AT5G11020, AT5G13160, AT5G15080, AT5G16500, AT5G18610, AT5G35580, AT5G47070, AT5G56460, AT5G56890
OG0000013		AT1G02340, AT1G03040, AT1G05805, AT1G09530, AT1G10100, AT1G10120, AT1G18400, AT1G25330, AT1G26260, AT1G27740, AT1G35460, AT1G51140, AT1G59640, AT1G66470, AT1G68920, AT1G69010, AT1G73830, AT2G14760, AT2G18300, AT2G20180, AT2G24260, AT2G42280, AT2G42300, AT2G43010, AT2G43140, AT2G46970, AT3G07340, AT3G21330, AT3G23690, AT3G42310, AT3G50330, AT3G57800, AT3G59060, AT3G62090, AT4G00050, AT4G00120, AT4G02590, AT4G09180, AT4G28790, AT4G28800, AT4G28811, AT4G28815, AT4G30980, AT4G33880, AT4G34530, AT4G36540, AT4G36930, AT5G01305, AT5G08130, AT5G09750, AT5G37800, AT5G38860, AT5G43175, AT5G48560, AT5G50915, AT5G58010, AT5G61270, AT5G62610, AT5G67060, AT5G67110
