type	description	begin	end	length	accession	biological description
DOMAIN	PF13832.9	640	755	115	ostta03g01090	PHD-zinc-finger like domain
DOMAIN	PF01342.24	478	570	92	ostta03g01090	SAND domain
DOMAIN	PF13771.9	663	756	93	ostta03g01090	PHD-like zinc-binding domain
DOMAIN	PF00856.31	1553	1718	165	ostta03g01090	SET domain
DOMAIN	PF00628.32	212	270	58	ostta03g01090	PHD-finger
DOMAIN	PF00628.32	582	632	50	ostta03g01090	PHD-finger
DOMAIN	PF13831.9	594	630	36	ostta03g01090	PHD-finger
DOMAIN	PF07496.18	1298	1348	50	ostta03g01090	CW-type Zinc Finger
DOMAIN	PF00505.22	352	422	70	ostta03g01090	HMG (high mobility group) box
DOMAIN	PF00855.20	20	119	99	ostta03g01090	PWWP domain
DOMAIN	PF09011.13	349	421	72	ostta03g01090	HMG-box domain
DOMAIN	PF13832.9	662	775	113	AT5G53430	PHD-zinc-finger like domain
DOMAIN	PF00856.31	912	1018	106	AT5G53430	SET domain
DOMAIN	PF13771.9	685	776	91	AT5G53430	PHD-like zinc-binding domain
DOMAIN	PF00855.20	224	321	97	AT5G53430	PWWP domain
DOMAIN	PF00628.32	415	469	54	AT5G53430	PHD-finger
DOMAIN	PF13831.9	621	656	35	AT5G53430	PHD-finger
DOMAIN	PF13832.9	601	714	113	AT3G61740	PHD-zinc-finger like domain
DOMAIN	PF00856.31	886	993	107	AT3G61740	SET domain
DOMAIN	PF00628.32	364	418	54	AT3G61740	PHD-finger
DOMAIN	PF00628.32	548	597	49	AT3G61740	PHD-finger
DOMAIN	PF00855.20	190	288	98	AT3G61740	PWWP domain
DOMAIN	PF13831.9	560	595	35	AT3G61740	PHD-finger
DOMAIN	PF13771.9	624	715	91	AT3G61740	PHD-like zinc-binding domain
