chr	start	end	peak.annotation	target.genes
1	1456	2448	TSS	ostta01g00020
1	9308	10501	gene.body	ostta01g00060
1	11126	11452	TSS	ostta01g00070
1	12564	13452	gene.body	ostta01g00080
1	16087	16450	TSS	ostta01g00100
1	20482	20649	internal.gene.body	ostta01g00110
1	21077	21249	internal.gene.body	ostta01g00120
1	23648	24541	TSS	ostta01g00140
1	28686	28976	TSS	ostta01g00160
1	29265	29616	TSS	ostta01g00170
1	29933	30476	TSS	ostta01g00180
1	33259	33860	internal.gene.body	ostta01g00200
1	34152	35250	gene.body	ostta01g00210
1	36226	36484	TSS	ostta01g00230
1	37605	38530	TSS	ostta01g00250
1	41543	41991	TSS	ostta01g00270
1	43662	44982	gene.body	ostta01g00290
1	46491	46959	TSS	ostta01g00310
1	48854	49099	internal.gene.body	ostta01g00320
1	50357	51309	TSS	ostta01g00340
1	51967	52357	TSS	ostta01g00350
1	54252	55216	TSS	ostta01g00360
1	56150	56571	internal.gene.body	ostta01g00380
1	58550	59080	TSS	ostta01g00390
1	59832	60245	TSS	ostta01g00400
1	61686	62654	TSS	ostta01g00420
1	63258	63592	TSS	ostta01g00430
1	66642	66916	internal.gene.body	ostta01g00450
1	70493	71293	TSS	ostta01g00470
1	71899	72113	internal.gene.body	ostta01g00480
1	72982	73889	TSS	ostta01g00485
1	75172	75451	internal.gene.body	ostta01g00490
1	75858	76296	TSS	ostta01g00500
1	77848	78285	TSS	ostta01g00510
1	81684	82523	TSS	ostta01g00530
1	83662	84527	TSS	ostta01g00550
1	85129	85336	internal.gene.body	ostta01g00560
1	86745	87164	TSS	ostta01g00570
1	88364	89177	TSS	ostta01g00590
1	90256	91096	TSS	ostta01g00610
1	94288	94654	TSS	ostta01g00620
1	94997	95195	internal.gene.body	ostta01g00630
1	98775	99545	TSS	ostta01g00650
1	102268	103139	TSS	ostta01g00690
1	103936	104325	intergenic	
1	108183	108476	internal.gene.body	ostta01g00730
1	109926	110300	TSS	ostta01g00740
1	113031	113784	TSS	ostta01g00760
1	114913	115321	internal.gene.body	ostta01g00770
1	115714	116009	TSS	ostta01g00780
1	121111	121423	internal.gene.body	ostta01g00810
1	121973	122280	internal.gene.body	ostta01g00820
1	129006	130408	TSS	ostta01g00840
1	131947	132831	TSS	ostta01g00870
1	134200	134409	intergenic	
1	134766	135686	TSS	ostta01g00890
1	140312	140701	TSS	ostta01g00930
1	144238	145422	TSS	ostta01g00950
