chr	start	end	peak.annotation.26.20.k27	activated.genes.26.20.k27
9	404740	404800	intergenic	
2	239374	240125	intergenic	
7	618038	619163	TES	ostta07g03790
10	525443	528548	TES	ostta10g03190
2	237656	239069	TES	ostta02g00900
2	115279	115559	internal.gene.body	ostta02g00460
5	466765	468119	internal.gene.body	ostta05g02830
14	518524	518894	TES	ostta14g02910
2	521522	521946	intergenic	
15	221496	221700	intergenic	
1	442000	442679	gene.body	ostta01g02810
7	623068	623110	internal.gene.body	ostta07g03820
5	536006	538771	gene.body	ostta05g03280
6	203583	206332	TSS	ostta06g01270
17	78592	80179	gene.body	ostta17g00460
15	374201	375068	TSS	ostta15g02207
2	1071534	1073212	TES	ostta02g05540
7	299088	300219	TES	ostta07g01920
6	721042	721870	internal.gene.body	ostta06g04260
4	349739	351378	TES	ostta04g01990
2	336927	337244	intergenic	
1	181363	181995	intergenic	
8	716650	717457	intergenic	
11	467905	469787	TSS	ostta11g02575
5	387698	393397	internal.gene.body	ostta05g02426
8	308729	309369	internal.gene.body	ostta08g01740
2	179938	180085	intergenic	
2	1048237	1049065	internal.gene.body	ostta02g05420
4	612231	615507	internal.gene.body	ostta04g03490
1	314184	316375	TES	ostta01g02010
5	584282	585868	internal.gene.body	ostta05g03540
16	400818	406646	internal.gene.body	ostta16g02130
9	518103	521275	gene.body	ostta09g03390,ostta09g03400
6	184470	186545	gene.body	ostta06g01110
3	338536	342632	TES	ostta03g02080
2	319962	320228	intergenic	
7	372511	372775	TSS	ostta07g02310
2	355423	356708	intergenic	
13	214419	215549	intergenic	
7	133440	133938	TSS	ostta07g00900
8	268043	269579	internal.gene.body	ostta08g01520
17	52980	54629	TSS	ostta17g00300
2	402716	403545	TES	ostta02g01910
6	786038	787979	TES	ostta06g04570
9	152184	154691	gene.body	ostta09g01060
18	4	349	intergenic	
16	15816	17426	gene.body	ostta16g00120,ostta16g00130
18	161183	162407	gene.body	ostta18g00870
16	177815	180995	gene.body	ostta16g01140
9	503948	505007	TSS	ostta09g03290
10	18652	22647	TES	ostta10g00080
1	180306	180844	intergenic	
19	124490	127575	TES	ostta19g00515
14	331710	332378	internal.gene.body	ostta14g01810
15	510889	511322	intergenic	
3	314451	314460	internal.gene.body	ostta03g01910
7	303148	303568	intergenic	
1	645574	646363	internal.gene.body	ostta01g04080
2	875471	876858	gene.body	ostta02g04410,ostta02g04420
4	801978	802385	intergenic	
2	304775	306143	TES	ostta02g01245
8	509423	512717	TSS	ostta08g03000
18	26185	26677	TES	ostta18g00180
1	633236	634599	TSS	ostta01g03980
7	307048	307424	internal.gene.body	ostta07g01950
8	667099	668510	internal.gene.body	ostta08g03990
5	570304	581122	gene.body	ostta05g03500
8	380488	382194	internal.gene.body	ostta08g02180
13	18401	20344	internal.gene.body	ostta13g00120
16	286137	289354	gene.body	ostta16g01635
2	307309	307493	internal.gene.body	ostta02g01247
10	339117	342520	internal.gene.body	ostta10g02060
5	823853	825174	internal.gene.body	ostta05g04970
2	369543	369744	intergenic	
10	12	5464	TES	ostta10g00010
3	3808	4865	internal.gene.body	ostta03g00020
12	291141	292236	intergenic	
5	788318	791203	TSS	ostta05g04740
15	266743	275472	TES	ostta15g01520
6	207336	212266	internal.gene.body	ostta06g01290
2	13382	13986	intergenic	
8	329684	330965	TES	ostta08g01880
7	702735	706582	gene.body	ostta07g04340
2	1058400	1059274	internal.gene.body	ostta02g05490
2	500767	501169	intergenic	
2	657200	658267	internal.gene.body	ostta02g03370
2	762067	766451	internal.gene.body	ostta02g03910
7	5344	8953	TES	ostta07g00020
2	108910	109302	intergenic	
19	131975	132659	intergenic	
17	139172	140197	gene.body	ostta17g00800
9	708234	710194	TES	ostta09g04510
20	85706	87048	internal.gene.body	ostta20g00500
1	649304	651253	TES	ostta01g04100
17	135258	136772	TSS	ostta17g00790
5	319702	322921	internal.gene.body	ostta05g02060
10	28226	30624	TSS	ostta10g00130
12	505119	506696	TES	ostta12g03010
1	835443	835930	internal.gene.body	ostta01g05160
2	387648	389490	intergenic	
14	381049	382442	TES	ostta14g02110
2	307922	308614	internal.gene.body	ostta02g01247
12	271234	275242	TSS	ostta12g01720
6	613122	614211	TSS	ostta06g03590
7	575434	576639	internal.gene.body	ostta07g03560
2	158366	165856	TSS	ostta02g00700
13	82	1462	gene.body	ostta13g00010
8	213728	215315	internal.gene.body	ostta08g01280
3	301148	301744	intergenic	
3	315938	318115	TES	ostta03g01920
18	181323	182119	gene.body	ostta18g00970
2	14349	15067	TSS	ostta02g00050
2	171882	177487	TSS	ostta02g00710,ostta02g00720
3	438675	440593	TSS	ostta03g02750
17	318242	318445	TES	ostta17g01910
10	149714	152621	TES	ostta10g00910
6	506424	508972	internal.gene.body	ostta06g03030
7	625856	626509	internal.gene.body	ostta07g03840
4	112126	113545	gene.body	ostta04g00690
6	53981	57184	gene.body	ostta06g00330
16	6295	6794	internal.gene.body	ostta16g00040
14	1446	2409	TES	ostta14g00020
3	573897	576471	gene.body	ostta03g03430
