"V1"	"V2"
"1"	"ostta01g03420"	"AT1G15690.1"
"2"	"ostta10g00190"	"AT3G47550.1"
"3"	"ostta10g00940"	"AT5G50200.3"
"4"	"ostta10g01280"	"AT5G56000.1"
"5"	"ostta10g02660"	"AT4G38800.1"
"6"	"ostta11g02120"	"AT3G12080.1"
"7"	"ostta11g03180"	"AT3G58060.2"
"8"	"ostta12g01000"	"AT5G27600.1"
"9"	"ostta12g01860"	"AT4G37930.1"
"10"	"ostta12g01900"	"AT1G57770.1"
"11"	"ostta12g02180"	"AT1G54780.1"
"12"	"ostta12g03140"	"AT1G75690.1"
"13"	"ostta12g03140"	"AT1G75690.1"
"14"	"ostta13g00120"	"AT3G23890.1"
"15"	"ostta13g00885"	"AT4G04330.1"
"16"	"ostta14g01070"	"ATCG00640.1"
"17"	"ostta14g02197"	"AT2G44050.1"
"18"	"ostta16g00410"	"AT4G15980.1"
"19"	"ostta16g01060"	"AT3G20670.1"
"20"	"ostta17g00380"	"AT5G60070.1"
"21"	"ostta17g00380"	"AT5G60070.1"
"22"	"ostta17g00380"	"AT5G60070.1"
"23"	"ostta17g00380"	"AT5G60070.1"
"24"	"ostta17g00570"	"AT1G30380.1"
"25"	"ostta17g00880"	"AT4G34220.1"
"26"	"ostta17g01350"	"AT1G59359.1"
"27"	"ostta17g01620"	"AT5G12220.1"
"28"	"ostta17g01620"	"AT5G12220.1"
"29"	"ostta17g02220"	"AT5G06360.1"
"30"	"ostta18g01080"	"AT1G53200.2"
"31"	"ostta18g01090"	"AT2G13360.3"
"32"	"ostta18g01560"	"AT1G02890.2"
"33"	"ostta18g01570"	"AT1G77390.1"
"34"	"ostta02g00130"	"AT3G24170.3"
"35"	"ostta02g00190"	"AT1G29820.2"
"36"	"ostta02g00220"	"AT4G30250.1"
"37"	"ostta02g00380"	"AT4G17040.1"
"38"	"ostta02g00400"	"AT2G37070.1"
"39"	"ostta02g00420"	"AT3G45490.1"
"40"	"ostta02g00430"	"AT2G40360.2"
"41"	"ostta02g00530"	"AT2G37090.1"
"42"	"ostta02g00650"	"AT3G49660.1"
"43"	"ostta02g00650"	"AT3G49660.1"
"44"	"ostta02g00650"	"AT3G49660.1"
"45"	"ostta02g00650"	"AT3G49660.1"
"46"	"ostta02g00650"	"AT3G49660.1"
"47"	"ostta02g00690"	"AT5G46280.1"
"48"	"ostta02g00760"	"AT5G66055.1"
"49"	"ostta02g00790"	"AT1G05520.1"
"50"	"ostta02g01247"	"AT1G61470.1"
"51"	"ostta02g01460"	"AT1G47250.1"
"52"	"ostta02g01750"	"AT1G23230.3"
"53"	"ostta02g02240"	"AT1G27980.1"
"54"	"ostta02g02330"	"AT4G27800.1"
"55"	"ostta02g02530"	"AT4G03120.1"
"56"	"ostta02g02600"	"AT3G63460.2"
"57"	"ostta02g02710"	"AT2G18950.1"
"58"	"ostta02g02715"	"AT5G41280.1"
"59"	"ostta02g02940"	"AT5G51160.1"
"60"	"ostta02g04570"	"AT4G17090.1"
"61"	"ostta20g00120"	"AT5G28500.1"
"62"	"ostta20g00150"	"AT5G24150.1"
"63"	"ostta03g00240"	"AT1G63830.5"
"64"	"ostta03g00240"	"AT1G63830.5"
"65"	"ostta03g00240"	"AT1G63830.5"
"66"	"ostta03g00240"	"AT1G63830.5"
"67"	"ostta03g00240"	"AT1G63830.5"
"68"	"ostta03g00240"	"AT1G63830.5"
"69"	"ostta03g00240"	"AT1G63830.5"
"70"	"ostta03g00240"	"AT1G63830.5"
"71"	"ostta03g00240"	"AT1G63830.5"
"72"	"ostta03g00240"	"AT1G63830.5"
"73"	"ostta03g01360"	"AT3G10800.1"
"74"	"ostta03g01910"	"AT1G17530.2"
"75"	"ostta03g02370"	"AT1G17850.2"
"76"	"ostta03g03160"	"AT1G03475.1"
"77"	"ostta03g03250"	"AT5G02280.1"
"78"	"ostta04g00130"	"AT1G55480.1"
"79"	"ostta04g03510"	"AT2G43710.2"
"80"	"ostta05g04530"	"AT5G58250.1"
"81"	"ostta06g02290"	"AT1G15730.1"
"82"	"ostta06g03620"	"AT1G64550.1"
"83"	"ostta06g03620"	"AT1G64550.1"
"84"	"ostta06g03620"	"AT1G64550.1"
"85"	"ostta06g03620"	"AT1G64550.1"
"86"	"ostta06g04310"	"AT3G09430.3"
"87"	"ostta07g00470"	"AT3G46770.1"
"88"	"ostta07g00780"	"AT1G04870.2"
"89"	"ostta07g01550"	"AT4G23730.1"
"90"	"ostta07g03640"	"AT3G54440.1"
"91"	"ostta07g03850"	"AT3G24460.2"
"92"	"ostta08g01330"	"AT1G20696.5"
"93"	"ostta08g01430"	"AT3G13882.1"
"94"	"ostta08g02280"	"AT3G03540.1"
"95"	"ostta08g03190"	"AT5G54750.1"
"96"	"ostta09g00050"	"AT1G32350.1"
"97"	"ostta09g00380"	"AT5G08250.2"
"98"	"ostta09g00950"	"AT5G17870.1"
"99"	"ostta09g01010"	"AT1G72760.1"
"100"	"ostta09g01040"	"AT1G62740.1"
"101"	"ostta09g01040"	"AT1G62740.1"
"102"	"ostta09g01140"	"AT3G58530.1"
"103"	"ostta09g03280"	"AT4G25220.1"
"104"	"ostta09g03420"	"AT3G20200.3"
