chr	start	end	peak.annotation.10.20.k27	activated.genes.10.20.k27
19	97827	98589	TSS	ostta19g00400
19	84413	85019	TES	ostta19g00320
2	19304	19574	internal.gene.body	ostta02g00085
19	106294	107090	TSS	ostta19g00430
8	303805	304183	intergenic	
8	101915	104764	gene.body	ostta08g00680
2	220596	222649	internal.gene.body	ostta02g00800
10	97568	97798	internal.gene.body	ostta10g00540
10	149714	152621	TES	ostta10g00910
19	46544	48415	gene.body	ostta19g00190
19	118806	119599	internal.gene.body	ostta19g00490
2	150106	150465	intergenic	
2	112742	113250	TSS	ostta02g00450
8	509423	512717	TSS	ostta08g03000
19	133273	185415	gene.body	ostta19g00045,ostta19g00075,ostta19g00555,ostta19g00560,ostta19g00570,ostta19g00580,ostta19g00590,ostta19g00600,ostta19g00610,ostta19g00620,ostta19g00630,ostta19g00640,ostta19g00650,ostta19g00660,ostta19g00670
16	482187	484403	TES	ostta16g02510
19	1	42812	gene.body	ostta19g00010,ostta19g00020,ostta19g00030,ostta19g00040,ostta19g00050,ostta19g00070,ostta19g00080,ostta19g00090,ostta19g00100,ostta19g00110,ostta19g00120,ostta19g00130,ostta19g00140,ostta19g00150,ostta19g00160,ostta19g00165
2	6965	10310	gene.body	ostta02g00037
2	556167	556550	TSS	ostta02g02715
2	71564	77519	gene.body	ostta02g00275,ostta02g00277
19	96808	97440	intergenic	
19	117776	118412	TES	ostta19g00480
8	508534	509013	internal.gene.body	ostta08g03000
2	908349	909091	TES	ostta02g04620,ostta02g04630
10	525443	528548	TES	ostta10g03190
17	30131	37883	gene.body	ostta17g00190,ostta17g00200
16	176748	177112	intergenic	
14	325539	330491	gene.body	ostta14g01780,ostta14g01790
16	400818	406646	internal.gene.body	ostta16g02130
17	149805	150018	intergenic	
19	101917	102334	intergenic	
1	181363	181995	intergenic	
8	58430	65210	gene.body	ostta08g00390,ostta08g00400
2	22190	22417	intergenic	
7	303148	303568	intergenic	
2	979018	981596	gene.body	ostta02g05010
14	7	736	intergenic	
2	500767	501169	intergenic	
17	380190	380366	intergenic	
2	29844	30279	intergenic	
