chr	start	end	peak.annotation	target.genes
1	12592	13416	TSS	ostta01g00090,ostta01g00080
1	12592	13425	TSS	ostta01g00090,ostta01g00080
1	34347	35199	TSS	ostta01g00220,ostta01g00210
1	34338	35218	TSS	ostta01g00220,ostta01g00210
1	73004	73889	TSS	ostta01g00485
1	73004	73847	TSS	ostta01g00485
1	81729	81974	internal.gene.body	ostta01g00520
1	81724	81974	internal.gene.body	ostta01g00520
1	129049	129896	TSS	ostta01g00830
1	129120	129884	TSS	ostta01g00830
1	134786	135644	TSS	ostta01g00890
1	134785	135644	TSS	ostta01g00890
1	148908	149109	internal.gene.body	ostta01g00970
1	154906	155557	TSS	ostta01g01020
1	154469	155584	TSS	ostta01g01020,ostta01g01000
1	163438	163908	internal.gene.body	ostta01g01085
1	192126	192327	internal.gene.body	ostta01g01280
1	227429	227631	TSS	ostta01g01470
1	233677	234227	TSS	ostta01g01500
1	233699	234228	TSS	ostta01g01500
1	241838	242301	TSS	ostta01g01550
1	241815	242296	TSS	ostta01g01550
1	244303	245256	TSS	ostta01g01560
1	244331	245256	TSS	ostta01g01560
1	256362	256593	internal.gene.body	ostta01g01650
1	256352	256710	internal.gene.body	ostta01g01650
1	258160	258352	intergenic	
1	258160	258368	intergenic	
1	263558	263781	internal.gene.body	ostta01g01700
1	274773	275080	internal.gene.body	ostta01g01770
1	296012	296229	internal.gene.body	ostta01g01880
1	295943	296228	internal.gene.body	ostta01g01880
1	307559	307769	TES	ostta01g01960
1	318374	318919	TSS	ostta01g02050
1	318370	318917	TSS	ostta01g02050
1	323833	323931	internal.gene.body	ostta01g02100
1	323488	323881	TSS	ostta01g02100
1	337894	338763	TSS	ostta01g02210
1	337907	338754	TSS	ostta01g02210
1	346303	346491	internal.gene.body	ostta01g02260
1	352402	353132	TSS	ostta01g02310,ostta01g02300
1	352419	353132	TSS	ostta01g02310,ostta01g02300
1	368080	368543	TSS	ostta01g02400
1	368180	368530	TSS	ostta01g02400
1	420664	420864	internal.gene.body	ostta01g02680
1	420593	420890	internal.gene.body	ostta01g02680
1	442470	443365	TSS	ostta01g02810
1	442444	443320	TSS	ostta01g02810
1	452978	453303	TSS	ostta01g02850
1	453053	453305	TSS	ostta01g02850
1	469539	469705	internal.gene.body	ostta01g02950
1	482166	482810	TSS	ostta01g03040
1	482161	482787	TSS	ostta01g03040
1	498126	498800	TSS	ostta01g03150,ostta01g03140
1	498020	498794	TSS	ostta01g03150,ostta01g03140
1	503659	504323	TSS	ostta01g03190
1	503654	504273	TSS	ostta01g03190
1	525884	526574	TSS	ostta01g03280
1	525895	526569	TSS	ostta01g03280
1	537529	537842	TSS	ostta01g03350
1	544025	544391	TSS	ostta01g03420
1	544019	544391	TSS	ostta01g03420
1	548988	549274	internal.gene.body	ostta01g03450
1	548947	549256	TSS	ostta01g03450
1	560381	561122	TSS	ostta01g03520,ostta01g03510
1	560366	561111	TSS	ostta01g03520,ostta01g03510
1	577416	577618	TSS	ostta01g03620
1	577436	577648	TSS	ostta01g03620
1	582230	582442	internal.gene.body	ostta01g03650
1	585073	585560	TSS	ostta01g03670
1	584906	585586	gene.body	ostta01g03670
1	600621	601089	TSS	ostta01g03770
1	600599	601096	TSS	ostta01g03770
1	611558	611788	internal.gene.body	ostta01g03830
1	613889	614101	TSS	ostta01g03850
1	613861	614096	TSS	ostta01g03850
1	619687	620113	TSS	ostta01g03900,ostta01g03890
1	619664	620065	TSS	ostta01g03900,ostta01g03890
1	646853	647095	internal.gene.body	ostta01g04090
1	671929	672569	TSS	ostta01g04130
1	671929	672569	TSS	ostta01g04130
1	730303	730765	internal.gene.body	ostta01g04510
1	754108	754307	internal.gene.body	ostta01g04620
1	785175	785396	internal.gene.body	ostta01g04840
1	785200	785396	internal.gene.body	ostta01g04840
1	794548	795297	TSS	ostta01g04920
1	794563	795301	TSS	ostta01g04920
1	805328	805515	internal.gene.body	ostta01g04990
1	820338	820538	internal.gene.body	ostta01g05060
1	844949	845179	internal.gene.body	ostta01g05210
1	874616	874820	TSS	ostta01g05400
1	922006	923066	TSS	ostta01g05650,ostta01g05640
1	922448	923068	TSS	ostta01g05650
1	936744	937566	TSS	ostta01g05750
1	936731	937606	gene.body	ostta01g05760
1	971824	972098	internal.gene.body	ostta01g05960
1	971844	972099	internal.gene.body	ostta01g05960
1	975808	976699	TSS	ostta01g06000
1	975743	976771	TSS	ostta01g06000
1	1004705	1004920	TSS	ostta01g06130
1	1004713	1004935	TSS	ostta01g06130
1	1008166	1008448	TSS	ostta01g06150
1	1008166	1008479	TSS	ostta01g06150
1	1023721	1024080	TSS	ostta01g06260
1	1044623	1045310	TSS	ostta01g06380
1	1044635	1045310	TSS	ostta01g06380
1	1047457	1048302	TSS	ostta01g06400
1	1047458	1048290	TSS	ostta01g06400
1	1057245	1057614	TSS	ostta01g06465,ostta01g06460
1	1057247	1057461	TSS	ostta01g06460
1	1077453	1077628	internal.gene.body	ostta01g06600
1	1077453	1077682	internal.gene.body	ostta01g06600
1	1078889	1079525	TSS	ostta01g06610
1	1078883	1079525	TSS	ostta01g06610
10	66159	67050	TSS	ostta10g00320
10	66164	67050	TSS	ostta10g00320
10	79300	80748	TSS	ostta10g00400
10	79307	82425	gene.body	ostta10g00410
10	81101	82350	TSS	ostta10g00420,ostta10g00410
10	84549	86918	gene.body	ostta10g00440
10	84540	86912	gene.body	ostta10g00440
10	121296	123253	TSS	ostta10g00690,ostta10g00680
10	121241	123110	TSS	ostta10g00690,ostta10g00680
10	132311	132661	internal.gene.body	ostta10g00770
10	134036	134236	internal.gene.body	ostta10g00780
10	140781	141137	TSS	ostta10g00830
10	140817	141116	TSS	ostta10g00830
10	148343	149555	gene.body	ostta10g00900
10	148359	149592	gene.body	ostta10g00900
10	157131	158237	TSS	ostta10g00950,ostta10g00940
10	157034	158237	TSS	ostta10g00950,ostta10g00940
10	161930	162176	internal.gene.body	ostta10g00970
10	162455	163105	TSS	ostta10g00980
10	161930	163211	gene.body	ostta10g00980
10	165043	166729	gene.body	ostta10g01010
10	165039	166737	gene.body	ostta10g01010
10	172407	173203	TSS	ostta10g01050
10	172400	173369	TSS	ostta10g01060,ostta10g01050
10	178318	178695	TSS	ostta10g01100,ostta10g01090
10	178479	178695	TSS	ostta10g01100,ostta10g01090
10	199181	199336	internal.gene.body	ostta10g01210
10	207903	208152	intergenic	
10	207967	208152	intergenic	
10	208439	209184	TSS	ostta10g01280
10	208436	209209	TSS	ostta10g01280
10	229103	229334	TSS	ostta10g01400
10	229016	229379	TSS	ostta10g01400
10	268429	268997	TSS	ostta10g01690,ostta10g01680
10	268433	268988	TSS	ostta10g01690,ostta10g01680
10	298067	298533	TSS	ostta10g01830
10	298079	298508	TSS	ostta10g01830
10	326075	326839	TSS	ostta10g02015
10	326053	326839	TSS	ostta10g02015
10	328121	328424	internal.gene.body	ostta10g02025
10	328121	328441	internal.gene.body	ostta10g02025
10	349415	350276	TSS	ostta10g02070
10	349422	350260	intergenic	
10	353910	354419	TSS	ostta10g02100
10	353884	354192	TSS	ostta10g02100
10	372551	372761	TSS	ostta10g02230
10	398874	399970	TSS	ostta10g02400,ostta10g02390
10	398844	399866	TSS	ostta10g02400,ostta10g02390
10	402244	403560	TSS	ostta10g02420,ostta10g02410
10	401995	403645	TSS	ostta10g02420,ostta10g02410
10	437696	438120	intergenic	
10	437683	438541	TSS	ostta10g02660
10	496007	496380	TSS	ostta10g02990
10	495710	496418	TSS	ostta10g02990,ostta10g02980
10	503480	503808	TSS	ostta10g03030,ostta10g03020
10	503472	503645	internal.gene.body	ostta10g03020
10	505752	506555	gene.body	ostta10g03050
10	505748	506546	gene.body	ostta10g03050
10	522905	523112	TSS	ostta10g03180
10	522884	523112	TSS	ostta10g03180
10	525008	525757	TSS	ostta10g03190
10	525217	525754	internal.gene.body	ostta10g03190
10	536052	536319	TSS	ostta10g03250
10	536011	536490	TSS	ostta10g03250
10	561194	561860	TSS	ostta10g03420
10	561192	561839	TSS	ostta10g03420
10	577315	578109	TSS	ostta10g03480,ostta10g03470
10	577301	578159	TSS	ostta10g03480,ostta10g03470
10	588507	588727	TSS	ostta10g03560
11	10283	10734	TSS	ostta11g00060
11	10271	10721	TSS	ostta11g00060
11	61031	61246	internal.gene.body	ostta11g00260
11	62024	63280	TSS	ostta11g00280,ostta11g00270
11	62077	63472	TSS	ostta11g00280,ostta11g00270
11	74371	75723	gene.body	ostta11g00350
11	74365	75723	gene.body	ostta11g00350
11	104453	105015	TSS	ostta11g00490
11	104443	105008	TSS	ostta11g00490
11	137023	137849	TSS	ostta11g00690
11	137044	137841	TSS	ostta11g00690
11	148815	149327	TSS	ostta11g00770
11	148817	149247	TES	ostta11g00760
11	151533	152208	TSS	ostta11g00780
11	151529	152202	TSS	ostta11g00780
11	157816	158931	TSS	ostta11g00820,ostta11g00810
11	157783	158973	TSS	ostta11g00820,ostta11g00810
11	168264	168464	internal.gene.body	ostta11g00850
11	168229	168435	internal.gene.body	ostta11g00850
11	182786	183195	internal.gene.body	ostta11g00950
11	182932	183227	internal.gene.body	ostta11g00950
11	205955	207413	TSS	ostta11g01080,ostta11g01070
11	205903	207559	TSS	ostta11g01080,ostta11g01070
11	256963	257188	internal.gene.body	ostta11g01325
11	268429	269008	gene.body	ostta11g01390
11	268434	269006	gene.body	ostta11g01390
11	273867	274662	TSS	ostta11g01430
11	273868	274667	TSS	ostta11g01430
11	287739	287948	internal.gene.body	ostta11g01510
11	288483	288663	internal.gene.body	ostta11g01520
11	356559	356867	internal.gene.body	ostta11g01870
11	357768	357956	internal.gene.body	ostta11g01880
11	357768	358134	internal.gene.body	ostta11g01880
11	371712	371911	internal.gene.body	ostta11g01960
11	371712	371969	internal.gene.body	ostta11g01960
11	400887	401098	intergenic	
11	411976	412178	internal.gene.body	ostta11g02220
11	411976	412182	internal.gene.body	ostta11g02220
11	435084	435992	TSS	ostta11g02360,ostta11g02350
11	435076	436011	TSS	ostta11g02360,ostta11g02350
11	438591	440088	TSS	ostta11g02400,ostta11g02380
11	438557	440079	TSS	ostta11g02400,ostta11g02380
11	455436	456165	gene.body	ostta11g02500
11	455439	456139	gene.body	ostta11g02500
11	471074	472388	TSS	ostta11g02600,ostta11g02590
11	471096	472384	TSS	ostta11g02600,ostta11g02590
11	473355	474947	gene.body	ostta11g02620
11	473047	473600	TSS	ostta11g02610
11	473947	474948	TSS	ostta11g02620
11	477925	478105	internal.gene.body	ostta11g02650
11	477913	478105	internal.gene.body	ostta11g02650
11	504929	505393	TSS	ostta11g02830
11	504928	505383	TSS	ostta11g02830
11	507436	508671	TSS	ostta11g02870,ostta11g02860
11	507582	508671	TSS	ostta11g02870,ostta11g02860
11	514297	515798	TSS	ostta11g02920,ostta11g02910
11	514308	515783	TSS	ostta11g02920,ostta11g02910
11	590668	590904	internal.gene.body	ostta11g03300
12	2884	3945	TSS	ostta12g00040,ostta12g00030
