type	description	begin	end	length	accession	biological description
DOMAIN	PF13832.9	647	760	113	AT4G27910	PHD-zinc-finger like domain
DOMAIN	PF00856.31	896	1002	106	AT4G27910	SET domain
DOMAIN	PF13771.9	670	761	91	AT4G27910	PHD-like zinc-binding domain
DOMAIN	PF00855.20	208	305	97	AT4G27910	PWWP domain
DOMAIN	PF13831.9	606	641	35	AT4G27910	PHD-finger
DOMAIN	PF00628.32	400	454	54	AT4G27910	PHD-finger
DOMAIN	PF13832.9	662	775	113	AT5G53430	PHD-zinc-finger like domain
DOMAIN	PF00856.31	912	1018	106	AT5G53430	SET domain
DOMAIN	PF13771.9	685	776	91	AT5G53430	PHD-like zinc-binding domain
DOMAIN	PF00855.20	224	321	97	AT5G53430	PWWP domain
DOMAIN	PF00628.32	415	469	54	AT5G53430	PHD-finger
DOMAIN	PF13831.9	621	656	35	AT5G53430	PHD-finger
DOMAIN	PF13832.9	601	714	113	AT3G61740	PHD-zinc-finger like domain
DOMAIN	PF00856.31	886	993	107	AT3G61740	SET domain
DOMAIN	PF00628.32	364	418	54	AT3G61740	PHD-finger
DOMAIN	PF00628.32	548	597	49	AT3G61740	PHD-finger
DOMAIN	PF00855.20	190	288	98	AT3G61740	PWWP domain
DOMAIN	PF13831.9	560	595	35	AT3G61740	PHD-finger
DOMAIN	PF13771.9	624	715	91	AT3G61740	PHD-like zinc-binding domain
DOMAIN	PF00856.31	1260	1366	106	AT5G42400	SET domain
