"V1"	"V2"
"1"	"ostta01g01340"	"AT4G03560.1"
"2"	"ostta01g01340"	"AT4G03560.1"
"3"	"ostta01g01340"	"AT4G03560.1"
"4"	"ostta01g01340"	"AT4G03560.1"
"5"	"ostta01g03930"	"AT5G05490.2"
"6"	"ostta01g06030"	"AT1G70210.1"
"7"	"ostta10g00540"	"AT1G48900.1"
"8"	"ostta10g00540"	"AT1G48900.1"
"9"	"ostta10g00920"	"AT1G77760.1"
"10"	"ostta10g03190"	"AT3G02640.1"
"11"	"ostta11g01790"	"AT5G41970.1"
"12"	"ostta11g02270"	"AT4G02405.1"
"13"	"ostta11g03070"	"AT1G17520.2"
"14"	"ostta12g00210"	"AT2G10940.2"
"15"	"ostta12g00210"	"AT2G10940.2"
"16"	"ostta12g00210"	"AT2G10940.2"
"17"	"ostta12g00210"	"AT2G10940.2"
"18"	"ostta12g00210"	"AT2G10940.2"
"19"	"ostta12g00210"	"AT2G10940.2"
"20"	"ostta12g00210"	"AT2G10940.2"
"21"	"ostta12g02560"	"AT5G43100.2"
"22"	"ostta12g03060"	"AT3G59760.1"
"23"	"ostta12g03180"	"AT1G73110.1"
"24"	"ostta13g01130"	"AT3G08720.4"
"25"	"ostta13g01340"	"AT4G33380.1"
"26"	"ostta13g01340"	"AT4G33380.1"
"27"	"ostta13g01340"	"AT4G33380.1"
"28"	"ostta13g01340"	"AT4G33380.1"
"29"	"ostta13g01770"	"AT3G06910.1"
"30"	"ostta13g02680"	"AT5G49560.1"
"31"	"ostta14g00066"	"AT1G33350.2"
"32"	"ostta14g01520"	"AT1G56070.3"
"33"	"ostta14g01780"	"AT2G15025.1"
"34"	"ostta15g00195"	"AT2G19220.1"
"35"	"ostta15g00340"	"AT1G17450.2"
"36"	"ostta16g01130"	"AT2G15730.2"
"37"	"ostta16g02130"	"AT5G11700.2"
"38"	"ostta16g02140"	"AT5G35930.4"
"39"	"ostta16g02520"	"AT5G27630.4"
"40"	"ostta17g00180"	"AT5G24740.6"
"41"	"ostta17g00220"	"AT4G01270.1"
"42"	"ostta17g00880"	"AT4G34220.1"
"43"	"ostta17g02200"	"AT2G39140.2"
"44"	"ostta18g01100"	"AT1G54310.2"
"45"	"ostta18g01140"	"AT1G62620.2"
"46"	"ostta19g00010"	"AT5G53540.1"
"47"	"ostta19g00190"	"AT1G72770.5"
"48"	"ostta19g00320"	"AT1G76690.1"
"49"	"ostta19g00360"	"AT1G51020.1"
"50"	"ostta19g00400"	"AT5G11230.1"
"51"	"ostta19g00430"	"AT5G13810.1"
"52"	"ostta19g00460"	"AT5G62165.9"
"53"	"ostta19g00490"	"AT5G11230.1"
"54"	"ostta19g00045"	"AT1G77600.2"
"55"	"ostta02g00037"	"AT3G55350.1"
"56"	"ostta02g00100"	"AT1G52740.1"
"57"	"ostta02g00275"	"AT1G25320.1"
"58"	"ostta02g00670"	"AT3G46740.1"
"59"	"ostta02g00810"	"AT1G79470.1"
"60"	"ostta02g01560"	"AT1G60560.1"
"61"	"ostta02g02715"	"AT5G41280.1"
"62"	"ostta02g04200"	"AT1G66120.1"
"63"	"ostta02g04400"	"AT3G57630.2"
"64"	"ostta02g04400"	"AT3G57630.2"
"65"	"ostta02g04610"	"AT3G14050.1"
"66"	"ostta02g04660"	"AT1G77240.1"
"67"	"ostta02g05010"	"AT4G02680.1"
"68"	"ostta20g00450"	"AT2G22650.1"
"69"	"ostta03g02810"	"AT5G27330.1"
"70"	"ostta03g03030"	"AT5G15070.3"
"71"	"ostta03g03030"	"AT5G15070.3"
"72"	"ostta03g03430"	"AT5G20510.1"
"73"	"ostta03g05080"	"AT3G19630.1"
"74"	"ostta03g06000"	"AT5G59120.1"
"75"	"ostta04g01930"	"AT2G22310.1"
"76"	"ostta04g02120"	"AT2G21680.1"
"77"	"ostta04g03010"	"AT1G15460.2"
"78"	"ostta04g03010"	"AT1G15460.2"
"79"	"ostta04g04100"	"AT3G04710.1"
"80"	"ostta04g04100"	"AT3G04710.1"
"81"	"ostta04g05600"	"AT3G06010.1"
"82"	"ostta05g00820"	"AT1G07747.1"
"83"	"ostta05g02418"	"AT2G21280.1"
"84"	"ostta05g02840"	"AT5G06930.3"
"85"	"ostta05g03540"	"AT2G01810.1"
"86"	"ostta05g04760"	"AT1G65920.2"
"87"	"ostta06g00060"	"AT3G06010.1"
"88"	"ostta06g04420"	"AT3G61680.3"
"89"	"ostta06g04460"	"AT1G19800.6"
"90"	"ostta07g03080"	"AT3G63480.2"
"91"	"ostta08g00350"	"AT1G64550.1"
"92"	"ostta08g00350"	"AT1G64550.1"
"93"	"ostta08g00390"	"AT4G23160.3"
"94"	"ostta08g00680"	"AT1G65920.1"
"95"	"ostta08g00680"	"AT1G65920.1"
"96"	"ostta08g01210"	"AT5G41150.1"
"97"	"ostta08g02040"	"AT5G61140.2"
"98"	"ostta08g03000"	"AT4G39850.3"
"99"	"ostta08g03990"	"AT3G19210.1"
"100"	"ostta08g04000"	"AT2G47840.1"
"101"	"ostta08g04280"	"AT4G21660.2"
"102"	"ostta09g04430"	"AT3G14205.2"
