chr	start	end	peak.annotation.14.20.k4	repressed.genes.14.20.k4
8	101915	104764	gene.body	ostta08g00680
4	894103	894368	internal.gene.body	ostta04g05330
3	839701	839755	internal.gene.body	ostta03g05090
7	271641	272047	internal.gene.body	ostta07g01770
8	509423	512717	TSS	ostta08g03000
2	715403	715584	internal.gene.body	ostta02g03630
2	237656	239069	TES	ostta02g00900
16	19294	19968	internal.gene.body	ostta16g00140
1	1012640	1012966	internal.gene.body	ostta01g06190
11	219660	221575	TES	ostta11g01150
2	996771	997986	TES	ostta02g05090
2	913796	913819	intergenic	
16	413744	416157	TSS	ostta16g02160
12	190840	191065	internal.gene.body	ostta12g01190
1	4368	4377	internal.gene.body	ostta01g00030
7	296181	296444	internal.gene.body	ostta07g01910
6	12731	14168	TSS	ostta06g00055
10	217268	217722	internal.gene.body	ostta10g01340
9	660630	660882	internal.gene.body	ostta09g04190
2	171882	177487	TSS	ostta02g00710,ostta02g00720
3	64314	66892	internal.gene.body	ostta03g00320
11	305268	308119	TES	ostta11g01600
9	261804	262081	internal.gene.body	ostta09g01770
6	453497	458510	TES	ostta06g02700
8	83452	83505	internal.gene.body	ostta08g00520
8	153684	153740	internal.gene.body	ostta08g00900
14	459433	462506	internal.gene.body	ostta14g02600
5	768990	776439	TES	ostta05g04640
1	252030	253254	internal.gene.body	ostta01g01610
8	380488	382194	internal.gene.body	ostta08g02180
10	461515	462417	TES	ostta10g02790
4	724003	726135	TES	ostta04g04250
2	166747	167954	internal.gene.body	ostta02g00710,ostta02g00720
2	270051	270132	internal.gene.body	ostta02g01030
7	702735	706582	gene.body	ostta07g04340
14	444110	444613	internal.gene.body	ostta14g02490
4	80234	80282	internal.gene.body	ostta04g00500
2	400486	400968	internal.gene.body	ostta02g01880
2	115279	115559	internal.gene.body	ostta02g00460
2	800532	802896	TES	ostta02g04090
12	325954	333628	internal.gene.body	ostta12g01965
5	246498	246631	internal.gene.body	ostta05g01610
10	543675	545579	gene.body	ostta10g03320
7	682532	685892	TES	ostta07g04200
12	505119	506696	TES	ostta12g03010
8	508534	509013	internal.gene.body	ostta08g03000
7	175292	180499	gene.body	ostta07g01250
2	1051827	1054298	gene.body	ostta02g05440
20	38550	39185	TES	ostta20g00230
17	222852	223997	internal.gene.body	ostta17g01380
16	188032	193053	gene.body	ostta16g01200,ostta16g01210
5	670014	672078	TES	ostta05g04080
2	158366	165856	TSS	ostta02g00700
2	1066823	1071226	TES	ostta02g05530
11	467905	469787	TSS	ostta11g02575
16	268438	268684	internal.gene.body	ostta16g01580
9	708234	710194	TES	ostta09g04510
17	64633	66344	TES	ostta17g00370
7	575434	576639	internal.gene.body	ostta07g03560
2	908349	909091	TES	ostta02g04620,ostta02g04630
18	343250	345706	TES	ostta18g01980
11	326090	327296	TSS	ostta11g01720
7	240993	241170	internal.gene.body	ostta07g01640
2	762067	766451	internal.gene.body	ostta02g03910
1	656129	658538	internal.gene.body	ostta01g04120
6	53981	57184	gene.body	ostta06g00330
