chr	start	end	peak.annotation.14.20.k27	repressed.genes.14.20.k27
7	271641	272047	internal.gene.body	ostta07g01770
2	237656	239069	TES	ostta02g00900
16	19294	19968	internal.gene.body	ostta16g00140
1	1012640	1012966	internal.gene.body	ostta01g06190
11	219660	221575	TES	ostta11g01150
2	996771	997986	TES	ostta02g05090
16	413744	416157	TSS	ostta16g02160
6	12731	14168	TSS	ostta06g00055
9	660630	660882	internal.gene.body	ostta09g04190
2	171882	177487	TSS	ostta02g00710,ostta02g00720
3	64314	66892	internal.gene.body	ostta03g00320
11	305268	308119	TES	ostta11g01600
6	453497	458510	TES	ostta06g02700
14	459433	462506	internal.gene.body	ostta14g02600
5	768990	776439	TES	ostta05g04640
1	252030	253254	internal.gene.body	ostta01g01610
8	380488	382194	internal.gene.body	ostta08g02180
10	461515	462417	TES	ostta10g02790
4	724003	726135	TES	ostta04g04250
2	166747	167954	internal.gene.body	ostta02g00710,ostta02g00720
10	18652	22647	TES	ostta10g00080
7	702735	706582	gene.body	ostta07g04340
6	472404	475660	internal.gene.body	ostta06g02800
2	400486	400968	internal.gene.body	ostta02g01880
2	115279	115559	internal.gene.body	ostta02g00460
2	800532	802896	TES	ostta02g04090
12	325954	333628	internal.gene.body	ostta12g01965
10	543675	545579	gene.body	ostta10g03320
7	682532	685892	TES	ostta07g04200
12	505119	506696	TES	ostta12g03010
7	175292	180499	gene.body	ostta07g01250
2	1051827	1054298	gene.body	ostta02g05440
20	38550	39185	TES	ostta20g00230
17	222852	223997	internal.gene.body	ostta17g01380
16	188032	193053	gene.body	ostta16g01200,ostta16g01210
5	670014	672078	TES	ostta05g04080
2	158366	165856	TSS	ostta02g00700
2	1066823	1071226	TES	ostta02g05530
11	467905	469787	TSS	ostta11g02575
4	283807	286198	internal.gene.body	ostta04g01660
9	708234	710194	TES	ostta09g04510
17	64633	66344	TES	ostta17g00370
7	575434	576639	internal.gene.body	ostta07g03560
10	247049	248646	TES	ostta10g01540
18	343250	345706	TES	ostta18g01980
11	326090	327296	TSS	ostta11g01720
7	658220	661142	TES	ostta07g04030
2	762067	766451	internal.gene.body	ostta02g03910
1	656129	658538	internal.gene.body	ostta01g04120
6	53981	57184	gene.body	ostta06g00330
16	470369	472690	gene.body	ostta16g02460
2	804052	807491	gene.body	ostta02g04110
2	402716	403545	TES	ostta02g01910
2	2409	5354	gene.body	ostta02g00020
8	636205	638159	gene.body	ostta08g03780
6	611563	611870	internal.gene.body	ostta06g03580
2	811191	816385	gene.body	ostta02g04160,ostta02g04170
18	189471	192280	gene.body	ostta18g01040
3	305335	306755	gene.body	ostta03g01850
20	8	1508	gene.body	ostta20g00010
11	348243	351607	internal.gene.body	ostta11g01840
