type	description	begin	end	length	accession	biological description
DOMAIN	PF00176.26	757	1049	292	AT2G28290	SNF2-related domain
DOMAIN	PF14619.9	1281	1378	97	AT2G28290	Snf2-ATP coupling, chromatin remodelling complex
DOMAIN	PF00271.34	1073	1187	114	AT2G28290	Helicase conserved C-terminal domain
DOMAIN	PF04851.18	751	917	166	AT2G28290	Type III restriction enzyme, res subunit
DOMAIN	PF00176.26	480	782	302	ostta07g03900	SNF2-related domain
DOMAIN	PF00271.34	801	922	121	ostta07g03900	Helicase conserved C-terminal domain
DOMAIN	PF04851.18	474	638	164	ostta07g03900	Type III restriction enzyme, res subunit
DOMAIN	PF00176.26	984	1289	305	AT2G46020	SNF2-related domain
DOMAIN	PF00271.34	1307	1421	114	AT2G46020	Helicase conserved C-terminal domain
DOMAIN	PF04851.18	978	1141	163	AT2G46020	Type III restriction enzyme, res subunit
DOMAIN	PF00270.32	984	1147	163	AT2G46020	DEAD/DEAH box helicase
DOMAIN	PF00176.26	279	573	294	AT2G25170	SNF2-related domain
DOMAIN	PF06461.14	919	1055	136	AT2G25170	CHD subfamily II, SANT-like domain
DOMAIN	PF00385.27	98	170	72	AT2G25170	Chromo (CHRromatin Organisation MOdifier) domain
DOMAIN	PF00385.27	190	240	50	AT2G25170	Chromo (CHRromatin Organisation MOdifier) domain
DOMAIN	PF06465.16	829	891	62	AT2G25170	CHD subfamily II, DUF1087
DOMAIN	PF00271.34	595	709	114	AT2G25170	Helicase conserved C-terminal domain
DOMAIN	PF04851.18	270	455	185	AT2G25170	Type III restriction enzyme, res subunit
DOMAIN	PF00628.32	51	96	45	AT2G25170	PHD-finger
DOMAIN	PF11496.11	495	759	264	AT2G25170	Class II histone deacetylase complex subunits 2 and 3
