Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ostta01g00010	-	1	-	244	1932	18.037596	33.576385	39.580387
ostta01g00020	-	1	+	2077	4029	10.641065	19.807989	23.349979
ostta01g00030	-	1	+	4157	5299	7.259842	13.513954	15.930470
ostta01g00040	-	1	-	5392	7041	52.501820	97.730392	115.206177
ostta01g00050	-	1	-	7386	9605	14.018018	26.094072	30.760118
ostta01g00060	-	1	-	9780	10412	114.107422	212.407181	250.389023
ostta01g00070	-	1	+	11358	12455	35.284153	65.680275	77.424973
ostta01g00080	-	1	-	12585	12848	10.291667	19.157597	22.583284
ostta01g00090	-	1	+	13009	15890	138.297134	257.435516	303.469177
ostta01g00100	-	1	+	16094	20050	14.015922	26.090172	30.755520
ostta01g00110	-	1	-	20110	20694	5.810256	10.815598	12.749603
ostta01g00120	-	1	+	21003	22493	23.179075	43.147079	50.862476
ostta01g00130	-	1	-	22562	23929	17.199562	32.016415	37.741467
ostta01g00140	-	1	+	24244	25262	34.609730	64.424858	75.945068
ostta01g00150	-	1	-	25340	26524	11.049789	20.568815	24.246853
ostta01g00160	-	1	-	26590	28893	17.252171	32.114342	37.856907
ostta01g00170	-	1	+	29306	30093	17.633200	32.823616	38.693012
ostta01g00180	-	1	+	30248	30493	56.292683	104.786957	123.524567
ostta01g00190	-	1	-	30650	33039	41.426594	77.114220	90.903496
ostta01g00200	-	1	+	33223	34098	19.235159	35.805607	42.208233
ostta01g00210	-	1	-	34173	34653	45.952381	85.538826	100.834557
ostta01g00220	-	1	+	34778	35476	49.656651	92.434204	108.962944
ostta01g00230	-	1	-	35486	36444	17.941607	33.397705	39.369755
ostta01g00240	-	1	-	36541	38037	10.471610	19.492554	22.978140
ostta01g00250	-	1	+	38212	39087	9.522831	17.726435	20.896208
ostta01g00260	-	1	-	39164	41344	0.292526	0.544527	0.641898
ostta01g00270	-	1	+	41797	42285	102.087936	190.033295	224.014343
ostta01g00280	-	1	-	42330	43987	34.125927	63.524277	74.883453
ostta01g00290	-	1	-	44204	44380	5.853107	10.895365	12.843632
ostta01g00300	-	1	+	44619	45203	14.524786	27.037405	31.872133
ostta01g00310	-	1	-	45237	46697	12.312799	22.919867	27.018311
ostta01g00320	-	1	-	46754	49186	13.165228	24.506634	28.888819
ostta01g00330	-	1	-	49314	50465	98.807289	183.926483	216.815521
ostta01g00340	-	1	+	50930	51955	8.382067	15.602939	18.392998
ostta01g00350	-	1	+	52198	53061	25.245371	46.993416	55.396603
ostta01g00360	-	1	-	53097	54644	6.743540	12.552875	14.797533
ostta01g00370	-	1	-	54791	55323	31.843843	59.276257	69.875816
ostta01g00380	-	1	+	56147	58519	32.554539	60.599194	71.435310
ostta01g00390	-	1	+	58613	59677	9.308920	17.328245	20.426817
