chr	start	end	peak.annotation	target.genes
1	177	1228	TES	ostta01g00010
1	178	1228	TES	ostta01g00010
1	38779	41436	gene.body	ostta01g00260
1	38779	41436	gene.body	ostta01g00260
1	180449	180706	intergenic	
1	180449	180775	intergenic	
1	188414	190571	internal.gene.body	ostta01g01270
1	188414	190571	internal.gene.body	ostta01g01270
1	202015	207189	gene.body	ostta01g01340
1	202015	207192	gene.body	ostta01g01340
1	208841	213379	gene.body	ostta01g01370
1	208912	213379	gene.body	ostta01g01370
1	251567	253291	TSS	ostta01g01610
1	251567	253291	TSS	ostta01g01610
1	314218	315681	TES	ostta01g02010
1	314218	315681	TES	ostta01g02010
1	431704	433241	internal.gene.body	ostta01g02760
1	431704	433241	internal.gene.body	ostta01g02760
1	622461	625360	gene.body	ostta01g03930
1	622461	625250	gene.body	ostta01g03930
1	633803	634257	internal.gene.body	ostta01g03980
1	633803	634257	internal.gene.body	ostta01g03980
1	645676	646022	internal.gene.body	ostta01g04080
1	645676	646022	internal.gene.body	ostta01g04080
1	650245	650898	internal.gene.body	ostta01g04100
1	650245	650898	internal.gene.body	ostta01g04100
1	656345	657470	internal.gene.body	ostta01g04120
1	656345	657470	internal.gene.body	ostta01g04120
1	658114	658469	internal.gene.body	ostta01g04120
1	658114	658432	internal.gene.body	ostta01g04120
1	688945	691949	gene.body	ostta01g04260
1	688945	691949	gene.body	ostta01g04260
1	755745	759722	gene.body	ostta01g04640,ostta01g04650
1	755745	759722	gene.body	ostta01g04640,ostta01g04650
1	761728	762294	internal.gene.body	ostta01g04660
1	761728	762264	internal.gene.body	ostta01g04660
1	791925	794404	TSS	ostta01g04910
1	791925	794404	TSS	ostta01g04910
1	981238	986034	gene.body	ostta01g06030,ostta01g06040
1	981238	986043	gene.body	ostta01g06030,ostta01g06040
1	1003030	1004719	TES	ostta01g06130
1	1003030	1004719	TES	ostta01g06130
1	1040758	1041820	internal.gene.body	ostta01g06360
1	1040758	1041820	internal.gene.body	ostta01g06360
1	1093490	1095866	TES	ostta01g06680
1	1093490	1095892	TES	ostta01g06680
10	294	5476	internal.gene.body	ostta10g00010
10	293	5559	internal.gene.body	ostta10g00010
10	18609	22512	TES	ostta10g00080
10	18609	22512	TES	ostta10g00080
10	28263	30494	TSS	ostta10g00130
10	28336	30494	TSS	ostta10g00130
10	40807	42149	TES	ostta10g00170
10	40807	42149	TES	ostta10g00170
10	97566	97855	internal.gene.body	ostta10g00540
10	97570	97852	internal.gene.body	ostta10g00540
10	150194	151296	internal.gene.body	ostta10g00920
10	150194	151296	internal.gene.body	ostta10g00920
10	170384	172113	gene.body	ostta10g01040
10	170374	172113	gene.body	ostta10g01040
10	234582	235909	TSS	ostta10g01450
10	234571	235909	TSS	ostta10g01450
10	247184	248655	TES	ostta10g01540
10	247184	248655	TES	ostta10g01540
10	339222	342330	internal.gene.body	ostta10g02060
10	339222	342330	internal.gene.body	ostta10g02060
10	461521	462438	TES	ostta10g02790
10	461521	462438	TES	ostta10g02790
10	526102	528127	internal.gene.body	ostta10g03200
10	525930	528127	TES	ostta10g03190
10	538941	540700	TES	ostta10g03280
10	538941	540700	TES	ostta10g03280
10	543803	545647	gene.body	ostta10g03320
10	543803	545673	gene.body	ostta10g03320
10	588707	591099	gene.body	ostta10g03570
10	588707	591105	gene.body	ostta10g03570
11	152	1461	TES	ostta11g00010
11	137	1461	TES	ostta11g00010
11	18456	19199	internal.gene.body	ostta11g00120
11	18456	19199	internal.gene.body	ostta11g00120
11	20444	23096	TES	ostta11g00130
11	20423	23096	TES	ostta11g00130
11	26611	28292	internal.gene.body	ostta11g00160
11	26611	28292	internal.gene.body	ostta11g00160
11	181233	181458	internal.gene.body	ostta11g00940
11	181233	181458	internal.gene.body	ostta11g00940
11	219762	221615	TES	ostta11g01150
11	219762	221621	TES	ostta11g01150
11	305264	308139	TES	ostta11g01600
11	305264	308139	TES	ostta11g01600
11	309322	311579	TES	ostta11g01620
11	309322	311579	TES	ostta11g01620
11	318150	319254	TES	ostta11g01680
11	318150	319254	TES	ostta11g01680
11	326193	327310	TSS	ostta11g01720
11	326193	327310	TSS	ostta11g01720
11	330339	331971	internal.gene.body	ostta11g01760
11	330339	331971	internal.gene.body	ostta11g01760
11	333342	333740	internal.gene.body	ostta11g01770
11	333342	333740	internal.gene.body	ostta11g01770
11	334806	339622	gene.body	ostta11g01790
11	334800	339632	gene.body	ostta11g01790
11	348714	351499	internal.gene.body	ostta11g01840
11	348714	351499	internal.gene.body	ostta11g01840
11	376757	377186	internal.gene.body	ostta11g01990
11	376757	377186	internal.gene.body	ostta11g01990
11	377521	377976	TSS	ostta11g02000
11	377521	377976	TSS	ostta11g02000
11	415013	415315	internal.gene.body	ostta11g02240
11	415013	415315	internal.gene.body	ostta11g02240
11	415687	416085	internal.gene.body	ostta11g02250
11	415687	416085	internal.gene.body	ostta11g02250
11	419626	419972	internal.gene.body	ostta11g02280
11	419626	419972	internal.gene.body	ostta11g02280
11	441197	443177	gene.body	ostta11g02420
11	441197	443177	gene.body	ostta11g02420
11	453309	455167	gene.body	ostta11g02490
11	453309	455179	gene.body	ostta11g02490
11	467993	468581	internal.gene.body	ostta11g02575
11	467993	468626	internal.gene.body	ostta11g02575
11	469185	469754	internal.gene.body	ostta11g02575
11	469185	469754	internal.gene.body	ostta11g02575
11	488259	490613	TSS	ostta11g02720
11	488259	490613	TSS	ostta11g02720
11	545810	546145	internal.gene.body	ostta11g03050
11	545810	546145	internal.gene.body	ostta11g03050
11	590795	590989	internal.gene.body	ostta11g03300
11	590795	591009	internal.gene.body	ostta11g03300
11	591381	595599	TES	ostta11g03300
11	591381	595607	TES	ostta11g03300
12	192	1381	TES	ostta12g00010
12	187	1269	TES	ostta12g00010
12	32996	33373	internal.gene.body	ostta12g00210
12	32993	33370	internal.gene.body	ostta12g00210
12	80967	81303	internal.gene.body	ostta12g00530
12	80967	81137	internal.gene.body	ostta12g00530
12	164384	165315	internal.gene.body	ostta12g01020
12	164384	165315	internal.gene.body	ostta12g01020
12	191786	194695	TSS	ostta12g01210
12	191786	194691	TSS	ostta12g01210
12	206906	210114	internal.gene.body	ostta12g01270
12	206906	210114	internal.gene.body	ostta12g01270
12	271379	274593	TSS	ostta12g01720
12	271379	274593	TSS	ostta12g01720
12	291240	292220	intergenic	
12	291171	292220	intergenic	
12	314343	325421	TES	ostta12g01960
12	314343	325421	TES	ostta12g01960
12	326047	332731	internal.gene.body	ostta12g01965
12	326047	332731	internal.gene.body	ostta12g01965
12	333103	333395	internal.gene.body	ostta12g01965
12	333103	333395	internal.gene.body	ostta12g01965
12	355451	355675	internal.gene.body	ostta12g02110
12	355451	355675	internal.gene.body	ostta12g02110
12	393517	394007	internal.gene.body	ostta12g02360
12	393517	394007	internal.gene.body	ostta12g02360
12	394311	398688	gene.body	ostta12g02370
12	394311	398698	gene.body	ostta12g02370
12	429153	430913	gene.body	ostta12g02560
12	429141	430913	gene.body	ostta12g02560
12	505367	506727	TES	ostta12g03010
12	505367	506727	TES	ostta12g03010
12	515286	515507	internal.gene.body	ostta12g03070
12	515286	515507	internal.gene.body	ostta12g03070
12	537161	537674	TES	ostta12g03190
12	537161	537674	TES	ostta12g03190
12	540132	542477	TES	ostta12g03200
12	540167	542488	TES	ostta12g03200
13	177	1385	gene.body	ostta13g00010
13	179	1385	gene.body	ostta13g00010
13	18626	18838	internal.gene.body	ostta13g00120
13	18626	18838	internal.gene.body	ostta13g00120
13	19258	19686	internal.gene.body	ostta13g00120
13	19258	19686	internal.gene.body	ostta13g00120
13	119980	121088	gene.body	ostta13g00710
13	119974	121088	gene.body	ostta13g00710
13	190747	192833	TSS	ostta13g01130
13	190747	192851	TSS	ostta13g01130
13	214780	215380	intergenic	
13	214532	215408	intergenic	
13	227023	233702	TES	ostta13g01340
13	227023	233702	TES	ostta13g01340
13	301906	302145	intergenic	
13	301919	302145	intergenic	
13	302435	308877	gene.body	ostta13g01770
13	302435	308877	gene.body	ostta13g01770
13	479793	480066	internal.gene.body	ostta13g02720
13	479793	480066	internal.gene.body	ostta13g02720
13	480505	482664	TES	ostta13g02730
13	480505	482664	TES	ostta13g02730
13	547374	548380	internal.gene.body	ostta13g03080
13	547379	548380	internal.gene.body	ostta13g03080
14	128	729	intergenic	
14	111	729	intergenic	
14	1924	2141	internal.gene.body	ostta14g00020
14	1924	2141	internal.gene.body	ostta14g00020
14	9694	25560	gene.body	ostta14g00066,ostta14g00070,ostta14g00075
14	9694	25595	gene.body	ostta14g00066,ostta14g00070,ostta14g00075
14	63006	63913	TES	ostta14g00300
14	63006	63913	TES	ostta14g00300
14	180651	180943	internal.gene.body	ostta14g01050
14	180651	180943	internal.gene.body	ostta14g01050
14	239652	240375	internal.gene.body	ostta14g01380
14	239653	240375	internal.gene.body	ostta14g01380
14	248213	249053	internal.gene.body	ostta14g01410
14	248227	249053	internal.gene.body	ostta14g01410
14	278361	281323	gene.body	ostta14g01530
14	278361	281323	gene.body	ostta14g01530
14	318367	318575	TES	ostta14g01740
14	318367	318575	TES	ostta14g01740
14	318916	319122	internal.gene.body	ostta14g01740
14	318916	319122	internal.gene.body	ostta14g01740
14	322143	323475	TES	ostta14g01750
14	322143	323475	TES	ostta14g01750
