"V1"	"V2"
"1"	"ostta01g01610"	"AT1G49350.1"
"2"	"ostta01g02020"	"AT5G10190.1"
"3"	"ostta01g02760"	"AT5G54670.2"
"4"	"ostta01g02810"	"AT2G05940.1"
"5"	"ostta01g03980"	"AT1G15215.1"
"6"	"ostta01g04080"	"AT1G57600.4"
"7"	"ostta01g04120"	"AT1G67120.2"
"8"	"ostta01g04120"	"AT1G67120.2"
"9"	"ostta01g04120"	"AT1G67120.2"
"10"	"ostta01g04120"	"AT1G67120.2"
"11"	"ostta01g04120"	"AT1G67120.2"
"12"	"ostta01g04120"	"AT1G67120.2"
"13"	"ostta01g04120"	"AT1G67120.2"
"14"	"ostta01g04120"	"AT1G67120.2"
"15"	"ostta01g04120"	"AT1G67120.2"
"16"	"ostta01g04120"	"AT1G67120.2"
"17"	"ostta01g04120"	"AT1G67120.2"
"18"	"ostta01g04120"	"AT1G67120.2"
"19"	"ostta01g04120"	"AT1G67120.2"
"20"	"ostta01g04120"	"AT1G67120.2"
"21"	"ostta01g04120"	"AT1G67120.2"
"22"	"ostta01g04120"	"AT1G67120.2"
"23"	"ostta01g04120"	"AT1G67120.2"
"24"	"ostta01g04120"	"AT1G67120.2"
"25"	"ostta01g04120"	"AT1G67120.2"
"26"	"ostta01g05160"	"AT4G37940.3"
"27"	"ostta01g06370"	"AT4G29520.1"
"28"	"ostta10g00010"	"AT3G11964.2"
"29"	"ostta10g00010"	"AT3G11964.2"
"30"	"ostta10g00080"	"AT1G70070.1"
"31"	"ostta10g00170"	"AT3G20810.1"
"32"	"ostta10g01040"	"AT5G07010.1"
"33"	"ostta10g01450"	"AT2G20030.1"
"34"	"ostta10g01540"	"AT5G63570.2"
"35"	"ostta10g02060"	"AT5G49150.3"
"36"	"ostta10g02060"	"AT5G49150.3"
"37"	"ostta10g02060"	"AT5G49150.3"
"38"	"ostta10g02060"	"AT5G49150.3"
"39"	"ostta10g02780"	"AT1G11860.2"
"40"	"ostta10g03280"	"AT3G51110.1"
"41"	"ostta11g00160"	"AT3G16810.1"
"42"	"ostta11g00890"	"AT5G49470.1"
"43"	"ostta11g01830"	"AT2G47490.1"
"44"	"ostta11g02420"	"AT2G20330.1"
"45"	"ostta11g02420"	"AT2G20330.1"
"46"	"ostta11g02575"	"AT4G12750.1"
"47"	"ostta12g00010"	"AT1G67620.1"
"48"	"ostta12g03010"	"AT5G10070.2"
"49"	"ostta13g00120"	"AT3G23890.1"
"50"	"ostta13g00710"	"AT4G27890.1"
"51"	"ostta13g01240"	"AT3G16840.1"
"52"	"ostta14g00310"	"AT5G58120.1"
"53"	"ostta14g00310"	"AT4G20970.1"
"54"	"ostta14g00770"	"AT5G35210.1"
"55"	"ostta14g01810"	"AT5G05450.1"
"56"	"ostta14g01910"	"AT1G50630.1"
"57"	"ostta14g02120"	"AT5G66550.2"
"58"	"ostta14g02910"	"AT5G16800.1"
"59"	"ostta14g03020"	"AT4G10550.4"
"60"	"ostta15g01070"	"AT3G55220.1"
"61"	"ostta15g01710"	"AT5G45380.1"
"62"	"ostta15g01720"	"AT1G21840.2"
"63"	"ostta15g02207"	"AT1G69800.2"
"64"	"ostta15g02580"	"AT2G32450.1"
"65"	"ostta15g02720"	"AT4G00234.1"
