logFC	AveExpr	t	P.Value	adj.P.Val	B
18:336123-336132	-1.2739684413731	2.6261103050972	-2.69655487703802	0.0184863892917972	0.60573769635413	-4.01069809612566
4:110013-110145	-1.13391448177673	3.64181494153305	-2.51349988145901	0.0261229956635544	0.60573769635413	-4.08017686272822
9:410579-410617	-0.976163568912762	2.65354827342054	-3.72468897279905	0.00260078568742409	0.60573769635413	-3.65509060146389
4:403439-403554	-0.798988782622894	3.43458548421606	-3.46338451293678	0.0042730691124412	0.60573769635413	-3.73865068162644
4:330173-330188	0.769762979252074	2.30854189817172	0.810015633945428	0.432694663428184	0.888960242373856	-4.6662555799718
5:254347-254584	0.748296081249408	4.13142379031449	4.38878103250027	0.000754808779289736	0.60573769635413	-3.46596959987758
5:686321-686702	-0.731536639922642	4.83119991358056	-2.4728006362725	0.0281965108744601	0.60573769635413	-4.09576725513257
16:423801-424103	-0.696679922818657	4.46587822731353	-2.26926500504998	0.0411675564740569	0.616420047581515	-4.1741964989804
16:144935-144996	-0.692219075231656	3.14389930709352	-1.81580158972685	0.0928255226114973	0.690512602489654	-4.34781910295908
11:367968-368022	0.684222244014629	3.24198370444354	1.91628629552392	0.0778691343564454	0.690512602489654	-4.30989651065297
6:756255-756444	-0.649498653399091	3.83173314205682	-1.77599410084807	0.0994331637757641	0.697837038388779	-4.36268918950917
5:211846-212056	-0.637127616356444	3.96875596521212	-1.92082836700144	0.0772479174402911	0.690512602489654	-4.30817102754084
7:300852-301425	0.594617461117048	5.54118896848533	1.83155924270992	0.0903207058462923	0.690512602489654	-4.34190691060696
14:516869-517211	-0.584573494338248	4.54146586957795	-2.87654236039476	0.0131237693219053	0.60573769635413	-3.94374055962721
3:592865-593269	-0.577286493025098	4.81273081056946	-2.41601033377349	0.0313564037236077	0.60954827710245	-4.1175861237143
20:88989-89490	-0.574886601015872	4.95058837353745	-3.4602564644449	0.00429863654537323	0.60573769635413	-3.73968164742044
16:195393-195729	0.566329576388648	5.79968573047912	2.73182961935752	0.017288737868947	0.60573769635413	-3.99745656302923
13:421521-421889	-0.554086148782486	4.80708542734678	-2.67449501014053	0.0192762164890686	0.60573769635413	-4.01900564963281
