chr	start	end	peak.annotation.26.20.k4	activated.genes.26.20.k4
18	278227	278374	intergenic	
20	24217	24548	intergenic	
6	378296	378625	internal.gene.body	ostta06g02290
14	54123	54391	TSS	ostta14g00240
2	222767	223142	internal.gene.body	ostta02g00800
10	44728	45029	internal.gene.body	ostta10g00190
2	54842	55218	internal.gene.body	ostta02g00190
2	554796	554990	intergenic	
9	623506	623697	internal.gene.body	ostta09g03950
2	897819	898006	intergenic	
8	231615	231866	internal.gene.body	ostta08g01330
20	20408	20649	intergenic	
3	387331	387655	TSS	ostta03g02370
14	183052	183331	TSS	ostta14g01070
7	599860	600232	intergenic	
11	400890	401048	intergenic	
15	349711	349926	internal.gene.body	ostta15g02020
3	234124	234508	intergenic	
8	542868	543040	TSS	ostta08g03190
2	379534	379690	intergenic	
14	500734	500918	internal.gene.body	ostta14g02810
7	180776	181061	internal.gene.body	ostta07g01260
9	503361	503681	TSS	ostta09g03280
10	437718	438110	intergenic	
3	522681	522961	TSS	ostta03g03160
10	207973	208170	intergenic	
2	533764	534385	intergenic	
8	336537	337022	gene.body	ostta08g01910
2	590871	591172	intergenic	
16	206113	206575	TSS	ostta16g01290
2	458334	458589	TSS	ostta02g02240
1	305709	306052	TSS	ostta01g01950
3	712102	712252	internal.gene.body	ostta03g04310
17	382335	382646	TSS	ostta17g02220
1	144357	144577	internal.gene.body	ostta01g00940
17	2756	2978	internal.gene.body	ostta17g00020
19	99924	100159	TSS	ostta19g00410
13	150015	150530	TSS	ostta13g00885
9	423842	424082	internal.gene.body	ostta09g02760
14	129589	129986	internal.gene.body	ostta14g00750
10	157059	157357	TSS	ostta10g00940
18	199732	199916	intergenic	
14	397358	397505	intergenic	
8	425678	425960	TSS	ostta08g02470
9	498426	498659	internal.gene.body	ostta09g03235
3	111864	112142	TSS	ostta03g00660
18	277674	277867	intergenic	
5	69802	70111	TSS	ostta05g00460
16	440529	440756	internal.gene.body	ostta16g02280
6	50757	50971	TSS	ostta06g00310
2	377103	377310	TSS	ostta02g01730
15	506000	506186	TSS	ostta15g02910
14	448489	448727	internal.gene.body	ostta14g02520
15	225149	225297	internal.gene.body	ostta15g01280
9	620183	620438	TSS	ostta09g03920
2	474395	474657	intergenic	
6	181692	181951	TSS	ostta06g01090
17	145032	145264	internal.gene.body	ostta17g00850
9	147692	148256	TSS	ostta09g01010
12	93489	93666	internal.gene.body	ostta12g00600
5	590963	591244	internal.gene.body	ostta05g03570
3	811102	811287	intergenic	
11	13271	13431	TSS	ostta11g00080
6	311838	312207	TSS	ostta06g01870
6	551818	552074	internal.gene.body	ostta06g03270
17	150323	150580	TSS	ostta17g00880
1	687583	687802	internal.gene.body	ostta01g04240
13	116499	116797	internal.gene.body	ostta13g00680
13	115467	115754	TSS	ostta13g00670
3	771571	771756	internal.gene.body	ostta03g04680
