logFC	AveExpr	t	P.Value	adj.P.Val	B
16:413517-416214	2.67637425762491	9.21831660825948	19.3963851526649	6.88739368243941e-11	3.98402944965405e-08	15.4850487184222
16:417731-419294	2.3412468712917	8.56090840542345	11.8366133229172	2.81912037604778e-08	5.04574765611264e-07	9.47780973765078
2:237579-240391	2.15855914485498	8.28737479391971	12.5767176982816	1.37128057325153e-08	3.30947983876667e-07	10.2146379518389
10:461452-462575	2.09095431089319	7.40633744682534	14.8335441268885	1.87366445769757e-09	1.86836355337007e-07	12.2299261124605
2:115109-115820	2.05992225233388	5.69618203163203	10.1312434159819	1.73278798512185e-07	1.37580760322457e-06	7.60864026914168
17:52909-54964	2.01169128915307	7.92586883965618	10.5417754312833	1.09528041600746e-07	1.01457554324902e-06	8.08227678837058
2:996721-998069	1.976483884154	8.28318444999899	15.8042211371333	8.6401683279771e-10	1.78230630576749e-07	13.0041165202643
15:374168-375246	1.97379955681222	6.66831073422968	8.38603320641859	1.45500262931974e-06	7.42262210899344e-06	5.40257359597071
6:720821-722488	1.91562394325145	7.83235679403648	11.4195164867536	4.30402776790101e-08	6.47737927862693e-07	9.04374998256107
2:360938-361271	1.90536398261545	4.53634434133209	8.65761672449056	1.02363334868957e-06	5.65945977076536e-06	5.7679301172939
7:702481-706641	1.82797264982589	9.13794231201556	15.4393966708017	1.14980006842083e-09	1.78230630576749e-07	12.7190234902914
18:161090-162572	1.66654888059771	7.56949391934805	10.5915026987197	1.03709773445084e-07	9.86644331153227e-07	8.13857697041874
7:618090-619769	1.65639240089198	7.23542829703764	9.94116134830646	2.1536344182674e-07	1.63614240697149e-06	7.38385581038228
2:1048018-1049248	1.62142381740129	6.9127481702144	12.7148812514894	1.20351778868756e-08	3.30947983876667e-07	10.3476963531249
9:238154-240016	1.62078198613292	7.36852413446747	12.8667692669596	1.04414149539545e-08	3.15032405467885e-07	10.4924050139497
7:575377-576887	1.55690897711223	7.16622768985324	12.3573894916747	1.69123025598684e-08	3.72070656317106e-07	10.0005693793894
5:823802-825576	1.55080957487245	8.5615855474397	8.14769574649223	1.99448135713265e-06	9.87350227847769e-06	5.07472805650234
14:518521-519069	1.54907431891957	5.6396222655966	8.57504372699584	1.13816840737249e-06	6.1953909184812e-06	5.65775822157961
8:18037-20642	1.52040037590181	9.0554756278104	14.5360705909867	2.39708138204388e-09	1.86836355337007e-07	11.982302751083
16:195393-195729	1.50738363778372	5.79968573047912	8.90540741174613	7.47863417547912e-07	4.31553972093221e-06	6.09384922270887
20:85627-87124	1.49179855373679	7.62014087046251	12.6366841880112	1.29557592693872e-08	3.30947983876667e-07	10.2725569588028
7:658001-661407	1.48741938466598	8.43052617292633	19.254567435933	7.54551032131449e-11	3.98402944965405e-08	15.3970441782895
14:62704-64145	1.48222982456235	7.24501282593604	9.38182436040502	4.16365387117872e-07	2.8366570890095e-06	6.70130268685736
16:20744-21051	1.4783097831698	4.66885592455752	7.50674979879991	4.81352556152756e-06	2.09180370081198e-05	4.15824889495701
2:171230-177767	1.4595620854646	10.1416268608683	11.6803703755895	3.29840182733679e-08	5.61792311236717e-07	9.31685757272135
8:697350-698928	1.45617218573135	8.43098056461132	12.1303805850917	2.1083246964801e-08	4.27117385059455e-07	9.77524379739896
1:835316-836122	1.43851879093289	6.15046768301855	14.2087321882614	3.16009070326496e-09	1.86836355337007e-07	11.703874349292
