chr	start	end	peak.annotation.26.10	activated.genes.26.10
15	303698	304094	TES	ostta15g01720
16	413744	416157	TSS	ostta16g02160
2	237656	239069	TES	ostta02g00900
9	404740	404800	intergenic	
2	115279	115559	internal.gene.body	ostta02g00460
16	417751	419242	TSS	ostta16g02180
10	461515	462417	TES	ostta10g02790
17	52980	54629	TSS	ostta17g00300
15	374201	375068	TSS	ostta15g02207
2	996771	997986	TES	ostta02g05090
2	15089	15238	internal.gene.body	ostta02g00050
6	721042	721870	internal.gene.body	ostta06g04260
7	702735	706582	gene.body	ostta07g04340
2	239374	240125	intergenic	
2	1071534	1073212	TES	ostta02g05540
9	238601	239951	TSS	ostta09g01615
7	299088	300219	TES	ostta07g01920
2	1048237	1049065	internal.gene.body	ostta02g05420
7	618038	619163	TES	ostta07g03790
18	161183	162407	gene.body	ostta18g00870
7	575434	576639	internal.gene.body	ostta07g03560
2	913796	913819	intergenic	
14	518524	518894	TES	ostta14g02910
15	304908	305593	internal.gene.body	ostta15g01730
7	658220	661142	TES	ostta07g04030
8	18261	20602	gene.body	ostta08g00090
8	380488	382194	internal.gene.body	ostta08g02180
7	133440	133938	TSS	ostta07g00900
2	171882	177487	TSS	ostta02g00710,ostta02g00720
20	85706	87048	internal.gene.body	ostta20g00500
14	62833	64057	TES	ostta14g00300
5	823853	825174	internal.gene.body	ostta05g04970
1	442000	442679	gene.body	ostta01g02810
16	195437	195679	intergenic	
8	697370	698886	gene.body	ostta08g04190
10	12	5464	TES	ostta10g00010
2	715403	715584	internal.gene.body	ostta02g03630
1	835443	835930	internal.gene.body	ostta01g05160
10	538883	540812	gene.body	ostta10g03280
2	14349	15067	TSS	ostta02g00050
4	112126	113545	gene.body	ostta04g00690
2	657200	658267	internal.gene.body	ostta02g03370
17	78592	80179	gene.body	ostta17g00460
2	804052	807491	gene.body	ostta02g04110
7	721048	723519	TES	ostta07g04430
8	329684	330965	TES	ostta08g01880
1	1040736	1041851	internal.gene.body	ostta01g06360
2	875471	876858	gene.body	ostta02g04410,ostta02g04420
4	724003	726135	TES	ostta04g04250
10	170391	172410	gene.body	ostta10g01040
17	318242	318445	TES	ostta17g01910
5	670014	672078	TES	ostta05g04080
16	225593	227100	TES	ostta16g01360
12	505119	506696	TES	ostta12g03010
11	26514	28421	TES	ostta11g00160
6	184470	186545	gene.body	ostta06g01110
3	438675	440593	TSS	ostta03g02750
13	120002	121093	gene.body	ostta13g00710
2	592314	592510	internal.gene.body	ostta02g02970
2	762067	766451	internal.gene.body	ostta02g03910
16	67876	69563	TES	ostta16g00460
1	633236	634599	TSS	ostta01g03980
4	302705	304627	internal.gene.body	ostta04g01770
13	210633	212044	internal.gene.body	ostta13g01240
9	708234	710194	TES	ostta09g04510
6	665035	666536	internal.gene.body	ostta06g03890
10	18652	22647	TES	ostta10g00080
4	612231	615507	internal.gene.body	ostta04g03490
1	645574	646363	internal.gene.body	ostta01g04080
2	166747	167954	internal.gene.body	ostta02g00710,ostta02g00720
20	2195	4110	TES	ostta20g00020
15	471268	472173	gene.body	ostta15g02720
2	998587	998866	internal.gene.body	ostta02g05100
18	219186	221025	internal.gene.body	ostta18g01200
9	152184	154691	gene.body	ostta09g01060
15	186080	188137	internal.gene.body	ostta15g01070
2	521522	521946	intergenic	
1	656129	658538	internal.gene.body	ostta01g04120
16	161919	164065	gene.body	ostta16g01050
9	273636	276356	TES	ostta09g01830
18	196767	197859	TES	ostta18g01070
2	800532	802896	TES	ostta02g04090
11	467905	469787	TSS	ostta11g02575
16	286137	289354	gene.body	ostta16g01635
2	708795	711040	internal.gene.body	ostta02g03610
2	1058400	1059274	internal.gene.body	ostta02g05490
6	472404	475660	internal.gene.body	ostta06g02800
16	235389	239352	TES	ostta16g01410
2	158366	165856	TSS	ostta02g00700
8	268043	269579	internal.gene.body	ostta08g01520
16	75472	77098	gene.body	ostta16g00510
18	181323	182119	gene.body	ostta18g00970
2	319962	320228	intergenic	
17	64633	66344	TES	ostta17g00370
14	131257	132701	internal.gene.body	ostta14g00770
17	316700	317946	internal.gene.body	ostta17g01910
16	293163	294072	TSS	ostta16g01680
14	349377	351042	TSS	ostta14g01910
2	187763	189091	internal.gene.body	ostta02g00800
2	982991	986269	gene.body	ostta02g05030
18	189471	192280	gene.body	ostta18g01040
2	262724	263403	internal.gene.body	ostta02g01020
14	381049	382442	TES	ostta14g02110
9	472	4188	TES	ostta09g00010
9	557529	559288	internal.gene.body	ostta09g03600
17	356008	357743	TES	ostta17g02090
10	40677	42642	TES	ostta10g00170
10	234155	236074	TSS	ostta10g01450
18	343250	345706	TES	ostta18g01980
9	518103	521275	gene.body	ostta09g03390,ostta09g03400
1	314184	316375	TES	ostta01g02010
3	359659	360896	gene.body	ostta03g02220
4	898638	901207	TES	ostta04g05370
3	314451	314460	internal.gene.body	ostta03g01910
2	307309	307493	internal.gene.body	ostta02g01247
6	203583	206332	TSS	ostta06g01270
1	431108	434411	TES	ostta01g02760
