type	description	begin	end	length	accession	biological description
DOMAIN	PF12265.11	19	89	70	AT5G58230	Histone-binding protein RBBP4 or subunit C of CAF1 complex
DOMAIN	PF00400.35	217	256	39	AT5G58230	WD domain, G-beta repeat
DOMAIN	PF00400.35	263	302	39	AT5G58230	WD domain, G-beta repeat
DOMAIN	PF00400.35	364	403	39	AT5G58230	WD domain, G-beta repeat
DOMAIN	PF12265.11	30	100	70	ostta12g00120	Histone-binding protein RBBP4 or subunit C of CAF1 complex
DOMAIN	PF00400.35	179	218	39	ostta12g00120	WD domain, G-beta repeat
DOMAIN	PF00400.35	228	267	39	ostta12g00120	WD domain, G-beta repeat
DOMAIN	PF00400.35	276	313	37	ostta12g00120	WD domain, G-beta repeat
DOMAIN	PF00400.35	318	357	39	ostta12g00120	WD domain, G-beta repeat
DOMAIN	PF00400.35	375	414	39	ostta12g00120	WD domain, G-beta repeat
DOMAIN	PF12894.10	265	339	74	ostta12g00120	Anaphase-promoting complex subunit 4 WD40 domain
