logFC	AveExpr	t	P.Value	adj.P.Val	B
16:413517-416214	2.11404308610964	9.21831660825948	15.3210238854635	1.26316368371127e-09	1.3339008499991e-06	12.5270275352014
10:461452-462575	1.98666080217619	7.40633744682534	14.0936703019837	3.48715534054805e-09	1.84121801980937e-06	11.5707961294845
8:101892-104963	-1.8747163153265	9.8573303916832	-7.20504632842859	7.41527427519788e-06	0.00022494689493176	3.95720342241473
15:66767-67143	1.76917628496012	5.28069479812384	6.59593124587998	1.83889729262366e-05	0.000340679919475542	3.02957504625466
16:417731-419294	1.61365964906894	8.56090840542345	8.1581594555577	1.96678932136122e-06	9.47653750454538e-05	5.30807105513012
2:996721-998069	1.46783946800924	8.28318444999899	11.7370345046652	3.11519365714779e-08	8.22411125487018e-06	9.45463459864441
8:615756-616149	1.40075769110836	5.11095970359602	7.21222713495316	7.33841984196697e-06	0.00022494689493176	3.96783284553893
8:508615-512703	-1.34210923627511	9.32542820923892	-6.20855789887063	3.36229192941061e-05	0.000529937354844419	2.41246165797343
16:225146-227374	1.21322580060167	8.59696462085971	11.9274009416931	2.57536492233996e-08	8.22411125487018e-06	9.64107539185849
9:238154-240016	1.21281392826512	7.36852413446747	9.62806664453053	3.10345588413668e-07	4.09656176706042e-05	7.17228942750766
16:195393-195729	1.15701087316016	5.79968573047912	6.83545512041022	1.27914726788038e-05	0.000293647720626453	3.40052311452333
4:171069-171914	1.13699956453757	6.21015259895036	6.72759928364782	1.50484297581895e-05	0.00030488527040799	3.23448695098227
17:52909-54964	1.12930274750482	7.92586883965618	5.91783442236757	5.3607633429344e-05	0.000698884702486263	1.93528103891893
7:271662-272132	1.1231087150459	5.32896442824161	3.10579909475781	0.00846601623711539	0.0282914972987147	-3.18558862874259
2:249459-249731	1.10596507394536	4.57390024160921	5.38425602562143	0.000130130833603674	0.00128273434923933	1.02845838509906
1:251517-253313	1.07230645018649	8.26197945141667	9.69108145491383	2.88131134935461e-07	4.09656176706042e-05	7.24678321094171
16:482132-484446	-1.0498374438222	11.1699798123301	-5.76732709359023	6.85674477373137e-05	0.000841944474541898	1.68352861614413
2:22192-22449	-1.03315085384582	6.91553592428995	-3.19731583099866	0.00710555228619954	0.0249284492167	-3.01274638276548
16:19257-20279	1.03281537440872	6.84446611533111	6.54640969919541	1.98411230138774e-05	0.000361245274183699	2.95187196172014
7:702481-706641	1.03210294398544	9.13794231201556	8.7173332482908	9.48487685500793e-07	7.15430711349169e-05	6.04691941691934
19:0-42832	-1.01394058922151	16.5534969595406	-5.73034753288772	7.28771915161009e-05	0.000864700160011264	1.62118375073414
6:611557-611758	1.0093800235723	4.84305168556545	8.22004413274446	1.81116187754614e-06	9.47653750454538e-05	5.39172819192173
19:131826-185428	-0.986264342343262	16.6342561710354	-5.9687496691432	4.93602466066048e-05	0.000659802790083223	2.0197199052717
5:668850-672117	0.963079043522598	9.50051398990055	7.80954003614331	3.15533495813135e-06	0.000133281348631468	4.82774184307574
19:46500-48926	-0.957877509272526	11.2137434034399	-6.88865756228788	1.18129012493675e-05	0.000292229936697834	3.48182447733685
8:303801-304176	-0.951084636907925	8.11677499874589	-7.99587374139644	2.44653605749669e-06	0.000112327916378979	5.08640137743479
2:6983-10370	-0.946905185947129	11.9660212516655	-5.49913869887285	0.00010715101945049	0.0011429442074719	1.22704545131238
10:149326-152579	-0.940337980633489	8.74037971078383	-7.10338864775257	8.59984082963128e-06	0.000245444105840287	3.8059667123654
2:400038-401182	0.932205247720787	6.66222336873838	6.17294104240497	3.55779742448355e-05	0.000552505011802151	2.35464895611177
15:374168-375246	0.93108377488496	6.66831073422968	3.95587253386221	0.00168280536947532	0.00789796653407082	-1.57351895316117
10:538826-540897	0.923026342087955	8.60932995589412	8.30106082115211	1.62695293190937e-06	9.47653750454538e-05	5.50052784939605
14:62704-64145	0.912625203405112	7.24501282593604	5.77649243278029	6.75412928426525e-05	0.000839101238139306	1.69895093477035
2:19301-19581	-0.912473273674787	7.64325554595894	-9.88238112043362	2.30494318759062e-07	4.0567000101595e-05	7.47037672483216
2:115109-115820	0.909598808239524	5.69618203163203	4.4736479382757	0.000646572653160347	0.00387943591896208	-0.605502060746454
19:106273-107091	-0.905810052437552	8.46074421387828	-8.15531414438075	1.97427864678029e-06	9.47653750454538e-05	5.30421317676446
2:71537-77707	-0.88936395994107	12.4874828962898	-5.48997099497647	0.00010881804233835	0.00114911852709298	1.21126450328769
6:664592-666846	0.879978003345922	8.03497767210192	7.13286075574422	8.23703928813645e-06	0.000241619819118669	3.84995845417783
5:672900-673577	0.879006681425156	6.05551060734181	6.52273835088461	2.05776318082173e-05	0.000362166319824624	2.91460710427994
2:556153-556550	-0.875793012715	8.26971071664081	-4.91692820032849	0.000292256079053623	0.0021733973202861	0.202545167992795
2:237579-240391	0.872582418115877	8.28737479391971	5.08405005592959	0.000218084558524324	0.00181274530676488	0.50114891584806
19:84372-85045	-0.872489282245706	8.6277617291485	-7.75776463516111	3.38896015211332e-06	0.000137643920024295	4.7550732888561
7:658001-661407	0.87117777388878	8.43052617292633	11.2773514779722	4.98645757718222e-08	1.05313984030089e-05	8.9919328539239
15:298677-306370	0.85330446800992	10.9773757877935	4.81072679748252	0.000352689575277902	0.0025336067448535	0.0110012668678214
17:64548-66705	0.842108905020784	7.78536459986493	8.91699148796435	7.37086032543097e-07	6.48635708637925e-05	6.30166972821486
6:720821-722488	0.837468672811584	7.83235679403648	4.99236154883256	0.000255962488571637	0.00198747344067389	0.337759173974359
10:97527-97872	-0.834949752854773	6.69444166941232	-6.83920757003938	1.27197147791402e-05	0.000293647720626453	3.40627038945497
19:96763-98581	-0.834699173313377	9.26907747228934	-7.3429886233596	6.07725368618576e-06	0.000207018706213296	4.16016561675434
7:720947-723979	0.832341944620968	8.59036966125005	8.77358348331068	8.83065022737808e-07	7.15430711349169e-05	6.11916254256384
2:112719-113262	-0.826647336541779	7.90495558169746	-7.05530366658191	9.22861107851267e-06	0.000249882392279728	3.73393565813288
14:395149-395554	0.822015421936968	5.66021109337827	8.57728441036857	1.13488628998931e-06	7.98959948152471e-05	5.86542448958797
7:575377-576887	0.815828507524508	7.16622768985324	6.47533720602684	2.21407354939565e-05	0.000383288798059313	2.83974646689693
13:119831-121134	0.811855384869974	8.63542255534108	6.08688697684113	4.08132672800575e-05	0.000582416354699199	2.21422108602382
11:26294-28887	0.811716540248735	7.77002167703061	9.35458786055702	4.30277679626445e-07	4.13066572441387e-05	6.84406080920385
2:714953-716235	0.806291257424391	6.51425248259871	4.50940016564008	0.000605912630351219	0.00374177624357244	-0.539533843632722
8:58157-65315	-0.804843199894709	13.2351609292259	-3.54867352931334	0.00363224391690745	0.0148094578233755	-2.34579268244486
18:161090-162572	0.804137001596685	7.56949391934805	5.11057270609253	0.000208256098931728	0.00177353581025729	0.548212410198
7:747449-749011	0.801630196332343	7.15315984351928	9.42445807191382	3.95543706879921e-07	4.13066572441387e-05	6.9286893293809
3:889787-890663	0.799253376958196	6.05274146228779	5.85612307963627	5.92772647413961e-05	0.000745199899606123	1.83244462903258
8:18037-20642	0.798739373775216	9.0554756278104	7.63649634992383	4.01119658515708e-06	0.000151279414068781	4.58349803000596
