"V1" "V2" "V3"
"178" "ostta01g01610" "AT1G49350.1" 1.34e-19
"222" "ostta01g02020" "AT5G10190.1" 8.74e-05
"301" "ostta01g02760" "AT5G54670.2" 0.000747
"305" "ostta01g02810" "AT2G05940.1" 2.9
"445" "ostta01g03980" "AT1G15215.1" 0.31
"459" "ostta01g04080" "AT1G57600.4" 0.31
"464" "ostta01g04120" "AT1G67120.2" 0
"465" "ostta01g04120" "AT1G67120.2" 0
"466" "ostta01g04120" "AT1G67120.2" 1.24e-144
"467" "ostta01g04120" "AT1G67120.2" 2.2e-93
"468" "ostta01g04120" "AT1G67120.2" 2.54e-49
"469" "ostta01g04120" "AT1G67120.2" 5.26e-34
"470" "ostta01g04120" "AT1G67120.2" 6.6e-34
"471" "ostta01g04120" "AT1G67120.2" 1.81e-30
"472" "ostta01g04120" "AT1G67120.2" 3.25e-24
"473" "ostta01g04120" "AT1G67120.2" 2.22e-16
"474" "ostta01g04120" "AT1G67120.2" 9.76e-16
"475" "ostta01g04120" "AT1G67120.2" 1.1e-10
"476" "ostta01g04120" "AT1G67120.2" 3.79e-06
"477" "ostta01g04120" "AT1G67120.2" 1.23e-05
"478" "ostta01g04120" "AT1G67120.2" 0.007
"479" "ostta01g04120" "AT1G67120.2" 0.009
"480" "ostta01g04120" "AT1G67120.2" 0.061
"481" "ostta01g04120" "AT1G67120.2" 0.53
"482" "ostta01g04120" "AT1G67120.2" 1.5
"602" "ostta01g05160" "AT4G37940.3" 5.26e-20
"736" "ostta01g06370" "AT4G29520.1" 9.49e-43
"777" "ostta10g00010" "AT3G11964.2" 0
"778" "ostta10g00010" "AT3G11964.2" 6.74e-75
"784" "ostta10g00080" "AT1G70070.1" 0
"793" "ostta10g00170" "AT3G20810.1" 2.39e-05
"885" "ostta10g01040" "AT5G07010.1" 0.29
"928" "ostta10g01450" "AT2G20030.1" 3.1e-11
"938" "ostta10g01540" "AT5G63570.2" 1.9
"995" "ostta10g02060" "AT5G49150.3" 2.51e-05
"996" "ostta10g02060" "AT5G49150.3" 0.000631
"997" "ostta10g02060" "AT5G49150.3" 0.002
"998" "ostta10g02060" "AT5G49150.3" 1.1
"1069" "ostta10g02780" "AT1G11860.2" 4.78e-154
"1128" "ostta10g03280" "AT3G51110.1" 7
"1176" "ostta11g00160" "AT3G16810.1" 1.19e-97
"1266" "ostta11g00890" "AT5G49470.1" 2.68e-76
"1381" "ostta11g01830" "AT2G47490.1" 1.45e-75
"1443" "ostta11g02420" "AT2G20330.1" 0.008
"1444" "ostta11g02420" "AT2G20330.1" 0.044
"1461" "ostta11g02575" "AT4G12750.1" 3.1
"1541" "ostta12g00010" "AT1G67620.1" 3.47e-10
"1871" "ostta12g03010" "AT5G10070.2" 2.81e-78
"1907" "ostta13g00120" "AT3G23890.1" 0
"1968" "ostta13g00710" "AT4G27890.1" 4.74e-08
"2025" "ostta13g01240" "AT3G16840.1" 2.46e-118
"2284" "ostta14g00310" "AT5G58120.1" 9.1
"2285" "ostta14g00310" "AT4G20970.1" 4.8
"2336" "ostta14g00770" "AT5G35210.1" 5.2
"2476" "ostta14g01810" "AT5G05450.1" 6.27e-171
"2486" "ostta14g01910" "AT1G50630.1" 5.1
"2507" "ostta14g02120" "AT5G66550.2" 3.12e-10
"2596" "ostta14g02910" "AT5G16800.1" 0.19
"2609" "ostta14g03020" "AT4G10550.4" 0.93
"2746" "ostta15g01070" "AT3G55220.1" 6.2
"2821" "ostta15g01710" "AT5G45380.1" 0
"2822" "ostta15g01720" "AT1G21840.2" 1.3e-21
"2875" "ostta15g02207" "AT1G69800.2" 0.14
"2923" "ostta15g02580" "AT2G32450.1" 0.000256
"2935" "ostta15g02720" "AT4G00234.1" 7.5
"2979" "ostta16g00150" "AT1G19250.1" 6.1
"3014" "ostta16g00470" "AT3G55040.1" 1.48e-11
"3018" "ostta16g00510" "AT5G24750.1" 1.2
"3078" "ostta16g01050" "AT5G40440.5" 5.44e-25
"3090" "ostta16g01140" "AT2G18900.1" 0.33
"3119" "ostta16g01360" "AT3G10730.1" 3.9
"3124" "ostta16g01410" "AT3G09630.2" 1.1e-163
"3153" "ostta16g01635" "AT4G17860.1" 2.6
"3158" "ostta16g01680" "AT3G54010.1" 5.52e-06
"3218" "ostta16g02160" "AT2G10450.1" 3
"3220" "ostta16g02180" "AT4G21090.3" 5.4e-45
"3221" "ostta16g02190" "AT2G48020.4" 1.4
"3336" "ostta17g00300" "AT3G45770.1" 4.35e-41
"3343" "ostta17g00370" "AT1G66440.1" 0.51
"3344" "ostta17g00370" "AT1G66440.1" 2.2
"3345" "ostta17g00370" "AT1G66440.1" 4
"3346" "ostta17g00370" "AT1G66440.1" 5.3
"3358" "ostta17g00460" "AT2G03430.1" 3.65e-06
"3359" "ostta17g00460" "AT2G03430.1" 0.000143
"3360" "ostta17g00460" "AT2G03430.1" 0.024
"3402" "ostta17g00800" "AT1G53540.1" 2.7e-17
"3531" "ostta17g01920" "AT3G54110.1" 4.64e-05
"3553" "ostta17g02100" "AT1G56590.1" 0.81
"3607" "ostta18g00180" "AT3G05210.1" 6.63e-17
"3696" "ostta18g00870" "AT1G02640.1" 0.18
"3707" "ostta18g00970" "AT5G20320.3" 0.27
"3713" "ostta18g01040" "AT3G16060.1" 1.18e-158
"3728" "ostta18g01200" "AT1G18160.1" 1.21e-44
"3819" "ostta18g01980" "AT5G51870.5" 0.21
"3911" "ostta02g00050" "AT1G64790.3" 0.27
"3955" "ostta02g00460" "AT5G01920.2" 3.8e-44
"3981" "ostta02g00700" "AT1G28170.1" 0.48
"3982" "ostta02g00710" "AT5G46290.3" 4.41e-10
"3983" "ostta02g00710" "AT5G46290.3" 5.43e-10
"3984" "ostta02g00710" "AT5G46290.3" 5.67e-06
"3987" "ostta02g00740" "AT5G06240.1" 0.000206
"3992" "ostta02g00790" "AT1G05520.1" 0.67
"4005" "ostta02g00900" "AT3G25660.1" 1.58e-127
"4017" "ostta02g01020" "AT5G42020.1" 0
"4041" "ostta02g01247" "AT1G61470.1" 3.1
"4048" "ostta02g01320" "AT5G49910.1" 5.2e-109
"4092" "ostta02g01880" "AT5G60070.1" 0.16
"4198" "ostta02g02970" "AT2G22300.2" 0.72
"4203" "ostta02g03020" "AT3G59500.2" 6.89e-52
"4228" "ostta02g03260" "AT3G11510.1" 1.01e-76
"4240" "ostta02g03370" "AT3G08730.2" 4.55e-56
"4266" "ostta02g03610" "AT3G57060.3" 0
"4268" "ostta02g03630" "AT1G72320.3" 1.75e-62
