chr	start	end	peak.annotation	target.genes
1	0	1529	TES	ostta01g00010
1	2910	6526	gene.body	ostta01g00030
1	17915	18081	internal.gene.body	ostta01g00100
1	25485	25705	internal.gene.body	ostta01g00150
1	38421	41511	gene.body	ostta01g00260
1	92611	93775	internal.gene.body	ostta01g00620
1	95273	96499	internal.gene.body	ostta01g00630
1	119255	119640	internal.gene.body	ostta01g00800
1	125389	126114	internal.gene.body	ostta01g00820
1	142576	142851	internal.gene.body	ostta01g00940
1	180226	180886	intergenic	
1	181203	182023	intergenic	
1	187891	191149	internal.gene.body	ostta01g01270
1	198536	199789	TES	ostta01g01310
1	201999	213750	gene.body	ostta01g01340,ostta01g01350,ostta01g01370
1	214320	214801	internal.gene.body	ostta01g01380
1	237304	237730	internal.gene.body	ostta01g01530
1	238622	240712	internal.gene.body	ostta01g01530
1	249273	249458	TES	ostta01g01600
1	251517	253313	TSS	ostta01g01610
1	281965	282302	internal.gene.body	ostta01g01810
1	286248	286290	internal.gene.body	ostta01g01830
1	313796	316438	TES	ostta01g02010
1	351372	351553	internal.gene.body	ostta01g02300
1	375738	376162	internal.gene.body	ostta01g02440
1	430327	434540	TES	ostta01g02760
1	441873	442949	gene.body	ostta01g02810
1	505886	506095	internal.gene.body	ostta01g03200
1	531359	531705	TES	ostta01g03310
1	552030	553723	internal.gene.body	ostta01g03470
1	590073	590345	internal.gene.body	ostta01g03720
1	622098	626313	gene.body	ostta01g03930,ostta01g03940
1	632535	634728	gene.body	ostta01g03980
1	645523	646447	internal.gene.body	ostta01g04080
1	648533	651858	TES	ostta01g04100
1	655738	659031	internal.gene.body	ostta01g04120
1	663202	664374	internal.gene.body	ostta01g04120
1	664718	665309	internal.gene.body	ostta01g04120
1	665787	666999	internal.gene.body	ostta01g04120
1	667413	667613	internal.gene.body	ostta01g04120
1	670831	671047	internal.gene.body	ostta01g04120
1	688550	692327	gene.body	ostta01g04260
1	702906	703464	TSS	ostta01g04320
1	746000	746217	internal.gene.body	ostta01g04600
1	747605	747992	internal.gene.body	ostta01g04600
1	750352	751265	internal.gene.body	ostta01g04610
1	751984	753430	TES	ostta01g04610
1	755226	759794	gene.body	ostta01g04640,ostta01g04650
1	760620	763071	internal.gene.body	ostta01g04660
1	773737	774307	TSS	ostta01g04750
1	791666	794521	gene.body	ostta01g04910
1	835316	836122	TSS	ostta01g05160
1	843486	843947	internal.gene.body	ostta01g05210
1	849994	850155	internal.gene.body	ostta01g05240
1	852226	852472	internal.gene.body	ostta01g05240
1	892301	893060	internal.gene.body	ostta01g05500
1	914341	915916	internal.gene.body	ostta01g05620
1	919262	919848	internal.gene.body	ostta01g05630
1	926889	927320	internal.gene.body	ostta01g05680
1	974444	974949	internal.gene.body	ostta01g05990
1	976754	977897	TES	ostta01g06000
1	980681	986077	gene.body	ostta01g06030,ostta01g06040
1	1001333	1001499	internal.gene.body	ostta01g06120
1	1001880	1004955	gene.body	ostta01g06130
1	1012406	1013010	TSS	ostta01g06180
1	1030651	1031468	internal.gene.body	ostta01g06320
1	1033595	1034109	internal.gene.body	ostta01g06320
1	1040176	1042064	gene.body	ostta01g06360
1	1066246	1066683	internal.gene.body	ostta01g06520
1	1086403	1086701	internal.gene.body	ostta01g06640
1	1092931	1096037	TES	ostta01g06680
10	0	5626	TES	ostta10g00010
10	7533	7751	internal.gene.body	ostta10g00020
10	7853	8057	internal.gene.body	ostta10g00020
10	18255	22832	TES	ostta10g00080
10	24670	25814	TES	ostta10g00100
10	28036	30732	TSS	ostta10g00130
10	32271	32506	internal.gene.body	ostta10g00130
10	37343	38572	TES	ostta10g00150
10	40280	43106	gene.body	ostta10g00170
10	53727	53960	internal.gene.body	ostta10g00260
10	87992	88712	internal.gene.body	ostta10g00450
10	97527	97872	internal.gene.body	ostta10g00540
10	146214	146603	internal.gene.body	ostta10g00870
10	147236	147796	internal.gene.body	ostta10g00880
10	149326	152579	gene.body	ostta10g00910
10	167058	168552	TES	ostta10g01020
10	170337	172670	gene.body	ostta10g01040,ostta10g01050
10	175298	176479	internal.gene.body	ostta10g01070
10	185577	186111	internal.gene.body	ostta10g01120
10	216855	217620	TES	ostta10g01340
10	234040	236152	gene.body	ostta10g01450
10	246782	248952	gene.body	ostta10g01540
10	284878	285594	TES	ostta10g01750
10	285739	287681	internal.gene.body	ostta10g01760
10	287765	288004	internal.gene.body	ostta10g01760
10	288220	288757	internal.gene.body	ostta10g01760
10	312837	313064	internal.gene.body	ostta10g01900
10	338222	343142	internal.gene.body	ostta10g02060
10	343502	343569	internal.gene.body	ostta10g02060
10	347317	348975	internal.gene.body	ostta10g02060
10	360899	361102	internal.gene.body	ostta10g02140
10	361900	362297	internal.gene.body	ostta10g02140
10	392265	392374	internal.gene.body	ostta10g02360
10	409274	409476	internal.gene.body	ostta10g02450
10	417948	418274	internal.gene.body	ostta10g02500
10	422820	424112	TES	ostta10g02530
10	424163	424394	internal.gene.body	ostta10g02540
10	461452	462575	TES	ostta10g02790
10	523924	524835	TSS	ostta10g03185
10	525323	528839	TES	ostta10g03190
10	538826	540897	gene.body	ostta10g03280
10	543373	545818	gene.body	ostta10g03320
10	571813	572081	internal.gene.body	ostta10g03450
10	576094	576645	internal.gene.body	ostta10g03470
10	583042	583597	internal.gene.body	ostta10g03500
10	588473	591496	gene.body	ostta10g03560,ostta10g03570
11	0	1784	TES	ostta11g00010
11	3591	5361	internal.gene.body	ostta11g00020
11	17852	19704	internal.gene.body	ostta11g00120
11	20388	23627	TES	ostta11g00130
11	26294	28887	TES	ostta11g00160
11	34792	35206	internal.gene.body	ostta11g00180
11	42527	42909	internal.gene.body	ostta11g00180
11	68123	69360	internal.gene.body	ostta11g00310
11	83981	84395	internal.gene.body	ostta11g00410
11	85319	85837	internal.gene.body	ostta11g00410
11	96064	96240	internal.gene.body	ostta11g00460
11	172125	173245	internal.gene.body	ostta11g00890
11	180672	181666	TES	ostta11g00930
11	183715	183900	internal.gene.body	ostta11g00950
11	199018	200195	gene.body	ostta11g01040
11	216167	217744	internal.gene.body	ostta11g01140
11	219515	221811	TES	ostta11g01150
11	230673	230858	internal.gene.body	ostta11g01210
11	232580	232770	internal.gene.body	ostta11g01210
11	274964	275746	internal.gene.body	ostta11g01430
11	303062	303545	internal.gene.body	ostta11g01590
11	305085	308153	TES	ostta11g01600
11	309310	312352	TES	ostta11g01620
11	317820	319630	TES	ostta11g01680
11	324291	324514	internal.gene.body	ostta11g01710
11	324735	327399	gene.body	ostta11g01720
11	330258	332489	TES	ostta11g01760
11	333071	333780	internal.gene.body	ostta11g01770
11	334768	340748	gene.body	ostta11g01790,ostta11g01800
11	347579	352527	internal.gene.body	ostta11g01840
11	362947	363358	internal.gene.body	ostta11g01910
11	363873	364743	internal.gene.body	ostta11g01910
11	367069	367965	internal.gene.body	ostta11g01930
11	367968	368022	internal.gene.body	ostta11g01930
11	370634	370821	internal.gene.body	ostta11g01950
11	374445	374453	internal.gene.body	ostta11g01980
11	376289	379204	gene.body	ostta11g02000
11	393125	394225	internal.gene.body	ostta11g02090
11	414792	416706	gene.body	ostta11g02250
11	419281	421241	internal.gene.body	ostta11g02280
11	440785	443297	gene.body	ostta11g02420
11	451871	452182	TES	ostta11g02470
11	453073	455233	gene.body	ostta11g02490
11	467838	469801	TSS	ostta11g02575
11	486774	486784	internal.gene.body	ostta11g02710
11	487968	491652	TSS	ostta11g02730
11	520224	522095	internal.gene.body	ostta11g02970
11	524078	524575	internal.gene.body	ostta11g02980
11	524857	525290	internal.gene.body	ostta11g02980
11	540652	540857	internal.gene.body	ostta11g03050
11	543276	543638	internal.gene.body	ostta11g03050
11	545006	548999	TES	ostta11g03050
11	556479	557415	TES	ostta11g03120
11	590760	595839	TES	ostta11g03300
12	0	1476	TES	ostta12g00010
12	32983	33389	internal.gene.body	ostta12g00210
12	45362	45711	internal.gene.body	ostta12g00300
12	80755	81646	internal.gene.body	ostta12g00530
12	130595	131607	internal.gene.body	ostta12g00820
12	134516	136296	internal.gene.body	ostta12g00850
12	156377	157023	internal.gene.body	ostta12g00950
12	164013	166092	internal.gene.body	ostta12g01020
12	190751	194743	gene.body	ostta12g01200
12	206834	211784	TES	ostta12g01270
12	268141	268551	TSS	ostta12g01690
12	270974	275569	TSS	ostta12g01720
12	291089	292256	intergenic	
12	313892	334251	TSS	ostta12g01965
12	340698	341088	intergenic	
12	341248	341846	internal.gene.body	ostta12g02040
12	354358	356545	internal.gene.body	ostta12g02110
12	384119	384333	internal.gene.body	ostta12g02300
12	392878	398770	gene.body	ostta12g02370
