chr	start	end	peak.annotation.k4.26vs10	activated.genes.k4.26vs10
18	278227	278374	intergenic	
2	533764	534385	intergenic	
9	147692	148256	TSS	ostta09g01010
18	277674	277867	intergenic	
3	234124	234508	intergenic	
7	599860	600232	intergenic	
9	51003	51424	TSS	ostta09g00380
10	437718	438110	intergenic	
9	137338	137716	gene.body	ostta09g00950
20	24217	24548	intergenic	
2	337155	337730	intergenic	
12	310814	310966	TSS	ostta12g01930
18	199732	199916	intergenic	
2	107261	107452	intergenic	
2	457449	457975	intergenic	
2	897819	898006	intergenic	
3	387331	387655	TSS	ostta03g02370
17	216558	216710	intergenic	
2	553951	554602	TSS	ostta02g02710
2	107836	108232	intergenic	
20	20408	20649	intergenic	
12	305791	306302	TES	ostta12g01910
10	44728	45029	internal.gene.body	ostta10g00190
2	109827	110247	TSS	ostta02g00430
2	185666	186206	TSS	ostta02g00790
4	19228	19584	internal.gene.body	ostta04g00130
6	378296	378625	internal.gene.body	ostta06g02290
14	183052	183331	TSS	ostta14g01070
13	17316	17807	internal.gene.body	ostta13g00120
2	222767	223142	internal.gene.body	ostta02g00800
2	379534	379690	intergenic	
2	452265	452864	TSS	ostta02g02200
9	503361	503681	TSS	ostta09g03280
2	524195	525242	gene.body	ostta02g02530,ostta02g02540
12	528960	530061	gene.body	ostta12g03150
2	96321	96816	TSS	ostta02g00380
12	298698	299428	TSS	ostta12g01860
14	397358	397505	intergenic	
9	149502	149916	TSS	ostta09g01040
13	150015	150530	TSS	ostta13g00885
18	199032	199590	TSS	ostta18g01080
2	182241	182430	TES	ostta02g00770
3	540470	540903	internal.gene.body	ostta03g03250
4	617119	617642	TSS	ostta04g03510
10	207973	208170	intergenic	
7	628121	628632	TSS	ostta07g03850
7	85286	85804	gene.body	ostta07g00470
5	748822	749351	TSS	ostta05g04530
6	736174	736872	TSS	ostta06g04310
2	158242	158435	TES	ostta02g00700
17	382335	382646	TSS	ostta17g02220
2	475014	475177	intergenic	
3	314251	314940	TSS	ostta03g01910
17	98512	98669	TSS	ostta17g00570
3	522681	522961	TSS	ostta03g03160
6	615820	616153	TSS	ostta06g03620
1	544017	544357	TSS	ostta01g03420
16	58567	59288	gene.body	ostta16g00410
7	219478	219632	TES	ostta07g01540
2	61699	62410	TES	ostta02g00220
8	393156	393528	TSS	ostta08g02280
3	52866	53220	TES	ostta03g00250
2	99907	100074	intergenic	
15	465187	465575	TSS	ostta15g02680
8	231615	231866	internal.gene.body	ostta08g01330
17	261329	261690	internal.gene.body	ostta17g01620
2	24291	24654	intergenic	
12	368232	368508	TSS	ostta12g02180
2	1018450	1018597	intergenic	
7	119662	120084	TSS	ostta07g00780
10	157059	157357	TSS	ostta10g00940
2	381980	382812	TSS	ostta02g01790
2	54842	55218	internal.gene.body	ostta02g00190
9	8903	9359	TSS	ostta09g00050
2	590871	591172	intergenic	
17	150323	150580	TSS	ostta17g00880
9	522724	523293	TSS	ostta09g03420
2	78093	79141	TSS	ostta02g00290
8	254512	254911	TSS	ostta08g01430
2	128218	128642	intergenic	
11	564720	564887	TSS	ostta11g03180
2	147124	147388	intergenic	
2	555144	555552	TES	ostta02g02715
8	542868	543040	TSS	ostta08g03190
11	400890	401048	intergenic	
8	336537	337022	gene.body	ostta08g01910
16	163894	165485	gene.body	ostta16g01060
