chr	start	end	peak.annotation	target.genes	peak.te
1	177	1228	TES	ostta01g00010	No_transposon
1	178	1228	TES	ostta01g00010	No_transposon
1	38779	41436	gene.body	ostta01g00260	No_transposon
1	38779	41436	gene.body	ostta01g00260	No_transposon
1	180449	180706	intergenic		Unclassified_transposon
1	180449	180775	intergenic		Unclassified_transposon
1	188414	190571	internal.gene.body	ostta01g01270	No_transposon
1	188414	190571	internal.gene.body	ostta01g01270	No_transposon
1	202015	207189	gene.body	ostta01g01340	No_transposon
1	202015	207192	gene.body	ostta01g01340	No_transposon
1	208841	213379	gene.body	ostta01g01370	No_transposon
1	208912	213379	gene.body	ostta01g01370	No_transposon
1	251567	253291	TSS	ostta01g01610	Unclassified_transposon
1	251567	253291	TSS	ostta01g01610	Unclassified_transposon
1	314218	315681	TES	ostta01g02010	No_transposon
1	314218	315681	TES	ostta01g02010	No_transposon
1	431704	433241	internal.gene.body	ostta01g02760	No_transposon
1	431704	433241	internal.gene.body	ostta01g02760	No_transposon
1	622461	625360	gene.body	ostta01g03930	No_transposon
1	622461	625250	gene.body	ostta01g03930	No_transposon
1	633803	634257	internal.gene.body	ostta01g03980	No_transposon
1	633803	634257	internal.gene.body	ostta01g03980	No_transposon
1	645676	646022	internal.gene.body	ostta01g04080	No_transposon
1	645676	646022	internal.gene.body	ostta01g04080	No_transposon
1	650245	650898	internal.gene.body	ostta01g04100	No_transposon
1	650245	650898	internal.gene.body	ostta01g04100	No_transposon
1	656345	657470	internal.gene.body	ostta01g04120	No_transposon
1	656345	657470	internal.gene.body	ostta01g04120	No_transposon
1	658114	658469	internal.gene.body	ostta01g04120	No_transposon
1	658114	658432	internal.gene.body	ostta01g04120	No_transposon
1	688945	691949	gene.body	ostta01g04260	No_transposon
1	688945	691949	gene.body	ostta01g04260	No_transposon
1	755745	759722	gene.body	ostta01g04640,ostta01g04650	No_transposon
1	755745	759722	gene.body	ostta01g04640,ostta01g04650	No_transposon
1	761728	762294	internal.gene.body	ostta01g04660	No_transposon
1	761728	762264	internal.gene.body	ostta01g04660	No_transposon
1	791925	794404	TSS	ostta01g04910	No_transposon
1	791925	794404	TSS	ostta01g04910	No_transposon
1	981238	986034	gene.body	ostta01g06030,ostta01g06040	No_transposon
1	981238	986043	gene.body	ostta01g06030,ostta01g06040	No_transposon
1	1003030	1004719	TES	ostta01g06130	No_transposon
1	1003030	1004719	TES	ostta01g06130	No_transposon
1	1040758	1041820	internal.gene.body	ostta01g06360	No_transposon
1	1040758	1041820	internal.gene.body	ostta01g06360	No_transposon
1	1093490	1095866	TES	ostta01g06680	Unclassified_transposon
1	1093490	1095892	TES	ostta01g06680	Unclassified_transposon
10	294	5476	internal.gene.body	ostta10g00010	No_transposon
10	293	5559	internal.gene.body	ostta10g00010	No_transposon
10	18609	22512	TES	ostta10g00080	No_transposon
10	18609	22512	TES	ostta10g00080	No_transposon
10	28263	30494	TSS	ostta10g00130	No_transposon
10	28336	30494	TSS	ostta10g00130	No_transposon
10	40807	42149	TES	ostta10g00170	No_transposon
10	40807	42149	TES	ostta10g00170	No_transposon
10	97566	97855	internal.gene.body	ostta10g00540	No_transposon
10	97570	97852	internal.gene.body	ostta10g00540	No_transposon
10	150194	151296	internal.gene.body	ostta10g00920	No_transposon
10	150194	151296	internal.gene.body	ostta10g00920	No_transposon
10	170384	172113	gene.body	ostta10g01040	No_transposon
10	170374	172113	gene.body	ostta10g01040	No_transposon
10	234582	235909	TSS	ostta10g01450	No_transposon
10	234571	235909	TSS	ostta10g01450	No_transposon
10	247184	248655	TES	ostta10g01540	No_transposon
10	247184	248655	TES	ostta10g01540	No_transposon
10	339222	342330	internal.gene.body	ostta10g02060	No_transposon
10	339222	342330	internal.gene.body	ostta10g02060	No_transposon
10	461521	462438	TES	ostta10g02790	No_transposon
10	461521	462438	TES	ostta10g02790	No_transposon
10	526102	528127	internal.gene.body	ostta10g03200	No_transposon
10	525930	528127	TES	ostta10g03190	No_transposon
10	538941	540700	TES	ostta10g03280	No_transposon
10	538941	540700	TES	ostta10g03280	No_transposon
10	543803	545647	gene.body	ostta10g03320	No_transposon
10	543803	545673	gene.body	ostta10g03320	No_transposon
10	588707	591099	gene.body	ostta10g03570	Unclassified_transposon
10	588707	591105	gene.body	ostta10g03570	Unclassified_transposon
11	152	1461	TES	ostta11g00010	Unclassified_transposon
11	137	1461	TES	ostta11g00010	Unclassified_transposon
11	18456	19199	internal.gene.body	ostta11g00120	No_transposon
11	18456	19199	internal.gene.body	ostta11g00120	No_transposon
11	20444	23096	TES	ostta11g00130	No_transposon
11	20423	23096	TES	ostta11g00130	No_transposon
11	26611	28292	internal.gene.body	ostta11g00160	No_transposon
11	26611	28292	internal.gene.body	ostta11g00160	No_transposon
11	181233	181458	internal.gene.body	ostta11g00940	No_transposon
11	181233	181458	internal.gene.body	ostta11g00940	No_transposon
11	219762	221615	TES	ostta11g01150	No_transposon
11	219762	221621	TES	ostta11g01150	No_transposon
11	305264	308139	TES	ostta11g01600	No_transposon
11	305264	308139	TES	ostta11g01600	No_transposon
11	309322	311579	TES	ostta11g01620	No_transposon
11	309322	311579	TES	ostta11g01620	No_transposon
11	318150	319254	TES	ostta11g01680	No_transposon
11	318150	319254	TES	ostta11g01680	No_transposon
11	326193	327310	TSS	ostta11g01720	No_transposon
11	326193	327310	TSS	ostta11g01720	No_transposon
11	330339	331971	internal.gene.body	ostta11g01760	No_transposon
11	330339	331971	internal.gene.body	ostta11g01760	No_transposon
11	333342	333740	internal.gene.body	ostta11g01770	No_transposon
11	333342	333740	internal.gene.body	ostta11g01770	No_transposon
