Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ostta01g00010	-	1	-	244	1932	58.760799	44.013615	46.015034
ostta01g00020	-	1	+	2077	4029	38.192524	28.607355	29.908211
ostta01g00030	-	1	+	4157	5299	12.699912	9.512618	9.945183
ostta01g00040	-	1	-	5392	7041	113.270302	84.842880	88.700920
ostta01g00050	-	1	-	7386	9605	35.571171	26.643883	27.855453
ostta01g00060	-	1	-	9780	10412	244.772507	183.342010	191.679077
ostta01g00070	-	1	+	11358	12455	94.215843	70.570511	73.779549
ostta01g00080	-	1	-	12585	12848	41.291668	30.928709	32.335121
ostta01g00090	-	1	+	13009	15890	398.388611	298.405121	311.974396
ostta01g00100	-	1	+	16094	20050	36.574173	27.395159	28.640894
ostta01g00110	-	1	-	20110	20694	29.897436	22.394083	23.412403
ostta01g00120	-	1	+	21003	22493	47.272972	35.408886	37.019024
ostta01g00130	-	1	-	22562	23929	66.141815	49.542217	51.795040
ostta01g00140	-	1	+	24244	25262	109.440994	81.974609	85.702225
ostta01g00150	-	1	-	25340	26524	46.344303	34.713284	36.291794
ostta01g00160	-	1	-	26590	28893	42.717884	31.996986	33.451977
ostta01g00170	-	1	+	29306	30093	53.468540	40.049553	41.870716
ostta01g00180	-	1	+	30248	30493	278.670746	208.732803	218.224472
ostta01g00190	-	1	-	30650	33039	206.236053	154.477036	161.501526
ostta01g00200	-	1	+	33223	34098	73.447487	55.014389	57.516045
ostta01g00210	-	1	-	34173	34653	226.349213	169.542404	177.251968
ostta01g00220	-	1	+	34778	35476	140.894135	105.533974	110.332878
ostta01g00230	-	1	-	35486	36444	57.664234	43.192253	45.156326
ostta01g00240	-	1	-	36541	38037	29.462257	22.068121	23.071621
ostta01g00250	-	1	+	38212	39087	34.340183	25.721836	26.891478
ostta01g00260	-	1	-	39164	41344	1.673544	1.253535	1.310537
ostta01g00270	-	1	+	41797	42285	310.196320	232.346405	242.911850
ostta01g00280	-	1	-	42330	43987	86.218521	64.580276	67.516922
ostta01g00290	-	1	-	44204	44380	56.570621	42.373104	44.299927
ostta01g00300	-	1	+	44619	45203	46.899147	35.128880	36.726288
ostta01g00310	-	1	-	45237	46697	42.424366	31.777132	33.222126
